Data;Energia elétrica - consumo - região Centro-Oeste (CO) - quantidade - GWh - Eletrobras - ELETRO12_CEECO12;
1979.01;228;
1979.02;231;
1979.03;228;
1979.04;243;
1979.05;241;
1979.06;242;
1979.07;250;
1979.08;247;
1979.09;254;
1979.10;268;
1979.11;263;
1979.12;277;
1980.01;271;
1980.02;267;
1980.03;268;
1980.04;285;
1980.05;264;
1980.06;290;
1980.07;279;
1980.08;286;
1980.09;307;
1980.10;294;
1980.11;306;
1980.12;296;
1981.01;301;
1981.02;302;
1981.03;300;
1981.04;310;
1981.05;309;
1981.06;306;
1981.07;299;
1981.08;304;
1981.09;322;
1981.10;316;
1981.11;313;
1981.12;310;
1982.01;325;
1982.02;309;
1982.03;319;
1982.04;336;
1982.05;340;
1982.06;345;
1982.07;357;
1982.08;355;
1982.09;368;
1982.10;377;
1982.11;375;
1982.12;377;
1983.01;366;
1983.02;365;
1983.03;373;
1983.04;376;
1983.05;397;
1983.06;415;
1983.07;404;
1983.08;414;
1983.09;419;
1983.10;419;
1983.11;409;
1983.12;411;
1984.01;422;
1984.02;440;
1984.03;436;
1984.04;441;
1984.05;458;
1984.06;454;
1984.07;458;
1984.08;478;
1984.09;471;
1984.10;467;
1984.11;496;
1984.12;473;
1985.01;478;
1985.02;471;
1985.03;476;
1985.04;494;
1985.05;506;
1985.06;499;
1985.07;488;
1985.08;517;
1985.09;461;
1985.10;598;
1985.11;547;
1985.12;524;
1986.01;557;
1986.02;512;
1986.03;533;
1986.04;551;
1986.05;567;
1986.06;560;
1986.07;536;
1986.08;570;
1986.09;584;
1986.10;549;
1986.11;598;
1986.12;552;
1987.01;580;
1987.02;549;
1987.03;562;
1987.04;579;
1987.05;592;
1987.06;582;
1987.07;585;
1987.08;611;
1987.09;624;
1987.10;616;
1987.11;635;
1987.12;604;
1988.01;625;
1988.02;647;
1988.03;637;
1988.04;648;
1988.05;631;
1988.06;633;
1988.07;645;
1988.08;638;
1988.09;661;
1988.10;654;
1988.11;636;
1988.12;614;
1989.01;632;
1989.02;604;
1989.03;632;
1989.04;631;
1989.05;679;
1989.06;674;
1989.07;671;
1989.08;689;
1989.09;698;
1989.10;702;
1989.11;714;
1989.12;667;
1990.01;693;
1990.02;671;
1990.03;691;
1990.04;686;
1990.05;688;
1990.06;695;
1990.07;703;
1990.08;707;
1990.09;731;
1990.10;728;
1990.11;758;
1990.12;706;
1991.01;730;
1991.02;687;
1991.03;671;
1991.04;734;
1991.05;763;
1991.06;770;
1991.07;765;
1991.08;754;
1991.09;785;
1991.10;781;
1991.11;786;
1991.12;756;
1992.01;744;
1992.02;734;
1992.03;749;
1992.04;757;
1992.05;758;
1992.06;762;
1992.07;756;
1992.08;768;
1992.09;773;
1992.10;740;
1992.11;750;
1992.12;770;
1993.01;770;
1993.02;752;
1993.03;784;
1993.04;835;
1993.05;834;
1993.06;816;
1993.07;811;
1993.08;826;
1993.09;857;
1993.10;850;
1993.11;864;
1993.12;832;
1994.01;819;
1994.02;808;
1994.03;848;
1994.04;882;
1994.05;862;
1994.06;900;
1994.07;863;
1994.08;892;
1994.09;920;
1994.10;966;
1994.11;966;
1994.12;914;
1995.01;913;
1995.02;917;
1995.03;954;
1995.04;1003;
1995.05;975;
1995.06;986;
1995.07;977;
1995.08;1015;
1995.09;1065;
1995.10;1046;
1995.11;1050;
1995.12;1017;
1996.01;1020;
1996.02;1013;
1996.03;1030;
1996.04;1086;
1996.05;1077;
1996.06;1063;
1996.07;1047;
1996.08;1066;
1996.09;1125;
1996.10;1126;
1996.11;1111;
1996.12;1062;
1997.01;1092;
1997.02;1044;
1997.03;1051;
1997.04;1111;
1997.05;1121;
1997.06;1109;
1997.07;1132;
1997.08;1170;
1997.09;1202;
1997.10;1216;
1997.11;1228;
1997.12;1135;
1998.01;1157;
1998.02;1141;
1998.03;1125;
1998.04;1238;
1998.05;1235;
1998.06;1194;
1998.07;1219;
1998.08;1288;
1998.09;1308;
1998.10;1279;
1998.11;1252;
1998.12;1245;
1999.01;1239;
1999.02;1200;
1999.03;1237;
1999.04;1338;
1999.05;1282;
1999.06;1290;
1999.07;1305;
1999.08;1338;
1999.09;1392;
1999.10;1356;
1999.11;1330;
1999.12;1318;
2000.01;1294;
2000.02;1275;
2000.03;1318;
2000.04;1363;
2000.05;1370;
2000.06;1404;
2000.07;1383;
2000.08;1406;
2000.09;1471;
2000.10;1446;
2000.11;1473;
2000.12;1355;
2001.01;1379;
2001.02;1373;
2001.03;1439;
2001.04;1471;
2001.05;1472;
2001.06;1260;
2001.07;1094;
2001.08;1152;
2001.09;1172;
2001.10;1164;
2001.11;1169;
2001.12;1124;
2002.01;1135;
