Data;Energia elétrica - consumo - região Norte (N) - quantidade - GWh - Eletrobras - ELETRO12_CEENO12;
1979.01;116;
1979.02;123;
1979.03;128;
1979.04;122;
1979.05;126;
1979.06;129;
1979.07;131;
1979.08;134;
1979.09;138;
1979.10;142;
1979.11;142;
1979.12;146;
1980.01;144;
1980.02;142;
1980.03;135;
1980.04;142;
1980.05;138;
1980.06;148;
1980.07;145;
1980.08;154;
1980.09;154;
1980.10;157;
1980.11;157;
1980.12;162;
1981.01;154;
1981.02;150;
1981.03;153;
1981.04;147;
1981.05;162;
1981.06;161;
1981.07;157;
1981.08;158;
1981.09;170;
1981.10;171;
1981.11;173;
1981.12;175;
1982.01;174;
1982.02;155;
1982.03;158;
1982.04;176;
1982.05;167;
1982.06;179;
1982.07;205;
1982.08;201;
1982.09;218;
1982.10;220;
1982.11;216;
1982.12;215;
1983.01;222;
1983.02;218;
1983.03;210;
1983.04;234;
1983.05;224;
1983.06;234;
1983.07;224;
1983.08;224;
1983.09;230;
1983.10;227;
1983.11;229;
1983.12;223;
1984.01;218;
1984.02;213;
1984.03;217;
1984.04;218;
1984.05;217;
1984.06;226;
1984.07;225;
1984.08;236;
1984.09;249;
1984.10;235;
1984.11;258;
1984.12;244;
1985.01;240;
1985.02;236;
1985.03;228;
1985.04;237;
1985.05;243;
1985.06;250;
1985.07;249;
1985.08;273;
1985.09;289;
1985.10;306;
1985.11;344;
1985.12;333;
1986.01;351;
1986.02;351;
1986.03;352;
1986.04;381;
1986.05;415;
1986.06;417;
1986.07;434;
1986.08;467;
1986.09;488;
1986.10;518;
1986.11;530;
1986.12;537;
1987.01;559;
1987.02;518;
1987.03;529;
1987.04;535;
1987.05;541;
1987.06;542;
1987.07;539;
1987.08;561;
1987.09;572;
1987.10;573;
1987.11;579;
1987.12;559;
1988.01;574;
1988.02;538;
1988.03;558;
1988.04;565;
1988.05;575;
1988.06;579;
1988.07;582;
1988.08;603;
1988.09;616;
1988.10;616;
1988.11;601;
1988.12;607;
1989.01;603;
1989.02;577;
1989.03;593;
1989.04;599;
1989.05;607;
1989.06;615;
1989.07;647;
1989.08;654;
1989.09;675;
1989.10;676;
1989.11;677;
1989.12;676;
1990.01;681;
1990.02;634;
1990.03;670;
1990.04;662;
1990.05;684;
1990.06;693;
1990.07;727;
1990.08;759;
1990.09;773;
1990.10;803;
1990.11;841;
1990.12;878;
1991.01;895;
1991.02;834;
1991.03;745;
1991.04;753;
1991.05;834;
1991.06;886;
1991.07;905;
1991.08;919;
1991.09;902;
1991.10;932;
1991.11;932;
1991.12;931;
1992.01;912;
1992.02;880;
1992.03;888;
1992.04;880;
1992.05;906;
1992.06;893;
1992.07;915;
1992.08;921;
1992.09;908;
1992.10;923;
1992.11;922;
1992.12;922;
1993.01;920;
1993.02;857;
1993.03;898;
1993.04;906;
1993.05;931;
1993.06;929;
1993.07;949;
1993.08;957;
1993.09;937;
1993.10;964;
1993.11;953;
1993.12;952;
1994.01;955;
1994.02;890;
1994.03;926;
1994.04;921;
1994.05;953;
1994.06;936;
1994.07;950;
1994.08;964;
1994.09;980;
1994.10;1016;
1994.11;1006;
1994.12;1009;
1995.01;1015;
1995.02;964;
1995.03;1007;
1995.04;1023;
1995.05;1035;
1995.06;1042;
1995.07;1054;
1995.08;1080;
1995.09;1097;
1995.10;1078;
1995.11;1081;
1995.12;1099;
1996.01;1104;
1996.02;1064;
1996.03;1098;
1996.04;1086;
1996.05;1082;
1996.06;1100;
1996.07;1115;
1996.08;1148;
1996.09;1152;
1996.10;1156;
1996.11;1158;
1996.12;1166;
1997.01;1166;
1997.02;1069;
1997.03;1117;
1997.04;1100;
1997.05;1168;
1997.06;1147;
1997.07;1165;
1997.08;1185;
1997.09;1192;
1997.10;1217;
1997.11;1185;
1997.12;1173;
1998.01;1179;
1998.02;1103;
1998.03;1163;
1998.04;1194;
1998.05;1211;
1998.06;1221;
1998.07;1193;
1998.08;1215;
1998.09;1242;
1998.10;1250;
1998.11;1234;
1998.12;1240;
1999.01;1232;
1999.02;1111;
1999.03;1187;
1999.04;1212;
1999.05;1201;
1999.06;1214;
1999.07;1244;
1999.08;1282;
1999.09;1272;
1999.10;1296;
1999.11;1304;
1999.12;1320;
2000.01;1307;
2000.02;1248;
2000.03;1275;
2000.04;1287;
2000.05;1309;
2000.06;1336;
2000.07;1339;
2000.08;1346;
2000.09;1374;
2000.10;1395;
2000.11;1384;
2000.12;1397;
2001.01;1351;
2001.02;1272;
2001.03;1316;
2001.04;1329;
2001.05;1374;
2001.06;1335;
2001.07;1218;
2001.08;1210;
2001.09;1196;
2001.10;1213;
2001.11;1217;
2001.12;1204;
2002.01;1326;
2002.02;1294;
2002.03;1347;
2002.04;1381;
2002.05;1434;
2002.06;1418;
2002.07;1436;
2002.08;1483;
2002.09;1462;
2002.10;1490;
2002.11;1475;
2002.12;1470;
2003.01;1484;
2003.02;1418;
2003.03;1456;
2003.04;1465;
2003.05;1535;
2003.06;1542;
2003.07;1558;
2003.08;1540;
2003.09;1602;
2003.10;1500;
2003.11;1622;
2003.12;1622;
2004.01;1574;
2004.02;1507;
2004.03;1574;
2004.04;1599;
2004.05;1625;
2004.06;1641;
2004.07;1665;
2004.08;1730;
2004.09;1687;
2004.10;1724;
2004.11;1720;
2004.12;1741;
2005.01;1688;
2005.02;1619;
2005.03;1670;
2005.04;1652;
2005.05;1689;
2005.06;1692;
2005.07;1719;
2005.08;1725;
2005.09;1752;
2005.10;1796;
2005.11;1788;
2005.12;1774;
2006.01;1728;
2006.02;1646;
2006.03;1741;
2006.04;1734;
2006.05;1754;
2006.06;1762;
2006.07;1813;
2006.08;1852;
2006.09;1886;
2006.10;1900;
2006.11;1872;
2006.12;1864;
2007.01;1834;
2007.02;1753;
2007.03;1821;
2007.04;1833;
2007.05;1889;
2007.06;1899;
2007.07;1913;
2007.08;1951;
2007.09;1965;
2007.10;2007;
2007.11;1996;
2007.12;1991;
2008.01;1890;
2008.02;1836;
2008.03;1901;
2008.04;1889;
2008.05;1933;
2008.06;1981;
2008.07;1999;
2008.08;2067;
2008.09;2112;
2008.10;2151;
2008.11;2082;
2008.12;2032;
2009.01;1982;
2009.02;1804;
2009.03;1882;
2009.04;1919;
2009.05;1924;
2009.06;1994;
2009.07;2024;
2009.08;2075;
2009.09;2090;
2009.10;2136;
2009.11;2132;
2009.12;2122;
2010.01;2065;
2010.02;1977;
2010.03;2107;
2010.04;2146;
2010.05;2175;
2010.06;2198;
2010.07;2196;
2010.08;2229;
2010.09;2280;
2010.10;2326;
2010.11;2262;
2010.12;2261;
2011.01;2216;
2011.02;2063;
2011.03;2236;
2011.04;2219;
2011.05;2263;
2011.06;2324;
2011.07;2352;
2011.08;2407;
2011.09;2419;
2011.10;2476;
2011.11;2369;
2011.12;2416;
2012.01;2369;
2012.02;2322;
2012.03;2440;
2012.04;2362;
2012.05;2430;
2012.06;2382;
2012.07;2398;
2012.08;2491;
2012.09;2456;
2012.10;2506;
2012.11;2484;
2012.12;2410;
2013.01;2392;
2013.02;2266;
2013.03;2378;
2013.04;2461;
2013.05;2454;
2013.06;2450;
2013.07;2563;
2013.08;2559;
2013.09;2571;
2013.10;2721;
2013.11;2642;
2013.12;2739;
2014.01;2601;
2014.02;2477;
2014.03;2613;
2014.04;2601;
2014.05;2707;
2014.06;2643;
2014.07;2721;
2014.08;2759;
2014.09;2837;
2014.10;2826;
2014.11;2762;
2014.12;2816;
2015.01;2720;
2015.02;2565;
2015.03;2709;
2015.04;2646;
2015.05;2718;
2015.06;2692;
2015.07;2833;
2015.08;2892;
2015.09;2964;
2015.10;3050;
2015.11;2958;
2015.12;2963;
2016.01;2735;
2016.02;2709;
2016.03;2864;
2016.04;2727;
2016.05;2862;
2016.06;2819;
2016.07;2901;
2016.08;2933;
2016.09;2919;
2016.10;2947;
2016.11;2953;
2016.12;2897;
2017.01;2766;
2017.02;2556;
2017.03;2795;
2017.04;2721;
2017.05;2934;
2017.06;2892;
2017.07;2882;
2017.08;3041;
2017.09;2983;
2017.10;3057;
2017.11;2966;
2017.12;2915;
2018.01;2813;
2018.02;2651;
2018.03;2869;
2018.04;2679;
2018.05;2667;
2018.06;2583;
2018.07;2658;
2018.08;2689;
2018.09;2689;
2018.10;2830;
2018.11;2724;
2018.12;2585;
2019.01;2563;
2019.02;2421;
2019.03;2601;
2019.04;2569;
2019.05;2689;
2019.06;2721;
2019.07;2820;
2019.08;2881;
2019.09;2938;
2019.10;2965;
2019.11;2952;
2019.12;2995;
2020.01;2895;
2020.02;2836;
2020.03;2815;
2020.04;2630;
2020.05;2657;
2020.06;2709;
2020.07;2898;
2020.08;3035;
2020.09;3085;
2020.10;3160;
2020.11;3008;
2020.12;2992;
2021.01;2876;
2021.02;2759;
2021.03;2895;
2021.04;2991;
2021.05;3056;
2021.06;3060;
2021.07;3049;
2021.08;3162;
2021.09;3189;
2021.10;3218;
2021.11;3178;
2021.12;3177;
2022.01;3034;
2022.02;2775;
2022.03;3004;
2022.04;2935;
2022.05;3100;
2022.06;3120;
2022.07;3255;
2022.08;3419;
2022.09;3380;
2022.10;3421;
2022.11;3303;
2022.12;3310;
2023.01;3179;
2023.02;2962;
2023.03;3328;
2023.04;3214;
2023.05;3393;
2023.06;3383;
2023.07;3426;
2023.08;3602;
2023.09;3679;
2023.10;3729;
2023.11;3628;
2023.12;3555;
2024.01;3468;
2024.02;3313;
2024.03;3470;
2024.04;3484;
2024.05;3638;
2024.06;3577;
2024.07;3714;
2024.08;3819;
2024.09;3873;
2024.10;3943;
2024.11;3832;
2024.12;3767;
2025.01;3618;
2025.02;3372;
2025.03;3516;
2025.04;3624;
2025.05;3738;
2025.06;3682;
2025.07;3752;
2025.08;3888;
2025.09;3935;
2025.10;4056;
