Data;Energia elétrica - consumo - região Sul (S) - quantidade - GWh - Eletrobras - ELETRO12_CEESU12;
1979.01;949;
1979.02;925;
1979.03;991;
1979.04;984;
1979.05;958;
1979.06;1008;
1979.07;981;
1979.08;1038;
1979.09;986;
1979.10;1034;
1979.11;1035;
1979.12;1028;
1980.01;1114;
1980.02;1098;
1980.03;1119;
1980.04;1141;
1980.05;1220;
1980.06;1143;
1980.07;1149;
1980.08;1148;
1980.09;1142;
1980.10;1145;
1980.11;1136;
1980.12;1156;
1981.01;1221;
1981.02;1212;
1981.03;1248;
1981.04;1185;
1981.05;1178;
1981.06;1197;
1981.07;1188;
1981.08;1224;
1981.09;1197;
1981.10;1204;
1981.11;1221;
1981.12;1246;
1982.01;1287;
1982.02;1271;
1982.03;1323;
1982.04;1336;
1982.05;1353;
1982.06;1347;
1982.07;1364;
1982.08;1368;
1982.09;1356;
1982.10;1312;
1982.11;1355;
1982.12;1360;
1983.01;1423;
1983.02;1431;
1983.03;1440;
1983.04;1482;
1983.05;1509;
1983.06;1458;
1983.07;1402;
1983.08;1488;
1983.09;1449;
1983.10;1451;
1983.11;1486;
1983.12;1499;
1984.01;1649;
1984.02;1641;
1984.03;1658;
1984.04;1566;
1984.05;1620;
1984.06;1591;
1984.07;1618;
1984.08;1644;
1984.09;1589;
1984.10;1605;
1984.11;1628;
1984.12;1639;
1985.01;1862;
1985.02;1818;
1985.03;1757;
1985.04;1793;
1985.05;1725;
1985.06;1771;
1985.07;1758;
1985.08;1837;
1985.09;1812;
1985.10;1815;
1985.11;1911;
1985.12;1963;
1986.01;1933;
1986.02;1721;
1986.03;1687;
1986.04;1741;
1986.05;1828;
1986.06;1856;
1986.07;1895;
1986.08;1891;
1986.09;1918;
1986.10;1907;
1986.11;1896;
1986.12;1928;
1987.01;2039;
1987.02;1977;
1987.03;2073;
1987.04;2043;
1987.05;1995;
1987.06;2002;
1987.07;1977;
1987.08;1999;
1987.09;1994;
1987.10;1997;
1987.11;2033;
1987.12;2080;
1988.01;2138;
1988.02;2181;
1988.03;2220;
1988.04;2244;
1988.05;2141;
1988.06;2143;
1988.07;2112;
1988.08;2113;
1988.09;2141;
1988.10;2105;
1988.11;2043;
1988.12;2132;
1989.01;2235;
1989.02;2199;
1989.03;2183;
1989.04;2272;
1989.05;2278;
1989.06;2295;
1989.07;2300;
1989.08;2346;
1989.09;2343;
1989.10;2299;
1989.11;2301;
1989.12;2308;
1990.01;2448;
1990.02;2329;
1990.03;2389;
1990.04;2279;
1990.05;2229;
1990.06;2344;
1990.07;2332;
1990.08;2416;
1990.09;2373;
1990.10;2360;
1990.11;2366;
1990.12;2242;
1991.01;2381;
1991.02;2462;
1991.03;2409;
1991.04;2564;
1991.05;2512;
1991.06;2535;
