year,month,y
2015,6,649.0
2015,7,697.0
2015,8,685.0
2015,9,722.0
2015,10,797.0
2015,11,734.0
2015,12,891.0
2016,1,618.0
2016,2,610.0
2016,3,648.5
2016,4,696.0
2016,5,697.0
2016,6,737.0
2016,7,700.0
2016,8,810.0
2016,9,697.0
2016,10,802.0
2016,11,775.0
2016,12,766.0
2017,1,693.0
2017,2,610.0
2017,3,726.0
2017,4,682.0
2017,5,830.0
2017,6,763.0
2017,7,771.0
2017,8,889.0
2017,9,757.0
2017,10,841.0
2017,11,905.0
2017,12,821.0
2018,1,761.0
2018,2,756.0
2018,3,885.0
2018,4,813.0
2018,5,549.0
2018,6,767.0
2018,7,662.0
2018,8,797.0
2018,9,844.0
2018,10,888.0
2018,11,867.0
2018,12,901.0
2019,1,715.0
2019,2,812.0
2019,3,826.0
2019,4,835.0
2019,5,773.0
2019,6,744.0
2019,7,745.0
2019,8,838.0
2019,9,865.0
2019,10,976.0
2019,11,980.0
2019,12,1000.0
