week_year,y
201523,160.0
201524,177.0
201525,167.0
201526,103.0
201527,156.0
201528,136.0
201529,161.0
201530,154.0
201531,161.0
201532,142.0
201533,164.0
201534,151.0
201535,191.0
201536,155.0
201537,148.0
201538,153.0
201539,189.0
201540,188.0
201541,186.0
201542,185.0
201543,165.0
201544,171.0
201545,173.0
201546,209.0
201547,177.0
201548,156.0
201549,202.0
201550,222.0
201551,210.0
201552,167.0
201553,137.0
201601,163.0
201602,131.0
201603,124.0
201604,159.0
201605,142.0
201606,130.0
201607,166.0
201608,148.0
201609,148.0
201610,177.5
201611,149.0
201612,141.0
201613,99.0
201614,159.0
201615,182.0
201616,142.0
201617,189.0
201618,167.0
201619,144.0
201620,163.0
201621,178.0
201622,149.0
201623,179.0
201624,173.0
201625,143.0
201626,171.0
201627,160.0
201628,173.0
201629,157.0
201630,159.0
201631,160.0
201632,180.0
201633,179.0
201634,201.0
201635,181.0
201636,166.0
201637,150.0
201638,153.0
201639,180.0
201640,163.0
201641,171.0
201642,201.0
201643,195.0
201644,189.0
201645,156.0
201646,193.0
201647,177.0
201648,177.0
201649,176.0
201650,180.0
201651,185.0
201652,149.0
201701,174.0
201702,184.0
201703,179.0
201704,111.0
201705,123.0
201706,178.0
201707,164.0
201708,155.0
201709,108.0
201710,152.0
201711,177.0
201712,173.0
201713,178.0
201714,199.0
201715,135.0
201716,146.0
201717,163.0
201718,187.0
201719,205.0
201720,179.0
201721,199.0
201722,163.0
201723,196.0
201724,177.0
201725,166.0
201726,152.0
201727,203.0
201728,166.0
201729,178.0
201730,157.0
201731,196.0
201732,191.0
201733,222.0
201734,214.0
201735,169.0
201736,154.0
201737,175.0
201738,174.0
201739,205.0
201740,172.0
201741,172.0
201742,193.0
201743,225.0
201744,173.0
201745,217.0
201746,214.0
201747,230.0
201748,204.0
201749,186.0
201750,234.0
201751,192.0
201752,137.0
201801,152.0
201802,162.0
201803,181.0
201804,175.0
201805,200.0
201806,193.0
201807,132.0
201808,211.0
201809,218.0
201810,198.0
201811,200.0
201812,206.0
201813,188.0
201814,189.0
201815,203.0
201816,200.0
201817,181.0
201818,189.0
201819,166.0
201820,103.0
201821,84.0
201822,91.0
201823,190.0
201824,193.0
201825,170.0
201826,167.0
201827,157.0
201828,139.0
201829,148.0
201830,156.0
201831,156.0
201832,198.0
201833,195.0
201834,176.0
201835,159.0
201836,182.0
201837,223.0
201838,220.0
201839,183.0
201840,206.0
201841,160.0
201842,184.0
201843,239.0
201844,169.0
201845,230.0
201846,185.0
201847,221.0
201848,210.0
201849,230.0
201850,221.0
201851,243.0
201852,145.0
201901,124.0
201902,182.0
201903,146.0
201904,167.0
201905,168.0
201906,205.0
201907,195.0
201908,210.0
201909,209.0
201910,148.0
201911,208.0
201912,205.0
201913,199.0
201914,198.0
201915,197.0
201916,166.0
201917,208.0
201918,179.0
201919,163.0
201920,179.0
201921,177.0
201922,172.0
201923,207.0
201924,172.0
201925,165.0
201926,169.0
201927,171.0
201928,177.0
201929,164.0
201930,151.0
201931,185.0
201932,191.0
201933,197.0
201934,184.0
201935,175.0
201936,188.0
201937,217.0
201938,205.0
201939,210.0
201940,247.0
201941,207.0
201942,217.0
201943,188.0
201944,224.0
201945,259.0
201946,220.0
201947,225.0
201948,223.0
201949,290.0
201950,254.0
201951,234.0
201952,175.0
202001,26.0
