ExperimentID,Serie,Modelo,N_Repeticoes,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,theil_mean,theil_std,ARV_mean,ARV_std,IA_mean,IA_std,POCID_mean,POCID_std
chamados,Unemployment,1amv1,10,1351.666400,3.811406,36.764983,0.051799,26.811516,0.062593,4.398925,0.009712,0.323631,0.001186,0.091160,0.000300,0.977174,0.000063,74.583333,1.317616
chamados,Unemployment,1arima,1,3367.699228,,58.031881,,42.019087,,6.514029,,0.471761,,0.210958,,0.943808,,70.833333,
chamados,Unemployment,1as,1,1333.610030,,36.518626,,28.893152,,4.693777,,0.293356,,0.092337,,0.977216,,62.500000,
chamados,Unemployment,1mlp,10,1183.998243,18.154835,34.408364,0.263981,25.726000,0.137597,4.173930,0.024977,0.295132,0.007075,0.084109,0.001683,0.979531,0.000347,62.916667,1.317616
chamados,Unemployment,1svr,1,1153.225503,,33.959174,,24.521468,,4.013156,,0.237855,,0.077120,,0.980654,,70.833333,
chamados,airlines,1amv1,10,298.408388,0.718436,17.274490,0.020797,14.261889,0.026106,3.211346,0.005720,0.120222,0.000244,0.051842,0.000115,0.986995,0.000030,78.571429,0.000000
chamados,airlines,1arima,1,389.194049,,19.728002,,15.102607,,3.315326,,0.134713,,0.066301,,0.983139,,78.571429,
chamados,airlines,1as,1,230.024062,,15.166544,,13.829032,,3.067365,,0.089602,,0.039462,,0.990068,,92.857143,
chamados,airlines,1mlp,10,419.903504,42.240851,20.468505,1.024043,15.930294,0.645835,3.521727,0.149408,0.132856,0.007077,0.063714,0.005995,0.982854,0.001691,78.571429,0.000000
chamados,airlines,1svr,1,375.843583,,19.386686,,13.856390,,3.111161,,0.118322,,0.053837,,0.985155,,78.571429,
chamados,ausbee,1amv1,10,252.603770,0.724641,15.893499,0.022790,11.087586,0.020635,2.659053,0.005122,0.093377,0.000267,0.173074,0.000424,0.948767,0.000138,95.238095,0.000000
chamados,ausbee,1arima,1,274.997573,,16.583051,,13.227257,,3.156027,,0.112134,,0.211830,,0.940146,,95.238095,
chamados,ausbee,1as,1,286.388795,,16.923026,,11.633097,,2.803575,,0.102503,,0.187214,,0.943153,,95.238095,
