ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados,airlines,1amv1,0,14.755824,298.929088,17.289566,14.278444,3.213565,0.120503,0.051914,0.986974,78.571429
chamados,airlines,1amv1,1,14.755824,299.180167,17.296825,14.263393,3.212122,0.120385,0.051983,0.986960,78.571429
chamados,airlines,1amv1,2,14.755824,298.193997,17.268295,14.239414,3.207109,0.119978,0.051778,0.987007,78.571429
chamados,airlines,1amv1,3,14.755824,298.154254,17.267144,14.246175,3.207955,0.120017,0.051796,0.987006,78.571429
chamados,airlines,1amv1,4,14.755824,298.779060,17.285227,14.273286,3.213888,0.120282,0.051912,0.986978,78.571429
chamados,airlines,1amv1,5,14.755824,299.521904,17.306701,14.300710,3.222329,0.120560,0.052009,0.986949,78.571429
chamados,airlines,1amv1,6,14.755824,298.479254,17.276552,14.301656,3.218215,0.120392,0.051861,0.986991,78.571429
chamados,airlines,1amv1,7,14.755824,297.913968,17.260184,14.226755,3.204832,0.120264,0.051782,0.987013,78.571429
chamados,airlines,1amv1,8,14.755824,297.830389,17.257763,14.239550,3.206674,0.119926,0.051747,0.987020,78.571429
chamados,airlines,1amv1,9,14.755824,297.101802,17.236641,14.249504,3.206766,0.119918,0.051639,0.987049,78.571429
chamados,airlines,1arima,0,,389.194049,19.728002,15.102607,3.315326,0.134713,0.066301,0.983139,78.571429
chamados,airlines,1as,0,10.971293,230.024062,15.166544,13.829032,3.067365,0.089602,0.039462,0.990068,92.857143
chamados,airlines,1mlp,0,14.813827,457.798553,21.396228,16.111090,3.581487,0.138028,0.068287,0.981452,78.571429
chamados,airlines,1mlp,1,14.813827,436.362488,20.889291,15.711408,3.487819,0.132484,0.066732,0.982097,78.571429
chamados,airlines,1mlp,2,14.813827,423.392832,20.576512,15.973077,3.564523,0.133800,0.064229,0.982713,78.571429
chamados,airlines,1mlp,3,14.813827,503.916275,22.448080,17.469692,3.848987,0.144125,0.075084,0.979557,78.571429
chamados,airlines,1mlp,4,14.813827,399.022138,19.975538,15.764898,3.463434,0.128364,0.060883,0.983673,78.571429
chamados,airlines,1mlp,5,14.813827,378.087384,19.444469,15.392017,3.388235,0.126855,0.057153,0.984621,78.571429
chamados,airlines,1mlp,6,14.813827,353.527064,18.802315,15.047262,3.304249,0.123503,0.054307,0.985510,78.571429
chamados,airlines,1mlp,7,14.813827,412.170457,20.301982,15.598306,3.433663,0.133556,0.064221,0.982936,78.571429
chamados,airlines,1mlp,8,14.813827,399.795504,19.994887,16.006851,3.518402,0.125277,0.059699,0.983830,78.571429
chamados,airlines,1mlp,9,14.813827,434.962342,20.855751,16.228341,3.626470,0.142570,0.066543,0.982151,78.571429
chamados,airlines,1svr,0,13.779790,375.843583,19.386686,13.856390,3.111161,0.118322,0.053837,0.985155,78.571429
chamados,ausbee,1amv1,0,14.860652,252.260714,15.882717,11.103536,2.662640,0.093296,0.172928,0.948820,95.238095
chamados,ausbee,1amv1,1,14.860652,252.594713,15.893229,11.081612,2.657778,0.093311,0.172945,0.948790,95.238095
chamados,ausbee,1amv1,2,14.860652,252.314515,15.884411,11.074514,2.656048,0.093121,0.172631,0.948871,95.238095
chamados,ausbee,1amv1,3,14.860652,252.060557,15.876415,11.083484,2.658110,0.093215,0.172792,0.948867,95.238095
chamados,ausbee,1amv1,4,14.860652,253.152452,15.910765,11.114299,2.665457,0.093648,0.173499,0.948644,95.238095
chamados,ausbee,1amv1,5,14.860652,252.799121,15.899658,11.064713,2.653774,0.093552,0.173411,0.948690,95.238095
chamados,ausbee,1amv1,6,14.860652,253.919475,15.934851,11.091805,2.660138,0.093827,0.173790,0.948522,95.238095
chamados,ausbee,1amv1,7,14.860652,251.965034,15.873407,11.063876,2.652591,0.093241,0.172952,0.948847,95.238095
chamados,ausbee,1amv1,8,14.860652,251.557334,15.860559,11.073749,2.655571,0.092966,0.172439,0.948977,95.238095
chamados,ausbee,1amv1,9,14.860652,253.413780,15.918975,11.124277,2.668421,0.093595,0.173355,0.948642,95.238095
chamados,ausbee,1arima,0,,274.997573,16.583051,13.227257,3.156027,0.112134,0.211830,0.940146,95.238095
chamados,ausbee,1as,0,14.210750,286.388795,16.923026,11.633097,2.803575,0.102503,0.187214,0.943153,95.238095
chamados,ausbee,1mlp,0,15.859275,236.464727,15.377410,10.164445,2.431598,0.080599,0.160194,0.952405,95.238095
chamados,ausbee,1mlp,1,15.859275,267.469611,16.354498,11.144996,2.678315,0.088009,0.172890,0.947399,95.238095
chamados,ausbee,1mlp,2,15.859275,271.193329,16.467949,11.600567,2.774609,0.089768,0.175918,0.946514,95.238095
chamados,ausbee,1mlp,3,15.859275,250.964275,15.841852,10.052597,2.410178,0.087779,0.173958,0.948647,95.238095
chamados,ausbee,1mlp,4,15.859275,259.963624,16.123387,10.990440,2.627396,0.084862,0.170044,0.948538,95.238095
chamados,ausbee,1mlp,5,15.859275,256.514449,16.016068,10.506094,2.520372,0.088762,0.173812,0.948152,95.238095
