ExperimentID,Serie,Modelo,N_Repeticoes,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,theil_mean,theil_std,ARV_mean,ARV_std,IA_mean,IA_std,POCID_mean,POCID_std
chamados_pct10,airlines,1amv1pct10,10,350.410954,3.333012,18.719077,0.088983,15.254336,0.053842,3.356550,0.012380,0.141947,0.001527,0.061284,0.000713,0.984642,0.000164,78.571429,0.000000
chamados_pct10,airlines,1arima,1,389.194049,,19.728002,,15.102607,,3.315326,,0.134713,,0.066301,,0.983139,,78.571429,
chamados_pct10,airlines,1aspct10,1,401.409326,,20.035202,,17.057345,,3.633918,,0.150045,,0.070068,,0.982385,,78.571429,
chamados_pct10,airlines,1mlppct10,10,864.535481,378.922193,28.856466,5.947906,24.851256,6.084922,5.313748,1.306045,0.527235,0.205808,0.156302,0.054124,0.960548,0.016086,78.571429,7.529233
chamados_pct10,airlines,1svrpct10,1,364.557381,,19.093386,,13.942524,,3.158018,,0.129897,,0.057242,,0.984876,,78.571429,
chamados_pct10,austres,1amv1pct10,10,431.655978,5.501480,20.775953,0.132340,14.797446,0.123646,0.084622,0.000706,0.157572,0.001504,0.043833,0.000575,0.988900,0.000145,75.000000,0.000000
chamados_pct10,austres,1arima,1,358.130880,,18.924346,,13.710292,,0.078380,,0.129713,,0.034904,,0.990999,,75.000000,
chamados_pct10,austres,1aspct10,1,356.337301,,18.876899,,13.900089,,0.079505,,0.134889,,0.035708,,0.990920,,75.000000,
chamados_pct10,austres,1mlppct10,10,673.293637,496.477304,24.680016,8.445276,21.594809,8.984090,0.123502,0.051346,0.333874,0.262876,0.052660,0.037981,0.984781,0.011329,87.500000,0.000000
chamados_pct10,austres,1svrpct10,1,444.311250,,21.078692,,16.022086,,0.091637,,0.161547,,0.045443,,0.988530,,87.500000,
chamados_pct10,coloradoRiver,1amv1pct10,10,0.152609,0.012061,0.390382,0.015291,0.315683,0.014130,34.696106,1.601101,0.768622,0.037265,0.753853,0.017118,0.605383,0.014300,51.216216,2.809453
chamados_pct10,coloradoRiver,1arima,1,0.104961,,0.323976,,0.262984,,28.817193,,0.755655,,0.698832,,0.667249,,52.702703,
chamados_pct10,coloradoRiver,1aspct10,1,0.198910,,0.445994,,0.365586,,40.967593,,0.901369,,0.762988,,0.569918,,60.810811,
chamados_pct10,coloradoRiver,1mlppct10,10,0.045050,0.013290,0.210362,0.029779,0.162060,0.025554,20.073847,2.750501,1.212716,0.357258,0.697075,0.092454,0.760135,0.049740,62.837838,2.136674
chamados_pct10,coloradoRiver,1svrpct10,1,0.028261,,0.168109,,0.133719,,16.214459,,0.765242,,0.716599,,0.809906,,63.513514,
chamados_pct10,samurec,1amv1pct10,10,53.930283,1.061458,7.343398,0.072982,6.071748,0.087823,20.896206,0.378120,4.015379,0.373843,5.993213,0.584474,0.361688,0.015170,58.220339,1.788829
chamados_pct10,samurec,1arima,1,48.481589,,6.962872,,5.858474,,20.580083,,28.356862,,34.562540,,0.193628,,64.406780,
chamados_pct10,samurec,1aspct10,1,52.777023,,7.264780,,6.015372,,20.507794,,3.890146,,5.558775,,0.380882,,60.169492,
chamados_pct10,samurec,1mlppct10,10,51.658002,0.368042,7.187309,0.025604,5.981737,0.020079,20.499434,0.086611,4.663524,0.381016,7.613443,0.634995,0.340316,0.017842,55.084746,2.113931
chamados_pct10,samurec,1svrpct10,1,53.223628,,7.295453,,6.150435,,21.673701,,2.822496,,3.583096,,0.462201,,57.627119,
chamados_pct10,sunspot,1amv1pct10,10,396.680973,10.131830,19.915364,0.256564,15.657570,0.072738,35.839753,0.451226,0.304271,0.005635,0.199351,0.003904,0.948023,0.001166,64.642857,1.129385
chamados_pct10,sunspot,1arima,1,365.478709,,19.117497,,15.719171,,36.503112,,0.346894,,0.193887,,0.951367,,67.857143,
chamados_pct10,sunspot,1aspct10,1,446.702087,,21.135328,,16.741319,,37.377478,,0.344395,,0.219831,,0.941678,,67.857143,
chamados_pct10,sunspot,1mlppct10,10,370.933536,50.588554,19.222508,1.259945,15.956098,1.252584,38.168940,3.129758,0.413357,0.090023,0.201076,0.036653,0.949751,0.008240,72.857143,3.450328
chamados_pct10,sunspot,1svrpct10,1,483.449172,,21.987478,,18.211520,,50.042876,,0.417748,,0.179032,,0.946185,,82.142857,
chamados_pct10,windspeedfortaleza,1amv1pct10,10,0.157648,0.001635,0.397045,0.002057,0.335071,0.001535,11.913716,0.071044,0.754369,0.004729,0.293671,0.003750,0.923817,0.000934,57.857143,2.258770
chamados_pct10,windspeedfortaleza,1arima,1,0.159223,,0.399027,,0.336684,,11.585693,,0.710406,,0.282118,,0.924855,,57.142857,
chamados_pct10,windspeedfortaleza,1aspct10,1,0.195034,,0.441626,,0.353026,,12.658478,,0.559573,,0.282374,,0.916457,,57.142857,
chamados_pct10,windspeedfortaleza,1mlppct10,10,0.135257,0.003981,0.367736,0.005495,0.279743,0.002939,9.524331,0.104173,0.544635,0.003232,0.225732,0.007188,0.938805,0.001973,65.000000,2.258770
chamados_pct10,windspeedfortaleza,1svrpct10,1,0.128656,,0.358687,,0.269236,,9.134217,,0.526910,,0.212575,,0.942282,,71.428571,
