ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_pct10,airlines,1amv1pct10,0,14.310235,353.297127,18.796200,15.302573,3.366621,0.143758,0.061961,0.984492,78.571429
chamados_pct10,airlines,1amv1pct10,1,14.310235,346.293423,18.608961,15.192485,3.342298,0.140281,0.060442,0.984841,78.571429
chamados_pct10,airlines,1amv1pct10,2,14.310235,352.943457,18.786789,15.166426,3.343578,0.143765,0.061936,0.984503,78.571429
chamados_pct10,airlines,1amv1pct10,3,14.310235,355.970109,18.867170,15.332585,3.377638,0.143915,0.062359,0.984382,78.571429
chamados_pct10,airlines,1amv1pct10,4,14.310235,353.285918,18.795902,15.286162,3.362884,0.142926,0.061942,0.984495,78.571429
chamados_pct10,airlines,1amv1pct10,5,14.310235,348.690591,18.673259,15.283909,3.366908,0.141641,0.060997,0.984717,78.571429
chamados_pct10,airlines,1amv1pct10,6,14.310235,348.947835,18.680145,15.269560,3.355257,0.140720,0.060898,0.984724,78.571429
chamados_pct10,airlines,1amv1pct10,7,14.310235,346.378335,18.611242,15.193034,3.339201,0.140327,0.060476,0.984835,78.571429
chamados_pct10,airlines,1amv1pct10,8,14.310235,347.638430,18.645064,15.267758,3.357776,0.140354,0.060566,0.984795,78.571429
chamados_pct10,airlines,1amv1pct10,9,14.310235,350.664318,18.726033,15.248870,3.353338,0.141784,0.061268,0.984639,78.571429
chamados_pct10,airlines,1arima,0,,389.194049,19.728002,15.102607,3.315326,0.134713,0.066301,0.983139,78.571429
chamados_pct10,airlines,1aspct10,0,13.125303,401.409326,20.035202,17.057345,3.633918,0.150045,0.070068,0.982385,78.571429
chamados_pct10,airlines,1mlppct10,0,24.644156,782.715349,27.977050,24.058571,5.055619,0.463506,0.155740,0.962798,85.714286
chamados_pct10,airlines,1mlppct10,1,24.644156,1701.568007,41.250067,38.464352,8.222825,0.898669,0.270320,0.925051,85.714286
chamados_pct10,airlines,1mlppct10,2,24.644156,739.465946,27.193123,22.839936,4.874497,0.499386,0.145653,0.965086,78.571429
chamados_pct10,airlines,1mlppct10,3,24.644156,634.799887,25.195235,20.891103,4.488654,0.418014,0.116051,0.971222,85.714286
chamados_pct10,airlines,1mlppct10,4,24.644156,876.403531,29.604113,24.444020,5.147224,0.691469,0.180688,0.957415,71.428571
chamados_pct10,airlines,1mlppct10,5,24.644156,784.821767,28.014671,24.270521,5.208411,0.567158,0.155599,0.962711,78.571429
chamados_pct10,airlines,1mlppct10,6,24.644156,602.713128,24.550216,21.129023,4.527911,0.298989,0.109299,0.972860,85.714286
chamados_pct10,airlines,1mlppct10,7,24.644156,447.736214,21.159778,18.205419,3.929437,0.223301,0.082182,0.979835,78.571429
chamados_pct10,airlines,1mlppct10,8,24.644156,715.189182,26.743021,21.678884,4.654216,0.462648,0.136832,0.966733,71.428571
chamados_pct10,airlines,1mlppct10,9,24.644156,1359.941799,36.877389,32.530729,7.028689,0.749210,0.210652,0.941764,64.285714
chamados_pct10,airlines,1svrpct10,0,14.500029,364.557381,19.093386,13.942524,3.158018,0.129897,0.057242,0.984876,78.571429
chamados_pct10,austres,1amv1pct10,0,15.678246,434.271722,20.839187,14.815425,0.084722,0.158335,0.044146,0.988826,75.000000
chamados_pct10,austres,1amv1pct10,1,15.678246,430.943859,20.759187,14.725694,0.084216,0.157361,0.043685,0.988928,75.000000
chamados_pct10,austres,1amv1pct10,2,15.678246,425.636249,20.630954,14.624732,0.083636,0.156165,0.043228,0.989056,75.000000
chamados_pct10,austres,1amv1pct10,3,15.678246,426.253594,20.645910,14.886687,0.085122,0.155944,0.043349,0.989032,75.000000
chamados_pct10,austres,1amv1pct10,4,15.678246,437.196928,20.909255,14.882735,0.085112,0.158526,0.044351,0.988762,75.000000
chamados_pct10,austres,1amv1pct10,5,15.678246,423.978876,20.590747,14.567588,0.083308,0.155578,0.042985,0.989109,75.000000
chamados_pct10,austres,1amv1pct10,6,15.678246,433.448647,20.819430,14.937740,0.085423,0.158220,0.044060,0.988848,75.000000
chamados_pct10,austres,1amv1pct10,7,15.678246,434.785005,20.851499,14.787253,0.084566,0.158867,0.044195,0.988813,75.000000
chamados_pct10,austres,1amv1pct10,8,15.678246,441.118089,21.002811,14.911552,0.085282,0.160216,0.044821,0.988651,75.000000
chamados_pct10,austres,1amv1pct10,9,15.678246,428.926812,20.710548,14.835052,0.084834,0.156506,0.043510,0.988977,75.000000
chamados_pct10,austres,1arima,0,,358.130880,18.924346,13.710292,0.078380,0.129713,0.034904,0.990999,75.000000
chamados_pct10,austres,1aspct10,0,16.011511,356.337301,18.876899,13.900089,0.079505,0.134889,0.035708,0.990920,75.000000
chamados_pct10,austres,1mlppct10,0,39.414403,341.712183,18.485459,13.135447,0.075342,0.161129,0.027257,0.992296,87.500000
chamados_pct10,austres,1mlppct10,1,39.414403,686.776110,26.206414,22.083765,0.126463,0.338872,0.054614,0.984423,87.500000
chamados_pct10,austres,1mlppct10,2,39.414403,262.230205,16.193524,12.084977,0.069266,0.125242,0.021089,0.994071,87.500000
chamados_pct10,austres,1mlppct10,3,39.414403,548.630764,23.422868,18.824924,0.107853,0.267406,0.044068,0.987524,87.500000
chamados_pct10,austres,1mlppct10,4,39.414403,984.124230,31.370754,28.805462,0.164800,0.495212,0.078374,0.977514,87.500000
chamados_pct10,austres,1mlppct10,5,39.414403,322.612238,17.961410,16.473834,0.094004,0.150153,0.025062,0.992838,87.500000
chamados_pct10,austres,1mlppct10,6,39.414403,534.401009,23.117115,20.868992,0.118921,0.242287,0.039760,0.988375,87.500000
chamados_pct10,austres,1mlppct10,7,39.414403,855.298117,29.245480,25.763403,0.147453,0.433201,0.067913,0.980543,87.500000
chamados_pct10,austres,1mlppct10,8,39.414403,295.448825,17.188625,15.685462,0.089554,0.137509,0.023206,0.993404,87.500000
chamados_pct10,austres,1mlppct10,9,39.414403,1901.702692,43.608516,42.221820,0.241360,0.987730,0.145256,0.956822,87.500000
chamados_pct10,austres,1svrpct10,0,16.615990,444.311250,21.078692,16.022086,0.091637,0.161547,0.045443,0.988530,87.500000
chamados_pct10,coloradoRiver,1amv1pct10,0,0.701238,0.167499,0.409266,0.332723,36.597294,0.820156,0.769199,0.586444,50.000000
chamados_pct10,coloradoRiver,1amv1pct10,1,0.701238,0.165098,0.406322,0.327257,35.890242,0.781349,0.751350,0.599768,51.351351
chamados_pct10,coloradoRiver,1amv1pct10,2,0.701238,0.148076,0.384806,0.301969,33.072670,0.704170,0.771530,0.602583,51.351351
chamados_pct10,coloradoRiver,1amv1pct10,3,0.701238,0.147160,0.383615,0.310081,34.094782,0.754728,0.753589,0.608507,52.702703
chamados_pct10,coloradoRiver,1amv1pct10,4,0.701238,0.150746,0.388260,0.320613,35.389560,0.807563,0.737822,0.612086,51.351351
chamados_pct10,coloradoRiver,1amv1pct10,5,0.701238,0.135695,0.368368,0.295546,32.490960,0.717391,0.719595,0.632999,52.702703
chamados_pct10,coloradoRiver,1amv1pct10,6,0.701238,0.144765,0.380480,0.310255,33.898058,0.769294,0.747874,0.613371,52.702703
chamados_pct10,coloradoRiver,1amv1pct10,7,0.701238,0.147891,0.384567,0.308724,33.991193,0.767202,0.772270,0.600808,44.594595
chamados_pct10,coloradoRiver,1amv1pct10,8,0.701238,0.145248,0.381114,0.309369,33.999224,0.761916,0.746497,0.613615,55.405405
chamados_pct10,coloradoRiver,1amv1pct10,9,0.701238,0.173911,0.417026,0.340290,37.537081,0.802456,0.768800,0.583646,50.000000
chamados_pct10,coloradoRiver,1arima,0,,0.104961,0.323976,0.262984,28.817193,0.755655,0.698832,0.667249,52.702703
chamados_pct10,coloradoRiver,1aspct10,0,0.717909,0.198910,0.445994,0.365586,40.967593,0.901369,0.762988,0.569918,60.810811
chamados_pct10,coloradoRiver,1mlppct10,0,0.671609,0.071430,0.267265,0.217818,23.693356,1.881568,0.902787,0.664426,64.864865
chamados_pct10,coloradoRiver,1mlppct10,1,0.671609,0.034275,0.185136,0.144521,17.842767,0.904633,0.625164,0.802283,62.162162
chamados_pct10,coloradoRiver,1mlppct10,2,0.671609,0.036646,0.191430,0.144564,18.262061,0.947293,0.640817,0.791304,64.864865
chamados_pct10,coloradoRiver,1mlppct10,3,0.671609,0.039515,0.198784,0.153757,19.532517,1.123481,0.668588,0.777543,60.810811
chamados_pct10,coloradoRiver,1mlppct10,4,0.671609,0.057840,0.240501,0.181106,23.305489,1.570777,0.758368,0.710851,62.162162
chamados_pct10,coloradoRiver,1mlppct10,5,0.671609,0.037240,0.192976,0.148339,18.268941,0.982088,0.661833,0.786692,59.459459
chamados_pct10,coloradoRiver,1mlppct10,6,0.671609,0.042365,0.205827,0.154262,19.410623,1.153515,0.680019,0.767276,66.216216
chamados_pct10,coloradoRiver,1mlppct10,7,0.671609,0.060670,0.246313,0.189557,24.729223,1.655824,0.786376,0.701407,60.810811
chamados_pct10,coloradoRiver,1mlppct10,8,0.671609,0.037366,0.193304,0.146208,18.438176,1.034252,0.649314,0.788003,63.513514
chamados_pct10,coloradoRiver,1mlppct10,9,0.671609,0.033155,0.182086,0.140467,17.255315,0.873731,0.597479,0.811563,63.513514
chamados_pct10,coloradoRiver,1svrpct10,0,0.594382,0.028261,0.168109,0.133719,16.214459,0.765242,0.716599,0.809906,63.513514
chamados_pct10,samurec,1amv1pct10,0,7.418086,53.825669,7.336598,6.084303,20.909802,4.035782,6.163194,0.354205,60.169492
chamados_pct10,samurec,1amv1pct10,1,7.418086,51.114130,7.149415,5.846545,20.036031,4.062366,6.382141,0.353479,61.016949
chamados_pct10,samurec,1amv1pct10,2,7.418086,54.692695,7.395451,6.121516,21.067624,3.651322,5.349000,0.378756,57.627119
chamados_pct10,samurec,1amv1pct10,3,7.418086,54.528233,7.384323,6.085523,20.748281,4.322267,6.290542,0.345839,58.474576
chamados_pct10,samurec,1amv1pct10,4,7.418086,54.065647,7.352935,6.112249,21.142581,3.755369,5.642670,0.375863,56.779661
chamados_pct10,samurec,1amv1pct10,5,7.418086,54.827501,7.404559,6.171818,21.496908,3.678696,5.568056,0.369693,58.474576
chamados_pct10,samurec,1amv1pct10,6,7.418086,53.548233,7.317666,6.024427,20.770775,4.856407,7.289547,0.334004,60.169492
chamados_pct10,samurec,1amv1pct10,7,7.418086,54.313630,7.369778,6.115054,21.104909,3.834953,5.621693,0.373652,55.932203
chamados_pct10,samurec,1amv1pct10,8,7.418086,54.144006,7.358261,6.074246,20.776120,3.749295,5.493612,0.375658,55.932203
chamados_pct10,samurec,1amv1pct10,9,7.418086,54.243091,7.364991,6.081796,20.909032,4.207333,6.131671,0.355729,57.627119
chamados_pct10,samurec,1arima,0,,48.481589,6.962872,5.858474,20.580083,28.356862,34.562540,0.193628,64.406780
chamados_pct10,samurec,1aspct10,0,7.557406,52.777023,7.264780,6.015372,20.507794,3.890146,5.558775,0.380882,60.169492
chamados_pct10,samurec,1mlppct10,0,7.320908,51.195148,7.155079,5.971621,20.473616,4.718286,7.569706,0.347850,52.542373
chamados_pct10,samurec,1mlppct10,1,7.320908,52.134406,7.220416,5.974736,20.373117,4.573858,7.378758,0.340434,56.779661
