ExperimentID,Serie,Modelo,N_Repeticoes,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,theil_mean,theil_std,ARV_mean,ARV_std,IA_mean,IA_std,POCID_mean,POCID_std
chamados_pct10_fs_arimasvr_mutualinfo,airlines,1arima,1,389.194049,,19.728002,,15.102607,,3.315326,,0.134713,,0.066301,,0.983139,,78.571429,
chamados_pct10_fs_arimasvr_mutualinfo,airlines,1aspct10mutualinfo,1,401.409326,,20.035202,,17.057345,,3.633918,,0.150045,,0.070068,,0.982385,,78.571429,
chamados_pct10_fs_arimasvr_mutualinfo,austres,1arima,1,358.130880,,18.924346,,13.710292,,0.078380,,0.129713,,0.034904,,0.990999,,75.000000,
chamados_pct10_fs_arimasvr_mutualinfo,austres,1aspct10mutualinfo,1,305.604994,,17.481562,,14.262030,,0.081566,,0.123203,,0.030523,,0.992234,,87.500000,
chamados_pct10_fs_arimasvr_mutualinfo,coloradoRiver,1arima,1,0.104961,,0.323976,,0.262984,,28.817193,,0.755655,,0.698832,,0.667249,,52.702703,
chamados_pct10_fs_arimasvr_mutualinfo,coloradoRiver,1aspct10mutualinfo,1,0.089227,,0.298708,,0.243545,,26.779117,,0.739186,,0.685205,,0.691427,,55.405405,
chamados_pct10_fs_arimasvr_mutualinfo,samurec,1arima,1,48.481589,,6.962872,,5.858474,,20.580083,,28.356862,,34.562540,,0.193628,,64.406780,
chamados_pct10_fs_arimasvr_mutualinfo,samurec,1aspct10mutualinfo,1,49.415425,,7.029611,,5.851679,,20.433050,,22.784274,,22.297682,,0.238597,,51.694915,
chamados_pct10_fs_arimasvr_mutualinfo,sunspot,1arima,1,365.478709,,19.117497,,15.719171,,36.503112,,0.346894,,0.193887,,0.951367,,67.857143,
chamados_pct10_fs_arimasvr_mutualinfo,sunspot,1aspct10mutualinfo,1,430.683533,,20.752916,,16.799726,,37.018512,,0.327581,,0.194859,,0.946533,,60.714286,
chamados_pct10_fs_arimasvr_mutualinfo,windspeedfortaleza,1arima,1,0.159223,,0.399027,,0.336684,,11.585693,,0.710406,,0.282118,,0.924855,,57.142857,
chamados_pct10_fs_arimasvr_mutualinfo,windspeedfortaleza,1aspct10mutualinfo,1,0.335531,,0.579250,,0.462689,,16.342730,,0.870426,,0.448367,,0.855575,,50.000000,
