ExperimentID,Serie,Modelo,N_Repeticoes,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,theil_mean,theil_std,ARV_mean,ARV_std,IA_mean,IA_std,POCID_mean,POCID_std
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,10,350.410954,3.333012,18.719077,0.088983,15.254336,0.053842,3.356550,0.012380,0.141947,0.001527,0.061284,0.000713,0.984642,0.000164,78.571429,0.000000
chamados_pct10_fs_ftest,airlines,1arima,1,389.194049,,19.728002,,15.102607,,3.315326,,0.134713,,0.066301,,0.983139,,78.571429,
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,10,431.655978,5.501480,20.775953,0.132340,14.797446,0.123646,0.084622,0.000706,0.157572,0.001504,0.043833,0.000575,0.988900,0.000145,75.000000,0.000000
chamados_pct10_fs_ftest,austres,1arima,1,358.130880,,18.924346,,13.710292,,0.078380,,0.129713,,0.034904,,0.990999,,75.000000,
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,10,0.107590,0.005940,0.327895,0.009109,0.266968,0.007169,29.208776,0.720787,0.764127,0.003717,0.702701,0.007331,0.664453,0.008553,51.216216,1.958294
chamados_pct10_fs_ftest,coloradoRiver,1arima,1,0.104961,,0.323976,,0.262984,,28.817193,,0.755655,,0.698832,,0.667249,,52.702703,
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,10,50.970977,0.091872,7.139393,0.006434,5.815775,0.012647,19.799591,0.058634,7.256452,0.132776,8.128187,0.097944,0.349080,0.002151,54.067797,0.535979
chamados_pct10_fs_ftest,samurec,1arima,1,48.481589,,6.962872,,5.858474,,20.580083,,28.356862,,34.562540,,0.193628,,64.406780,
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,10,337.036800,3.389850,18.358352,0.092534,14.826901,0.093487,39.255040,0.319438,0.284573,0.001713,0.178285,0.002055,0.955045,0.000506,64.285714,0.000000
chamados_pct10_fs_ftest,sunspot,1arima,1,365.478709,,19.117497,,15.719171,,36.503112,,0.346894,,0.193887,,0.951367,,67.857143,
chamados_pct10_fs_ftest,windspeedfortaleza,1amv1pct10ftest,10,0.168080,0.000044,0.409975,0.000053,0.338745,0.000011,11.768623,0.000951,0.791163,0.000283,0.309296,0.000111,0.918735,0.000027,57.142857,0.000000
chamados_pct10_fs_ftest,windspeedfortaleza,1arima,1,0.159223,,0.399027,,0.336684,,11.585693,,0.710406,,0.282118,,0.924855,,57.142857,
