ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,0,14.310235,353.297127,18.796200,15.302573,3.366621,0.143758,0.061961,0.984492,78.571429
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,1,14.310235,346.293423,18.608961,15.192485,3.342298,0.140281,0.060442,0.984841,78.571429
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,2,14.310235,352.943457,18.786789,15.166426,3.343578,0.143765,0.061936,0.984503,78.571429
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,3,14.310235,355.970109,18.867170,15.332585,3.377638,0.143915,0.062359,0.984382,78.571429
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,4,14.310235,353.285918,18.795902,15.286162,3.362884,0.142926,0.061942,0.984495,78.571429
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,5,14.310235,348.690591,18.673259,15.283909,3.366908,0.141641,0.060997,0.984717,78.571429
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,6,14.310235,348.947835,18.680145,15.269560,3.355257,0.140720,0.060898,0.984724,78.571429
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,7,14.310235,346.378335,18.611242,15.193034,3.339201,0.140327,0.060476,0.984835,78.571429
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,8,14.310235,347.638430,18.645064,15.267758,3.357776,0.140354,0.060566,0.984795,78.571429
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,9,14.310235,350.664318,18.726033,15.248870,3.353338,0.141784,0.061268,0.984639,78.571429
chamados_pct10_fs_ftest,airlines,1arima,0,,389.194049,19.728002,15.102607,3.315326,0.134713,0.066301,0.983139,78.571429
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,0,15.678246,434.271722,20.839187,14.815425,0.084722,0.158335,0.044146,0.988826,75.000000
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,1,15.678246,430.943859,20.759187,14.725694,0.084216,0.157361,0.043685,0.988928,75.000000
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,2,15.678246,425.636249,20.630954,14.624732,0.083636,0.156165,0.043228,0.989056,75.000000
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,3,15.678246,426.253594,20.645910,14.886687,0.085122,0.155944,0.043349,0.989032,75.000000
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,4,15.678246,437.196928,20.909255,14.882735,0.085112,0.158526,0.044351,0.988762,75.000000
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,5,15.678246,423.978876,20.590747,14.567588,0.083308,0.155578,0.042985,0.989109,75.000000
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,6,15.678246,433.448647,20.819430,14.937740,0.085423,0.158220,0.044060,0.988848,75.000000
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,7,15.678246,434.785005,20.851499,14.787253,0.084566,0.158867,0.044195,0.988813,75.000000
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,8,15.678246,441.118089,21.002811,14.911552,0.085282,0.160216,0.044821,0.988651,75.000000
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,9,15.678246,428.926812,20.710548,14.835052,0.084834,0.156506,0.043510,0.988977,75.000000
chamados_pct10_fs_ftest,austres,1arima,0,,358.130880,18.924346,13.710292,0.078380,0.129713,0.034904,0.990999,75.000000
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,0,0.688694,0.110423,0.332299,0.270397,29.554645,0.765872,0.706279,0.660289,50.000000
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,1,0.688694,0.105241,0.324408,0.264310,28.941854,0.762869,0.699981,0.667704,52.702703
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,2,0.688694,0.107498,0.327869,0.267006,29.213251,0.764272,0.702770,0.664452,51.351351
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,3,0.688694,0.107632,0.328073,0.267153,29.228155,0.764262,0.702923,0.664251,51.351351
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,4,0.688694,0.116567,0.341418,0.277557,30.271150,0.769118,0.713373,0.651791,48.648649
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,5,0.688694,0.097927,0.312932,0.255115,28.016398,0.757712,0.690535,0.678518,54.054054
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,6,0.688694,0.108657,0.329631,0.268401,29.353307,0.765259,0.704207,0.662831,51.351351
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,7,0.688694,0.098382,0.313658,0.255728,28.077906,0.758240,0.691164,0.677851,54.054054
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,8,0.688694,0.109677,0.331175,0.269556,29.469838,0.765604,0.705405,0.661359,50.000000
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,9,0.688694,0.113898,0.337488,0.274452,29.961258,0.768061,0.710374,0.655479,48.648649
chamados_pct10_fs_ftest,coloradoRiver,1arima,0,,0.104961,0.323976,0.262984,28.817193,0.755655,0.698832,0.667249,52.702703
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,0,7.333777,51.068795,7.146243,5.825632,19.843989,7.055090,7.976815,0.350361,53.389831
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,1,7.333777,50.928521,7.136422,5.819441,19.817382,7.079228,8.070214,0.349870,53.389831
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,2,7.333777,50.930276,7.136545,5.804031,19.784547,7.256201,8.154856,0.350730,55.084746
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,3,7.333777,51.075308,7.146699,5.818738,19.800250,7.140337,8.145041,0.348320,54.237288
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,4,7.333777,50.899476,7.134387,5.820297,19.828405,7.335078,8.252817,0.346988,54.237288
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,5,7.333777,50.996284,7.141168,5.816299,19.794367,7.370623,8.187528,0.347823,54.237288
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,6,7.333777,50.906024,7.134846,5.816294,19.809340,7.270296,7.985375,0.351814,54.237288
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,7,7.333777,50.813851,7.128384,5.785312,19.643210,7.482118,8.120468,0.351162,54.237288
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,8,7.333777,50.989713,7.140708,5.821957,19.827465,7.266184,8.120906,0.348924,54.237288
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,9,7.333777,51.101518,7.148533,5.829744,19.846952,7.309364,8.267850,0.344805,53.389831
chamados_pct10_fs_ftest,samurec,1arima,0,,48.481589,6.962872,5.858474,20.580083,28.356862,34.562540,0.193628,64.406780
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,0,21.467672,339.445386,18.424044,14.878668,39.451958,0.285480,0.179358,0.954731,64.285714
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,1,21.467672,337.441563,18.369583,14.836515,39.329792,0.284717,0.178646,0.954961,64.285714
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,2,21.467672,336.060755,18.331960,14.841465,39.342326,0.284445,0.177324,0.955211,64.285714
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,3,21.467672,337.390854,18.368202,14.846881,39.178162,0.286098,0.178458,0.955006,64.285714
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,4,21.467672,335.733501,18.323032,14.817516,39.080666,0.283162,0.176977,0.955303,64.285714
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,5,21.467672,335.662486,18.321094,14.825267,38.872143,0.282658,0.177077,0.955299,64.285714
