ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,0,f_test,13,13,0;1;2;3;4;5;6;7;8;9;10;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,1,f_test,13,13,0;1;2;3;4;5;6;7;8;9;10;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,2,f_test,13,13,0;1;2;3;4;5;6;7;8;9;10;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,3,f_test,13,13,0;1;2;3;4;5;6;7;8;9;10;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,4,f_test,13,13,0;1;2;3;4;5;6;7;8;9;10;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,5,f_test,13,13,0;1;2;3;4;5;6;7;8;9;10;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,6,f_test,13,13,0;1;2;3;4;5;6;7;8;9;10;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,7,f_test,13,13,0;1;2;3;4;5;6;7;8;9;10;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,8,f_test,13,13,0;1;2;3;4;5;6;7;8;9;10;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,airlines,1amv1pct10ftest,9,f_test,13,13,0;1;2;3;4;5;6;7;8;9;10;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,0,f_test,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,1,f_test,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,2,f_test,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,3,f_test,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,4,f_test,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,5,f_test,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,6,f_test,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,7,f_test,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,8,f_test,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,austres,1amv1pct10ftest,9,f_test,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,0,f_test,1,67,31,lag_36
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,1,f_test,1,67,31,lag_36
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,2,f_test,1,67,31,lag_36
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,3,f_test,1,67,31,lag_36
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,4,f_test,1,67,31,lag_36
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,5,f_test,1,67,31,lag_36
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,6,f_test,1,67,31,lag_36
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,7,f_test,1,67,31,lag_36
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,8,f_test,1,67,31,lag_36
chamados_pct10_fs_ftest,coloradoRiver,1amv1pct10ftest,9,f_test,1,67,31,lag_36
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,0,f_test,15,107,2;6;20;35;39;41;44;58;61;65;68;76;82;92;96,lag_105;lag_101;lag_87;lag_72;lag_68;lag_66;lag_63;lag_49;lag_46;lag_42;lag_39;lag_31;lag_25;lag_15;lag_11
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,1,f_test,15,107,2;6;20;35;39;41;44;58;61;65;68;76;82;92;96,lag_105;lag_101;lag_87;lag_72;lag_68;lag_66;lag_63;lag_49;lag_46;lag_42;lag_39;lag_31;lag_25;lag_15;lag_11
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,2,f_test,15,107,2;6;20;35;39;41;44;58;61;65;68;76;82;92;96,lag_105;lag_101;lag_87;lag_72;lag_68;lag_66;lag_63;lag_49;lag_46;lag_42;lag_39;lag_31;lag_25;lag_15;lag_11
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,3,f_test,15,107,2;6;20;35;39;41;44;58;61;65;68;76;82;92;96,lag_105;lag_101;lag_87;lag_72;lag_68;lag_66;lag_63;lag_49;lag_46;lag_42;lag_39;lag_31;lag_25;lag_15;lag_11
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,4,f_test,15,107,2;6;20;35;39;41;44;58;61;65;68;76;82;92;96,lag_105;lag_101;lag_87;lag_72;lag_68;lag_66;lag_63;lag_49;lag_46;lag_42;lag_39;lag_31;lag_25;lag_15;lag_11
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,5,f_test,15,107,2;6;20;35;39;41;44;58;61;65;68;76;82;92;96,lag_105;lag_101;lag_87;lag_72;lag_68;lag_66;lag_63;lag_49;lag_46;lag_42;lag_39;lag_31;lag_25;lag_15;lag_11
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,6,f_test,15,107,2;6;20;35;39;41;44;58;61;65;68;76;82;92;96,lag_105;lag_101;lag_87;lag_72;lag_68;lag_66;lag_63;lag_49;lag_46;lag_42;lag_39;lag_31;lag_25;lag_15;lag_11
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,7,f_test,15,107,2;6;20;35;39;41;44;58;61;65;68;76;82;92;96,lag_105;lag_101;lag_87;lag_72;lag_68;lag_66;lag_63;lag_49;lag_46;lag_42;lag_39;lag_31;lag_25;lag_15;lag_11
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,8,f_test,15,107,2;6;20;35;39;41;44;58;61;65;68;76;82;92;96,lag_105;lag_101;lag_87;lag_72;lag_68;lag_66;lag_63;lag_49;lag_46;lag_42;lag_39;lag_31;lag_25;lag_15;lag_11
chamados_pct10_fs_ftest,samurec,1amv1pct10ftest,9,f_test,15,107,2;6;20;35;39;41;44;58;61;65;68;76;82;92;96,lag_105;lag_101;lag_87;lag_72;lag_68;lag_66;lag_63;lag_49;lag_46;lag_42;lag_39;lag_31;lag_25;lag_15;lag_11
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,0,f_test,9,26,0;4;9;14;15;16;17;18;22,lag_26;lag_22;lag_17;lag_12;lag_11;lag_10;lag_9;lag_8;lag_4
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,1,f_test,9,26,0;4;9;14;15;16;17;18;22,lag_26;lag_22;lag_17;lag_12;lag_11;lag_10;lag_9;lag_8;lag_4
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,2,f_test,9,26,0;4;9;14;15;16;17;18;22,lag_26;lag_22;lag_17;lag_12;lag_11;lag_10;lag_9;lag_8;lag_4
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,3,f_test,9,26,0;4;9;14;15;16;17;18;22,lag_26;lag_22;lag_17;lag_12;lag_11;lag_10;lag_9;lag_8;lag_4
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,4,f_test,9,26,0;4;9;14;15;16;17;18;22,lag_26;lag_22;lag_17;lag_12;lag_11;lag_10;lag_9;lag_8;lag_4
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,5,f_test,9,26,0;4;9;14;15;16;17;18;22,lag_26;lag_22;lag_17;lag_12;lag_11;lag_10;lag_9;lag_8;lag_4
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,6,f_test,9,26,0;4;9;14;15;16;17;18;22,lag_26;lag_22;lag_17;lag_12;lag_11;lag_10;lag_9;lag_8;lag_4
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,7,f_test,9,26,0;4;9;14;15;16;17;18;22,lag_26;lag_22;lag_17;lag_12;lag_11;lag_10;lag_9;lag_8;lag_4
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,8,f_test,9,26,0;4;9;14;15;16;17;18;22,lag_26;lag_22;lag_17;lag_12;lag_11;lag_10;lag_9;lag_8;lag_4
chamados_pct10_fs_ftest,sunspot,1amv1pct10ftest,9,f_test,9,26,0;4;9;14;15;16;17;18;22,lag_26;lag_22;lag_17;lag_12;lag_11;lag_10;lag_9;lag_8;lag_4
chamados_pct10_fs_ftest,windspeedfortaleza,1amv1pct10ftest,0,f_test,1,13,7,lag_6
chamados_pct10_fs_ftest,windspeedfortaleza,1amv1pct10ftest,1,f_test,1,13,7,lag_6
chamados_pct10_fs_ftest,windspeedfortaleza,1amv1pct10ftest,2,f_test,1,13,7,lag_6
chamados_pct10_fs_ftest,windspeedfortaleza,1amv1pct10ftest,3,f_test,1,13,7,lag_6
chamados_pct10_fs_ftest,windspeedfortaleza,1amv1pct10ftest,4,f_test,1,13,7,lag_6
chamados_pct10_fs_ftest,windspeedfortaleza,1amv1pct10ftest,5,f_test,1,13,7,lag_6
chamados_pct10_fs_ftest,windspeedfortaleza,1amv1pct10ftest,6,f_test,1,13,7,lag_6
chamados_pct10_fs_ftest,windspeedfortaleza,1amv1pct10ftest,7,f_test,1,13,7,lag_6
chamados_pct10_fs_ftest,windspeedfortaleza,1amv1pct10ftest,8,f_test,1,13,7,lag_6
chamados_pct10_fs_ftest,windspeedfortaleza,1amv1pct10ftest,9,f_test,1,13,7,lag_6
