ExperimentID,Serie,Modelo,N_Repeticoes,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,theil_mean,theil_std,ARV_mean,ARV_std,IA_mean,IA_std,POCID_mean,POCID_std
chamados_pct10_fs_lasso,airlines,1amv1pct10lasso,10,384.823615,0.653238,19.616915,0.016640,15.322277,0.034757,3.354279,0.003707,0.134323,0.000112,0.065405,0.000168,0.983351,0.000036,78.571429,0.000000
chamados_pct10_fs_lasso,airlines,1arima,1,389.194049,,19.728002,,15.102607,,3.315326,,0.134713,,0.066301,,0.983139,,78.571429,
chamados_pct10_fs_lasso,austres,1amv1pct10lasso,10,355.413728,0.935043,18.852405,0.024759,13.523411,0.075793,0.077293,0.000436,0.129705,0.000182,0.034782,0.000064,0.991049,0.000020,75.000000,0.000000
chamados_pct10_fs_lasso,austres,1arima,1,358.130880,,18.924346,,13.710292,,0.078380,,0.129713,,0.034904,,0.990999,,75.000000,
chamados_pct10_fs_lasso,coloradoRiver,1amv1pct10lasso,10,0.107590,0.005940,0.327895,0.009109,0.266968,0.007169,29.208776,0.720787,0.764127,0.003717,0.702701,0.007331,0.664453,0.008553,51.216216,1.958294
chamados_pct10_fs_lasso,coloradoRiver,1arima,1,0.104961,,0.323976,,0.262984,,28.817193,,0.755655,,0.698832,,0.667249,,52.702703,
chamados_pct10_fs_lasso,samurec,1amv1pct10lasso,10,48.317129,0.035326,6.951052,0.002541,5.797779,0.009087,20.140666,0.072271,21.474298,4.651781,25.717664,5.012545,0.239661,0.023920,56.610169,3.089316
chamados_pct10_fs_lasso,samurec,1arima,1,48.481589,,6.962872,,5.858474,,20.580083,,28.356862,,34.562540,,0.193628,,64.406780,
chamados_pct10_fs_lasso,sunspot,1amv1pct10lasso,10,370.696263,0.791947,19.253464,0.020567,15.856985,0.012640,36.753331,0.014678,0.349959,0.000544,0.196761,0.000361,0.950582,0.000104,67.857143,0.000000
chamados_pct10_fs_lasso,sunspot,1arima,1,365.478709,,19.117497,,15.719171,,36.503112,,0.346894,,0.193887,,0.951367,,67.857143,
chamados_pct10_fs_lasso,windspeedfortaleza,1amv1pct10lasso,10,0.156726,0.000374,0.395886,0.000472,0.331485,0.001090,11.460330,0.020907,0.693165,0.003906,0.285333,0.001006,0.925006,0.000048,57.142857,0.000000
chamados_pct10_fs_lasso,windspeedfortaleza,1arima,1,0.159223,,0.399027,,0.336684,,11.585693,,0.710406,,0.282118,,0.924855,,57.142857,
