ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_pct10_fs_lasso,airlines,1amv1pct10lasso,0,15.373506,384.512430,19.608988,15.339262,3.356097,0.134380,0.065325,0.983368,78.571429
chamados_pct10_fs_lasso,airlines,1amv1pct10lasso,1,15.373506,384.502227,19.608728,15.339675,3.356117,0.134381,0.065322,0.983369,78.571429
chamados_pct10_fs_lasso,airlines,1amv1pct10lasso,2,15.373506,384.510956,19.608951,15.339741,3.356281,0.134375,0.065325,0.983368,78.571429
chamados_pct10_fs_lasso,airlines,1amv1pct10lasso,3,15.373506,384.508353,19.608885,15.339337,3.356110,0.134379,0.065324,0.983368,78.571429
chamados_pct10_fs_lasso,airlines,1amv1pct10lasso,4,15.373506,384.507264,19.608857,15.338778,3.356003,0.134376,0.065324,0.983368,78.571429
chamados_pct10_fs_lasso,airlines,1amv1pct10lasso,5,15.373506,386.051809,19.648201,15.256637,3.347263,0.134111,0.065722,0.983283,78.571429
chamados_pct10_fs_lasso,airlines,1amv1pct10lasso,6,15.373506,384.508145,19.608879,15.339313,3.356110,0.134378,0.065324,0.983368,78.571429
chamados_pct10_fs_lasso,airlines,1amv1pct10lasso,7,15.373506,386.073942,19.648764,15.256081,3.347238,0.134110,0.065727,0.983282,78.571429
chamados_pct10_fs_lasso,airlines,1amv1pct10lasso,8,15.373506,384.528475,19.609398,15.336527,3.355731,0.134366,0.065331,0.983367,78.571429
chamados_pct10_fs_lasso,airlines,1amv1pct10lasso,9,15.373506,384.532552,19.609502,15.337415,3.355839,0.134375,0.065331,0.983367,78.571429
chamados_pct10_fs_lasso,airlines,1arima,0,,389.194049,19.728002,15.102607,3.315326,0.134713,0.066301,0.983139,78.571429
chamados_pct10_fs_lasso,austres,1amv1pct10lasso,0,16.810456,354.933900,18.839689,13.487684,0.077088,0.129600,0.034743,0.991060,75.000000
chamados_pct10_fs_lasso,austres,1amv1pct10lasso,1,16.810456,355.013651,18.841806,13.492251,0.077114,0.129622,0.034751,0.991058,75.000000
chamados_pct10_fs_lasso,austres,1amv1pct10lasso,2,16.810456,355.218103,18.847231,13.503886,0.077181,0.129677,0.034773,0.991052,75.000000
chamados_pct10_fs_lasso,austres,1amv1pct10lasso,3,16.810456,358.055934,18.922366,13.737614,0.078526,0.130216,0.034961,0.990992,75.000000
chamados_pct10_fs_lasso,austres,1amv1pct10lasso,4,16.810456,355.090166,18.843836,13.497441,0.077144,0.129641,0.034759,0.991056,75.000000
chamados_pct10_fs_lasso,austres,1amv1pct10lasso,5,16.810456,355.086070,18.843728,13.496684,0.077139,0.129641,0.034759,0.991056,75.000000
chamados_pct10_fs_lasso,austres,1amv1pct10lasso,6,16.810456,355.198788,18.846718,13.498687,0.077151,0.129678,0.034774,0.991053,75.000000
chamados_pct10_fs_lasso,austres,1amv1pct10lasso,7,16.810456,355.226823,18.847462,13.503196,0.077177,0.129680,0.034775,0.991052,75.000000
chamados_pct10_fs_lasso,austres,1amv1pct10lasso,8,16.810456,355.287004,18.849058,13.521095,0.077280,0.129675,0.034771,0.991052,75.000000
chamados_pct10_fs_lasso,austres,1amv1pct10lasso,9,16.810456,355.026841,18.842156,13.495574,0.077133,0.129624,0.034750,0.991058,75.000000
chamados_pct10_fs_lasso,austres,1arima,0,,358.130880,18.924346,13.710292,0.078380,0.129713,0.034904,0.990999,75.000000
chamados_pct10_fs_lasso,coloradoRiver,1amv1pct10lasso,0,0.688694,0.110423,0.332299,0.270397,29.554645,0.765872,0.706279,0.660289,50.000000
chamados_pct10_fs_lasso,coloradoRiver,1amv1pct10lasso,1,0.688694,0.105241,0.324408,0.264310,28.941854,0.762869,0.699981,0.667704,52.702703
chamados_pct10_fs_lasso,coloradoRiver,1amv1pct10lasso,2,0.688694,0.107498,0.327869,0.267006,29.213251,0.764272,0.702770,0.664452,51.351351
chamados_pct10_fs_lasso,coloradoRiver,1amv1pct10lasso,3,0.688694,0.107632,0.328073,0.267153,29.228155,0.764262,0.702923,0.664251,51.351351
chamados_pct10_fs_lasso,coloradoRiver,1amv1pct10lasso,4,0.688694,0.116567,0.341418,0.277557,30.271150,0.769118,0.713373,0.651791,48.648649
chamados_pct10_fs_lasso,coloradoRiver,1amv1pct10lasso,5,0.688694,0.097927,0.312932,0.255115,28.016398,0.757712,0.690535,0.678518,54.054054
chamados_pct10_fs_lasso,coloradoRiver,1amv1pct10lasso,6,0.688694,0.108657,0.329631,0.268401,29.353307,0.765259,0.704207,0.662831,51.351351
chamados_pct10_fs_lasso,coloradoRiver,1amv1pct10lasso,7,0.688694,0.098382,0.313658,0.255728,28.077906,0.758240,0.691164,0.677851,54.054054
chamados_pct10_fs_lasso,coloradoRiver,1amv1pct10lasso,8,0.688694,0.109677,0.331175,0.269556,29.469838,0.765604,0.705405,0.661359,50.000000
chamados_pct10_fs_lasso,coloradoRiver,1amv1pct10lasso,9,0.688694,0.113898,0.337488,0.274452,29.961258,0.768061,0.710374,0.655479,48.648649
chamados_pct10_fs_lasso,coloradoRiver,1arima,0,,0.104961,0.323976,0.262984,28.817193,0.755655,0.698832,0.667249,52.702703
chamados_pct10_fs_lasso,samurec,1amv1pct10lasso,0,7.402237,48.370786,6.954911,5.811956,20.248434,27.753190,32.593414,0.206785,60.169492
chamados_pct10_fs_lasso,samurec,1amv1pct10lasso,1,7.402237,48.310987,6.950611,5.791146,20.086634,17.920209,21.898416,0.257880,54.237288
chamados_pct10_fs_lasso,samurec,1amv1pct10lasso,2,7.402237,48.311129,6.950621,5.791129,20.086522,17.911892,21.889049,0.257922,54.237288
chamados_pct10_fs_lasso,samurec,1amv1pct10lasso,3,7.402237,48.310997,6.950611,5.791119,20.086484,17.916371,21.893326,0.257900,54.237288
chamados_pct10_fs_lasso,samurec,1amv1pct10lasso,4,7.402237,48.257480,6.946760,5.801482,20.181815,25.169725,29.528751,0.221535,59.322034
chamados_pct10_fs_lasso,samurec,1amv1pct10lasso,5,7.402237,48.311026,6.950613,5.791223,20.087158,17.912289,21.893090,0.257911,54.237288
chamados_pct10_fs_lasso,samurec,1amv1pct10lasso,6,7.402237,48.312595,6.950726,5.791047,20.085597,17.884281,21.857355,0.258079,54.237288
chamados_pct10_fs_lasso,samurec,1amv1pct10lasso,7,7.402237,48.309396,6.950496,5.791295,20.088046,17.947662,21.932514,0.257716,54.237288
chamados_pct10_fs_lasso,samurec,1amv1pct10lasso,8,7.402237,48.381207,6.955660,5.812382,20.250360,27.848644,32.712993,0.206198,61.016949
chamados_pct10_fs_lasso,samurec,1amv1pct10lasso,9,7.402237,48.295692,6.949510,5.805013,20.205605,26.478714,30.977734,0.214683,60.169492
chamados_pct10_fs_lasso,samurec,1arima,0,,48.481589,6.962872,5.858474,20.580083,28.356862,34.562540,0.193628,64.406780
