ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_pct10_fs_mlp_ftest,airlines,1mlppct10ftest,0,18.857983,757.202727,27.517317,21.378605,4.438973,0.730785,0.189013,0.960118,78.571429
chamados_pct10_fs_mlp_ftest,airlines,1mlppct10ftest,1,18.857983,393.525864,19.837486,14.931399,3.245671,0.159528,0.077264,0.981717,78.571429
chamados_pct10_fs_mlp_ftest,airlines,1mlppct10ftest,2,18.857983,389.338283,19.731657,16.004832,3.472662,0.207655,0.070710,0.982583,85.714286
chamados_pct10_fs_mlp_ftest,airlines,1mlppct10ftest,3,18.857983,416.201255,20.401011,15.756143,3.426693,0.150733,0.076852,0.981207,78.571429
chamados_pct10_fs_mlp_ftest,airlines,1mlppct10ftest,4,18.857983,768.121401,27.715003,21.530516,4.446854,0.526853,0.168029,0.961796,85.714286
chamados_pct10_fs_mlp_ftest,airlines,1mlppct10ftest,5,18.857983,392.375097,19.808460,15.126055,3.304803,0.149997,0.073674,0.982157,78.571429
chamados_pct10_fs_mlp_ftest,airlines,1mlppct10ftest,6,18.857983,374.793060,19.359573,15.279404,3.347759,0.132954,0.066684,0.983414,78.571429
chamados_pct10_fs_mlp_ftest,airlines,1mlppct10ftest,7,18.857983,401.842185,20.046002,15.123308,3.293292,0.156623,0.077749,0.981453,78.571429
chamados_pct10_fs_mlp_ftest,airlines,1mlppct10ftest,8,18.857983,454.937396,21.329261,17.408499,3.769241,0.378413,0.100842,0.977588,78.571429
chamados_pct10_fs_mlp_ftest,airlines,1mlppct10ftest,9,18.857983,471.408981,21.711955,16.787475,3.579955,0.192932,0.095424,0.977701,78.571429
chamados_pct10_fs_mlp_ftest,austres,1mlppct10ftest,0,21.310905,462.212414,21.499126,18.895680,0.107908,0.238438,0.045230,0.988330,87.500000
chamados_pct10_fs_mlp_ftest,austres,1mlppct10ftest,1,21.310905,147.200192,12.132609,9.779695,0.055938,0.073837,0.014458,0.996305,87.500000
chamados_pct10_fs_mlp_ftest,austres,1mlppct10ftest,2,21.310905,336.974446,18.356864,15.200164,0.086816,0.172290,0.033096,0.991502,87.500000
chamados_pct10_fs_mlp_ftest,austres,1mlppct10ftest,3,21.310905,498.401090,22.324898,19.833713,0.113261,0.257672,0.048701,0.987417,87.500000
chamados_pct10_fs_mlp_ftest,austres,1mlppct10ftest,4,21.310905,190.216069,13.791884,11.134840,0.063654,0.096026,0.018720,0.995215,87.500000
chamados_pct10_fs_mlp_ftest,austres,1mlppct10ftest,5,21.310905,179.883631,13.412070,10.808190,0.061796,0.090599,0.017681,0.995479,87.500000
chamados_pct10_fs_mlp_ftest,austres,1mlppct10ftest,6,21.310905,1750.615314,41.840355,40.546518,0.231493,0.941228,0.157639,0.956524,87.500000
chamados_pct10_fs_mlp_ftest,austres,1mlppct10ftest,7,21.310905,160.311155,12.661404,10.156475,0.058086,0.080594,0.015760,0.995973,87.500000
chamados_pct10_fs_mlp_ftest,austres,1mlppct10ftest,8,21.310905,229.873600,15.161583,12.193138,0.069675,0.116736,0.022666,0.994207,87.500000
chamados_pct10_fs_mlp_ftest,austres,1mlppct10ftest,9,21.310905,2623.100624,51.216214,50.141552,0.286270,1.430085,0.221466,0.935941,87.500000
chamados_pct10_fs_mlp_ftest,coloradoRiver,1mlppct10ftest,0,0.639182,0.043819,0.209330,0.171394,20.004845,1.457664,0.622034,0.778073,62.162162
chamados_pct10_fs_mlp_ftest,coloradoRiver,1mlppct10ftest,1,0.639182,0.041899,0.204693,0.167343,19.570684,1.443891,0.621482,0.783131,59.459459
chamados_pct10_fs_mlp_ftest,coloradoRiver,1mlppct10ftest,2,0.639182,0.043663,0.208957,0.169383,19.745019,1.394508,0.633964,0.776108,58.108108
chamados_pct10_fs_mlp_ftest,coloradoRiver,1mlppct10ftest,3,0.639182,0.044139,0.210093,0.172685,20.177798,1.470032,0.637115,0.773542,58.108108
chamados_pct10_fs_mlp_ftest,coloradoRiver,1mlppct10ftest,4,0.639182,0.041075,0.202670,0.165143,19.270867,1.344256,0.628990,0.783606,59.459459
chamados_pct10_fs_mlp_ftest,coloradoRiver,1mlppct10ftest,5,0.639182,0.044602,0.211192,0.171416,19.879478,1.340634,0.647831,0.770778,58.108108
chamados_pct10_fs_mlp_ftest,coloradoRiver,1mlppct10ftest,6,0.639182,0.041419,0.203516,0.167561,19.544782,1.536236,0.617556,0.786420,58.108108
chamados_pct10_fs_mlp_ftest,coloradoRiver,1mlppct10ftest,7,0.639182,0.040387,0.200966,0.164928,19.183573,1.387883,0.618081,0.788301,59.459459
chamados_pct10_fs_mlp_ftest,coloradoRiver,1mlppct10ftest,8,0.639182,0.043312,0.208116,0.172194,20.059155,1.520381,0.642075,0.775903,58.108108
chamados_pct10_fs_mlp_ftest,coloradoRiver,1mlppct10ftest,9,0.639182,0.041428,0.203540,0.165289,19.314498,1.379041,0.619329,0.784609,59.459459
chamados_pct10_fs_mlp_ftest,samurec,1mlppct10ftest,0,7.225506,45.346125,6.733953,5.471144,18.767622,8.938660,13.294301,0.353629,58.474576
chamados_pct10_fs_mlp_ftest,samurec,1mlppct10ftest,1,7.225506,45.916573,6.776177,5.540966,18.991900,8.674860,12.651479,0.357837,61.016949
chamados_pct10_fs_mlp_ftest,samurec,1mlppct10ftest,2,7.225506,46.466800,6.816656,5.580738,19.130254,8.682916,12.897520,0.343203,57.627119
chamados_pct10_fs_mlp_ftest,samurec,1mlppct10ftest,3,7.225506,46.683124,6.832505,5.588371,19.153216,8.945360,13.257999,0.332522,58.474576
chamados_pct10_fs_mlp_ftest,samurec,1mlppct10ftest,4,7.225506,46.291910,6.803816,5.559824,19.049888,8.918775,12.908314,0.348175,57.627119
chamados_pct10_fs_mlp_ftest,samurec,1mlppct10ftest,5,7.225506,46.507618,6.819649,5.588424,19.117303,9.055897,13.072946,0.343914,57.627119
chamados_pct10_fs_mlp_ftest,samurec,1mlppct10ftest,6,7.225506,46.355116,6.808459,5.569224,19.064779,8.962994,13.312321,0.346101,60.169492
chamados_pct10_fs_mlp_ftest,samurec,1mlppct10ftest,7,7.225506,46.230493,6.799301,5.566205,19.062083,8.336413,12.378296,0.356559,58.474576
chamados_pct10_fs_mlp_ftest,samurec,1mlppct10ftest,8,7.225506,46.132476,6.792089,5.537914,18.996829,8.861898,13.328718,0.346444,61.864407
chamados_pct10_fs_mlp_ftest,samurec,1mlppct10ftest,9,7.225506,46.106345,6.790165,5.567130,19.107068,9.066403,13.543050,0.340756,57.627119
chamados_pct10_fs_mlp_ftest,sunspot,1mlppct10ftest,0,21.095886,287.092151,16.943794,13.297637,34.938819,0.304348,0.161778,0.960857,67.857143
chamados_pct10_fs_mlp_ftest,sunspot,1mlppct10ftest,1,21.095886,291.625156,17.077036,13.467934,33.604181,0.309885,0.167439,0.959852,67.857143
chamados_pct10_fs_mlp_ftest,sunspot,1mlppct10ftest,2,21.095886,293.584063,17.134295,13.034127,33.034794,0.315149,0.166706,0.959815,67.857143
