ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,0,22.988385,720.658276,26.845079,22.657040,4.847058,0.345549,0.130562,0.967398,85.714286
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,1,22.988385,1063.853068,32.616761,27.513613,5.846469,0.640132,0.188256,0.951692,71.428571
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,2,22.988385,720.339051,26.839133,22.976463,4.853256,0.451733,0.135462,0.966755,78.571429
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,3,22.988385,737.081737,27.149249,22.088106,4.639285,0.511768,0.155578,0.964013,71.428571
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,4,22.988385,710.497458,26.655158,20.834316,4.488914,0.376255,0.125612,0.968241,85.714286
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,5,22.988385,668.968145,25.864419,21.175725,4.495232,0.443920,0.132321,0.968412,78.571429
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,6,22.988385,420.742147,20.512000,16.646013,3.656601,0.197160,0.073953,0.981470,78.571429
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,7,22.988385,634.676949,25.192796,21.283491,4.623154,0.339162,0.112340,0.971688,71.428571
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,8,22.988385,964.894372,31.062749,25.588458,5.423289,0.473800,0.169031,0.956613,85.714286
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,9,22.988385,831.702280,28.839249,24.843562,5.321736,0.385166,0.145413,0.962848,85.714286
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,0,25.380294,178.038942,13.343123,10.854081,0.062070,0.094615,0.017428,0.995535,87.500000
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,1,25.380294,247.683715,15.737971,12.637019,0.072220,0.132842,0.024220,0.993781,87.500000
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,2,25.380294,4139.613416,64.339828,63.177671,0.360665,2.487327,0.318125,0.901352,87.500000
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,3,25.380294,3462.739647,58.845048,57.649216,0.329102,2.052271,0.279089,0.916064,87.500000
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,4,25.380294,665.203755,25.791544,22.943236,0.131012,0.368253,0.064296,0.983224,87.500000
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,5,25.380294,685.663484,26.185177,23.429197,0.133792,0.377812,0.065940,0.982744,87.500000
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,6,25.380294,226.852051,15.061609,11.910983,0.068089,0.120144,0.022061,0.994324,87.500000
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,7,25.380294,577.705082,24.035496,20.963838,0.119720,0.317057,0.055885,0.985456,87.500000
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,8,25.380294,192.069862,13.858927,11.122135,0.063595,0.102113,0.018773,0.995186,87.500000
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,9,25.380294,498.132351,22.318879,19.089182,0.109020,0.271485,0.048392,0.987457,87.500000
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,0,0.654725,0.031788,0.178292,0.136808,16.836816,0.906092,0.639149,0.807493,66.216216
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,1,0.654725,0.032105,0.179177,0.137444,16.714639,0.923522,0.621634,0.810058,60.810811
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,2,0.654725,0.033120,0.181989,0.136672,17.013004,0.942896,0.665549,0.798771,64.864865
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,3,0.654725,0.033002,0.181663,0.141072,17.274940,0.934386,0.614266,0.807953,63.513514
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,4,0.654725,0.031918,0.178657,0.135964,16.973587,0.961054,0.674634,0.801381,64.864865
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,5,0.654725,0.032118,0.179214,0.139982,17.217193,0.886994,0.572589,0.817667,63.513514
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,6,0.654725,0.035807,0.189228,0.141645,17.255659,0.972987,0.660744,0.791008,63.513514
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,7,0.654725,0.035539,0.188517,0.140716,16.889605,0.964994,0.652362,0.794600,63.513514
