ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,0,lasso,10,13,0;1;2;3;5;6;8;9;10;12,lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_5;lag_4;lag_3;lag_1
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,1,lasso,10,13,0;1;2;3;5;6;8;9;10;12,lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_5;lag_4;lag_3;lag_1
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,2,lasso,10,13,0;1;2;3;5;6;8;9;10;12,lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_5;lag_4;lag_3;lag_1
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,3,lasso,10,13,0;1;2;3;5;6;8;9;10;12,lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_5;lag_4;lag_3;lag_1
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,4,lasso,10,13,0;1;2;3;5;6;8;9;10;12,lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_5;lag_4;lag_3;lag_1
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,5,lasso,10,13,0;1;2;3;5;6;8;9;10;12,lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_5;lag_4;lag_3;lag_1
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,6,lasso,10,13,0;1;2;3;5;6;8;9;10;12,lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_5;lag_4;lag_3;lag_1
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,7,lasso,10,13,0;1;2;3;5;6;8;9;10;12,lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_5;lag_4;lag_3;lag_1
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,8,lasso,10,13,0;1;2;3;5;6;8;9;10;12,lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_5;lag_4;lag_3;lag_1
chamados_pct10_fs_mlp_lasso,airlines,1mlppct10lasso,9,lasso,10,13,0;1;2;3;5;6;8;9;10;12,lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_5;lag_4;lag_3;lag_1
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,0,lasso,2,8,6;7,lag_2;lag_1
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,1,lasso,2,8,6;7,lag_2;lag_1
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,2,lasso,2,8,6;7,lag_2;lag_1
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,3,lasso,2,8,6;7,lag_2;lag_1
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,4,lasso,2,8,6;7,lag_2;lag_1
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,5,lasso,2,8,6;7,lag_2;lag_1
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,6,lasso,2,8,6;7,lag_2;lag_1
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,7,lasso,2,8,6;7,lag_2;lag_1
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,8,lasso,2,8,6;7,lag_2;lag_1
chamados_pct10_fs_mlp_lasso,austres,1mlppct10lasso,9,lasso,2,8,6;7,lag_2;lag_1
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,0,lasso,20,67,7;8;13;17;18;19;21;25;29;31;32;41;42;43;45;46;53;54;55;66,lag_60;lag_59;lag_54;lag_50;lag_49;lag_48;lag_46;lag_42;lag_38;lag_36;lag_35;lag_26;lag_25;lag_24;lag_22;lag_21;lag_14;lag_13;lag_12;lag_1
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,1,lasso,20,67,7;8;13;17;18;19;21;25;29;31;32;41;42;43;45;46;53;54;55;66,lag_60;lag_59;lag_54;lag_50;lag_49;lag_48;lag_46;lag_42;lag_38;lag_36;lag_35;lag_26;lag_25;lag_24;lag_22;lag_21;lag_14;lag_13;lag_12;lag_1
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,2,lasso,20,67,7;8;13;17;18;19;21;25;29;31;32;41;42;43;45;46;53;54;55;66,lag_60;lag_59;lag_54;lag_50;lag_49;lag_48;lag_46;lag_42;lag_38;lag_36;lag_35;lag_26;lag_25;lag_24;lag_22;lag_21;lag_14;lag_13;lag_12;lag_1
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,3,lasso,20,67,7;8;13;17;18;19;21;25;29;31;32;41;42;43;45;46;53;54;55;66,lag_60;lag_59;lag_54;lag_50;lag_49;lag_48;lag_46;lag_42;lag_38;lag_36;lag_35;lag_26;lag_25;lag_24;lag_22;lag_21;lag_14;lag_13;lag_12;lag_1
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,4,lasso,20,67,7;8;13;17;18;19;21;25;29;31;32;41;42;43;45;46;53;54;55;66,lag_60;lag_59;lag_54;lag_50;lag_49;lag_48;lag_46;lag_42;lag_38;lag_36;lag_35;lag_26;lag_25;lag_24;lag_22;lag_21;lag_14;lag_13;lag_12;lag_1
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,5,lasso,20,67,7;8;13;17;18;19;21;25;29;31;32;41;42;43;45;46;53;54;55;66,lag_60;lag_59;lag_54;lag_50;lag_49;lag_48;lag_46;lag_42;lag_38;lag_36;lag_35;lag_26;lag_25;lag_24;lag_22;lag_21;lag_14;lag_13;lag_12;lag_1
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,6,lasso,20,67,7;8;13;17;18;19;21;25;29;31;32;41;42;43;45;46;53;54;55;66,lag_60;lag_59;lag_54;lag_50;lag_49;lag_48;lag_46;lag_42;lag_38;lag_36;lag_35;lag_26;lag_25;lag_24;lag_22;lag_21;lag_14;lag_13;lag_12;lag_1
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,7,lasso,20,67,7;8;13;17;18;19;21;25;29;31;32;41;42;43;45;46;53;54;55;66,lag_60;lag_59;lag_54;lag_50;lag_49;lag_48;lag_46;lag_42;lag_38;lag_36;lag_35;lag_26;lag_25;lag_24;lag_22;lag_21;lag_14;lag_13;lag_12;lag_1
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,8,lasso,20,67,7;8;13;17;18;19;21;25;29;31;32;41;42;43;45;46;53;54;55;66,lag_60;lag_59;lag_54;lag_50;lag_49;lag_48;lag_46;lag_42;lag_38;lag_36;lag_35;lag_26;lag_25;lag_24;lag_22;lag_21;lag_14;lag_13;lag_12;lag_1
chamados_pct10_fs_mlp_lasso,coloradoRiver,1mlppct10lasso,9,lasso,20,67,7;8;13;17;18;19;21;25;29;31;32;41;42;43;45;46;53;54;55;66,lag_60;lag_59;lag_54;lag_50;lag_49;lag_48;lag_46;lag_42;lag_38;lag_36;lag_35;lag_26;lag_25;lag_24;lag_22;lag_21;lag_14;lag_13;lag_12;lag_1
chamados_pct10_fs_mlp_lasso,samurec,1mlppct10lasso,0,lasso,1,107,93,lag_14
chamados_pct10_fs_mlp_lasso,samurec,1mlppct10lasso,1,lasso,1,107,93,lag_14
chamados_pct10_fs_mlp_lasso,samurec,1mlppct10lasso,2,lasso,1,107,93,lag_14
chamados_pct10_fs_mlp_lasso,samurec,1mlppct10lasso,3,lasso,1,107,93,lag_14
chamados_pct10_fs_mlp_lasso,samurec,1mlppct10lasso,4,lasso,1,107,93,lag_14
chamados_pct10_fs_mlp_lasso,samurec,1mlppct10lasso,5,lasso,1,107,93,lag_14
chamados_pct10_fs_mlp_lasso,samurec,1mlppct10lasso,6,lasso,1,107,93,lag_14
chamados_pct10_fs_mlp_lasso,samurec,1mlppct10lasso,7,lasso,1,107,93,lag_14
chamados_pct10_fs_mlp_lasso,samurec,1mlppct10lasso,8,lasso,1,107,93,lag_14
chamados_pct10_fs_mlp_lasso,samurec,1mlppct10lasso,9,lasso,1,107,93,lag_14
chamados_pct10_fs_mlp_lasso,sunspot,1mlppct10lasso,0,lasso,9,26,0;4;7;8;17;18;23;24;25,lag_26;lag_22;lag_19;lag_18;lag_9;lag_8;lag_3;lag_2;lag_1
chamados_pct10_fs_mlp_lasso,sunspot,1mlppct10lasso,1,lasso,9,26,0;4;7;8;17;18;23;24;25,lag_26;lag_22;lag_19;lag_18;lag_9;lag_8;lag_3;lag_2;lag_1
chamados_pct10_fs_mlp_lasso,sunspot,1mlppct10lasso,2,lasso,9,26,0;4;7;8;17;18;23;24;25,lag_26;lag_22;lag_19;lag_18;lag_9;lag_8;lag_3;lag_2;lag_1
chamados_pct10_fs_mlp_lasso,sunspot,1mlppct10lasso,3,lasso,9,26,0;4;7;8;17;18;23;24;25,lag_26;lag_22;lag_19;lag_18;lag_9;lag_8;lag_3;lag_2;lag_1
chamados_pct10_fs_mlp_lasso,sunspot,1mlppct10lasso,4,lasso,9,26,0;4;7;8;17;18;23;24;25,lag_26;lag_22;lag_19;lag_18;lag_9;lag_8;lag_3;lag_2;lag_1
chamados_pct10_fs_mlp_lasso,sunspot,1mlppct10lasso,5,lasso,9,26,0;4;7;8;17;18;23;24;25,lag_26;lag_22;lag_19;lag_18;lag_9;lag_8;lag_3;lag_2;lag_1
