ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,0,18.857983,757.202727,27.517317,21.378605,4.438973,0.730785,0.189013,0.960118,78.571429
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,1,18.857983,393.525864,19.837486,14.931399,3.245671,0.159528,0.077264,0.981717,78.571429
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,2,18.857983,389.338283,19.731657,16.004832,3.472662,0.207655,0.070710,0.982583,85.714286
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,3,18.857983,416.201255,20.401011,15.756143,3.426693,0.150733,0.076852,0.981207,78.571429
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,4,18.857983,768.121401,27.715003,21.530516,4.446854,0.526853,0.168029,0.961796,85.714286
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,5,18.857983,392.375097,19.808460,15.126055,3.304803,0.149997,0.073674,0.982157,78.571429
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,6,18.857983,374.793060,19.359573,15.279404,3.347759,0.132954,0.066684,0.983414,78.571429
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,7,18.857983,401.842185,20.046002,15.123308,3.293292,0.156623,0.077749,0.981453,78.571429
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,8,18.857983,454.937396,21.329261,17.408499,3.769241,0.378413,0.100842,0.977588,78.571429
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,9,18.857983,471.408981,21.711955,16.787475,3.579955,0.192932,0.095424,0.977701,78.571429
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,0,21.310905,462.212414,21.499126,18.895680,0.107908,0.238438,0.045230,0.988330,87.500000
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,1,21.310905,147.200192,12.132609,9.779695,0.055938,0.073837,0.014458,0.996305,87.500000
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,2,21.310905,336.974446,18.356864,15.200164,0.086816,0.172290,0.033096,0.991502,87.500000
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,3,21.310905,498.401090,22.324898,19.833713,0.113261,0.257672,0.048701,0.987417,87.500000
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,4,21.310905,190.216069,13.791884,11.134840,0.063654,0.096026,0.018720,0.995215,87.500000
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,5,21.310905,179.883631,13.412070,10.808190,0.061796,0.090599,0.017681,0.995479,87.500000
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,6,21.310905,1750.615314,41.840355,40.546518,0.231493,0.941228,0.157639,0.956524,87.500000
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,7,21.310905,160.311155,12.661404,10.156475,0.058086,0.080594,0.015760,0.995973,87.500000
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,8,21.310905,229.873600,15.161583,12.193138,0.069675,0.116736,0.022666,0.994207,87.500000
