ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,0,mutual_info,5,13,0;1;2;11;12,lag_13;lag_12;lag_11;lag_2;lag_1
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,1,mutual_info,5,13,0;1;2;11;12,lag_13;lag_12;lag_11;lag_2;lag_1
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,2,mutual_info,5,13,0;1;2;11;12,lag_13;lag_12;lag_11;lag_2;lag_1
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,3,mutual_info,5,13,0;1;2;11;12,lag_13;lag_12;lag_11;lag_2;lag_1
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,4,mutual_info,5,13,0;1;2;11;12,lag_13;lag_12;lag_11;lag_2;lag_1
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,5,mutual_info,5,13,0;1;2;11;12,lag_13;lag_12;lag_11;lag_2;lag_1
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,6,mutual_info,5,13,0;1;2;11;12,lag_13;lag_12;lag_11;lag_2;lag_1
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,7,mutual_info,5,13,0;1;2;11;12,lag_13;lag_12;lag_11;lag_2;lag_1
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,8,mutual_info,5,13,0;1;2;11;12,lag_13;lag_12;lag_11;lag_2;lag_1
chamados_pct10_fs_mlp_mutualinfo,airlines,1mlppct10mutualinfo,9,mutual_info,5,13,0;1;2;11;12,lag_13;lag_12;lag_11;lag_2;lag_1
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,0,mutual_info,1,8,7,lag_1
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,1,mutual_info,1,8,7,lag_1
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,2,mutual_info,1,8,7,lag_1
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,3,mutual_info,1,8,7,lag_1
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,4,mutual_info,1,8,7,lag_1
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,5,mutual_info,1,8,7,lag_1
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,6,mutual_info,1,8,7,lag_1
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,7,mutual_info,1,8,7,lag_1
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,8,mutual_info,1,8,7,lag_1
chamados_pct10_fs_mlp_mutualinfo,austres,1mlppct10mutualinfo,9,mutual_info,1,8,7,lag_1
chamados_pct10_fs_mlp_mutualinfo,coloradoRiver,1mlppct10mutualinfo,0,mutual_info,9,67,7;8;19;24;31;43;49;55;66,lag_60;lag_59;lag_48;lag_43;lag_36;lag_24;lag_18;lag_12;lag_1
chamados_pct10_fs_mlp_mutualinfo,coloradoRiver,1mlppct10mutualinfo,1,mutual_info,9,67,7;8;19;24;31;43;55;56;66,lag_60;lag_59;lag_48;lag_43;lag_36;lag_24;lag_12;lag_11;lag_1
