ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_pct10_fs_mlp_rfecv,airlines,1mlppct10rfecv,0,21.320598,404.683708,20.116752,16.041110,3.421134,0.218408,0.075865,0.981602,78.571429
chamados_pct10_fs_mlp_rfecv,airlines,1mlppct10rfecv,1,21.320598,362.119534,19.029439,16.810761,3.759896,0.150825,0.063188,0.984143,78.571429
chamados_pct10_fs_mlp_rfecv,airlines,1mlppct10rfecv,2,21.320598,417.349898,20.429143,15.842343,3.382371,0.232836,0.080993,0.980696,78.571429
chamados_pct10_fs_mlp_rfecv,airlines,1mlppct10rfecv,3,21.320598,420.620909,20.509045,15.880723,3.386320,0.235314,0.081385,0.980569,78.571429
chamados_pct10_fs_mlp_rfecv,airlines,1mlppct10rfecv,4,21.320598,365.997564,19.131063,16.949993,3.783250,0.153481,0.064210,0.983928,78.571429
chamados_pct10_fs_mlp_rfecv,airlines,1mlppct10rfecv,5,21.320598,853.756858,29.219118,24.169898,5.179800,0.531117,0.165845,0.959698,71.428571
chamados_pct10_fs_mlp_rfecv,airlines,1mlppct10rfecv,6,21.320598,393.709743,19.842120,17.816637,3.929265,0.171836,0.071305,0.982415,78.571429
chamados_pct10_fs_mlp_rfecv,airlines,1mlppct10rfecv,7,21.320598,361.501924,19.013204,16.791099,3.756052,0.150573,0.063082,0.984170,78.571429
chamados_pct10_fs_mlp_rfecv,airlines,1mlppct10rfecv,8,21.320598,394.547066,19.863209,17.829696,3.935801,0.171360,0.071122,0.982418,78.571429
chamados_pct10_fs_mlp_rfecv,airlines,1mlppct10rfecv,9,21.320598,586.223814,24.212059,21.595796,4.567547,0.306801,0.121600,0.971823,78.571429
chamados_pct10_fs_mlp_rfecv,austres,1mlppct10rfecv,0,30.098723,1220.467129,34.935185,32.251088,0.184528,0.598384,0.093174,0.972670,87.500000
chamados_pct10_fs_mlp_rfecv,austres,1mlppct10rfecv,1,30.098723,367.998385,19.183284,18.170967,0.103777,0.169161,0.029627,0.991655,87.500000
chamados_pct10_fs_mlp_rfecv,austres,1mlppct10rfecv,2,30.098723,338.485326,18.397971,16.755475,0.095598,0.156478,0.025895,0.992549,87.500000
chamados_pct10_fs_mlp_rfecv,austres,1mlppct10rfecv,3,30.098723,388.395014,19.707740,14.124766,0.081026,0.191857,0.031038,0.991225,87.500000
chamados_pct10_fs_mlp_rfecv,austres,1mlppct10rfecv,4,30.098723,226.865312,15.062049,12.196360,0.069851,0.117461,0.020057,0.994601,87.500000
