ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,0,21.051556,404.683708,20.116752,16.041110,3.421134,0.218408,0.075865,0.981602,78.571429
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,1,21.051556,362.119534,19.029439,16.810761,3.759896,0.150825,0.063188,0.984143,78.571429
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,2,21.051556,415.157093,20.375404,18.341004,4.041456,0.179563,0.074374,0.981542,78.571429
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,3,21.051556,372.369731,19.296884,17.169884,3.819791,0.157825,0.065895,0.983573,78.571429
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,4,21.051556,803.472988,28.345599,23.343324,5.002424,0.508770,0.158255,0.961905,71.428571
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,5,21.051556,362.674567,19.044017,16.832133,3.763255,0.151287,0.063360,0.984109,78.571429
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,6,21.051556,404.851809,20.120930,16.040075,3.421125,0.219047,0.075980,0.981584,78.571429
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,7,21.051556,361.501924,19.013204,16.791099,3.756052,0.150573,0.063082,0.984170,78.571429
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,8,21.051556,394.547066,19.863209,17.829696,3.935801,0.171360,0.071122,0.982418,78.571429
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,9,21.051556,586.223814,24.212059,21.595796,4.567547,0.306801,0.121600,0.971823,78.571429
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,0,33.516250,2652.615742,51.503551,50.098288,0.286318,1.347604,0.193887,0.940401,87.500000
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,1,33.516250,2002.654633,44.751029,38.202691,0.217530,0.831895,0.126765,0.959470,87.500000
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,2,33.516250,1998.700668,44.706830,39.312568,0.223929,0.849824,0.129561,0.959031,87.500000
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,3,33.516250,619.408420,24.887917,21.288419,0.121211,0.271667,0.045677,0.986572,87.500000
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,4,33.516250,346.312827,18.609482,16.696032,0.095192,0.166227,0.027353,0.992235,87.500000
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,5,33.516250,264.864375,16.274654,14.108073,0.080659,0.121871,0.020624,0.994120,87.500000
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,6,33.516250,620.272952,24.905280,22.387176,0.127568,0.273957,0.046004,0.986507,87.500000
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,7,33.516250,307.027986,17.522214,15.555549,0.088799,0.140198,0.023748,0.993204,87.500000
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,8,33.516250,539.626585,23.229864,18.508563,0.105879,0.277686,0.047293,0.987123,87.500000
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,9,33.516250,1242.189172,35.244704,33.311951,0.190505,0.629341,0.098432,0.971556,87.500000
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,0,0.715373,0.033661,0.183469,0.151370,17.650761,1.135811,0.597743,0.811201,59.459459
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,1,0.715373,0.039590,0.198972,0.163756,18.753749,1.458760,0.670149,0.780819,59.459459
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,2,0.715373,0.040787,0.201959,0.167204,19.248172,1.551856,0.663591,0.779404,59.459459
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,3,0.715373,0.041530,0.203789,0.168526,19.420771,1.539933,0.662205,0.777790,59.459459
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,4,0.715373,0.041048,0.202602,0.168818,19.373707,1.529016,0.655954,0.780055,59.459459
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,5,0.715373,0.034703,0.186288,0.153198,17.765218,1.138236,0.614777,0.805166,60.810811
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,6,0.715373,0.039492,0.198725,0.164396,18.959558,1.524607,0.645904,0.786186,59.459459
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,7,0.715373,0.044698,0.211419,0.175092,19.923097,1.511355,0.688484,0.763011,58.108108
