ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,0,rf_embedded,2,13,1;12,lag_12;lag_1
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,1,rf_embedded,1,13,1,lag_12
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,2,rf_embedded,1,13,1,lag_12
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,3,rf_embedded,1,13,1,lag_12
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,4,rf_embedded,2,13,1;12,lag_12;lag_1
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,5,rf_embedded,1,13,1,lag_12
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,6,rf_embedded,2,13,1;12,lag_12;lag_1
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,7,rf_embedded,1,13,1,lag_12
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,8,rf_embedded,1,13,1,lag_12
chamados_pct10_fs_mlp_rfembedded,airlines,1mlppct10rfembedded,9,rf_embedded,1,13,1,lag_12
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,0,rf_embedded,4,8,1;4;5;7,lag_7;lag_4;lag_3;lag_1
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,1,rf_embedded,3,8,2;4;5,lag_6;lag_4;lag_3
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,2,rf_embedded,5,8,0;2;4;5;6,lag_8;lag_6;lag_4;lag_3;lag_2
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,3,rf_embedded,4,8,1;2;4;7,lag_7;lag_6;lag_4;lag_1
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,4,rf_embedded,4,8,2;3;5;7,lag_6;lag_5;lag_3;lag_1
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,5,rf_embedded,4,8,1;2;4;6,lag_7;lag_6;lag_4;lag_2
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,6,rf_embedded,5,8,0;2;4;5;7,lag_8;lag_6;lag_4;lag_3;lag_1
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,7,rf_embedded,4,8,1;3;4;7,lag_7;lag_5;lag_4;lag_1
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,8,rf_embedded,4,8,4;5;6;7,lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_mlp_rfembedded,austres,1mlppct10rfembedded,9,rf_embedded,3,8,2;4;7,lag_6;lag_4;lag_1
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,0,rf_embedded,7,67,7;19;31;43;55;65;66,lag_60;lag_48;lag_36;lag_24;lag_12;lag_2;lag_1
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,1,rf_embedded,6,67,7;19;31;43;55;66,lag_60;lag_48;lag_36;lag_24;lag_12;lag_1
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,2,rf_embedded,6,67,7;19;31;43;55;66,lag_60;lag_48;lag_36;lag_24;lag_12;lag_1
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,3,rf_embedded,6,67,7;19;31;43;55;66,lag_60;lag_48;lag_36;lag_24;lag_12;lag_1
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,4,rf_embedded,6,67,7;19;31;43;55;66,lag_60;lag_48;lag_36;lag_24;lag_12;lag_1
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,5,rf_embedded,7,67,7;19;31;43;55;65;66,lag_60;lag_48;lag_36;lag_24;lag_12;lag_2;lag_1
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,6,rf_embedded,6,67,7;19;31;43;55;66,lag_60;lag_48;lag_36;lag_24;lag_12;lag_1
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,7,rf_embedded,6,67,7;19;31;43;55;66,lag_60;lag_48;lag_36;lag_24;lag_12;lag_1
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,8,rf_embedded,6,67,7;19;31;43;55;66,lag_60;lag_48;lag_36;lag_24;lag_12;lag_1
chamados_pct10_fs_mlp_rfembedded,coloradoRiver,1mlppct10rfembedded,9,rf_embedded,6,67,7;19;31;43;55;66,lag_60;lag_48;lag_36;lag_24;lag_12;lag_1
chamados_pct10_fs_mlp_rfembedded,samurec,1mlppct10rfembedded,0,rf_embedded,41,107,1;2;6;7;8;9;13;19;20;23;25;26;27;31;33;38;39;40;41;43;44;45;47;48;54;58;59;61;71;79;86;88;90;92;93;96;98;100;101;102;104,lag_106;lag_105;lag_101;lag_100;lag_99;lag_98;lag_94;lag_88;lag_87;lag_84;lag_82;lag_81;lag_80;lag_76;lag_74;lag_69;lag_68;lag_67;lag_66;lag_64;lag_63;lag_62;lag_60;lag_59;lag_53;lag_49;lag_48;lag_46;lag_36;lag_28;lag_21;lag_19;lag_17;lag_15;lag_14;lag_11;lag_9;lag_7;lag_6;lag_5;lag_3
chamados_pct10_fs_mlp_rfembedded,samurec,1mlppct10rfembedded,1,rf_embedded,41,107,1;2;6;8;9;13;19;21;23;25;26;27;30;31;33;39;40;41;43;44;45;48;51;52;53;54;58;61;65;71;79;86;90;92;93;96;100;101;102;104;105,lag_106;lag_105;lag_101;lag_99;lag_98;lag_94;lag_88;lag_86;lag_84;lag_82;lag_81;lag_80;lag_77;lag_76;lag_74;lag_68;lag_67;lag_66;lag_64;lag_63;lag_62;lag_59;lag_56;lag_55;lag_54;lag_53;lag_49;lag_46;lag_42;lag_36;lag_28;lag_21;lag_17;lag_15;lag_14;lag_11;lag_7;lag_6;lag_5;lag_3;lag_2
chamados_pct10_fs_mlp_rfembedded,samurec,1mlppct10rfembedded,2,rf_embedded,41,107,2;6;8;9;13;19;21;25;26;27;29;30;31;33;39;40;41;42;43;44;45;48;52;53;54;55;56;58;61;63;70;71;79;86;92;93;96;100;101;102;104,lag_105;lag_101;lag_99;lag_98;lag_94;lag_88;lag_86;lag_82;lag_81;lag_80;lag_78;lag_77;lag_76;lag_74;lag_68;lag_67;lag_66;lag_65;lag_64;lag_63;lag_62;lag_59;lag_55;lag_54;lag_53;lag_52;lag_51;lag_49;lag_46;lag_44;lag_37;lag_36;lag_28;lag_21;lag_15;lag_14;lag_11;lag_7;lag_6;lag_5;lag_3
chamados_pct10_fs_mlp_rfembedded,samurec,1mlppct10rfembedded,3,rf_embedded,40,107,1;2;6;9;13;19;21;25;26;27;31;33;37;39;40;41;42;43;44;45;47;48;52;54;58;61;69;70;71;79;86;90;92;93;98;100;101;102;104;105,lag_106;lag_105;lag_101;lag_98;lag_94;lag_88;lag_86;lag_82;lag_81;lag_80;lag_76;lag_74;lag_70;lag_68;lag_67;lag_66;lag_65;lag_64;lag_63;lag_62;lag_60;lag_59;lag_55;lag_53;lag_49;lag_46;lag_38;lag_37;lag_36;lag_28;lag_21;lag_17;lag_15;lag_14;lag_9;lag_7;lag_6;lag_5;lag_3;lag_2
chamados_pct10_fs_mlp_rfembedded,samurec,1mlppct10rfembedded,4,rf_embedded,36,107,2;6;8;9;13;19;20;25;26;31;39;40;41;43;44;45;47;48;54;55;58;61;70;71;79;86;88;90;92;93;98;100;101;102;104;105,lag_105;lag_101;lag_99;lag_98;lag_94;lag_88;lag_87;lag_82;lag_81;lag_76;lag_68;lag_67;lag_66;lag_64;lag_63;lag_62;lag_60;lag_59;lag_53;lag_52;lag_49;lag_46;lag_37;lag_36;lag_28;lag_21;lag_19;lag_17;lag_15;lag_14;lag_9;lag_7;lag_6;lag_5;lag_3;lag_2
chamados_pct10_fs_mlp_rfembedded,samurec,1mlppct10rfembedded,5,rf_embedded,40,107,1;2;6;13;19;20;25;26;27;31;33;37;39;40;41;43;44;45;48;54;55;58;60;70;71;72;79;86;90;91;92;93;94;98;100;101;102;104;105;106,lag_106;lag_105;lag_101;lag_94;lag_88;lag_87;lag_82;lag_81;lag_80;lag_76;lag_74;lag_70;lag_68;lag_67;lag_66;lag_64;lag_63;lag_62;lag_59;lag_53;lag_52;lag_49;lag_47;lag_37;lag_36;lag_35;lag_28;lag_21;lag_17;lag_16;lag_15;lag_14;lag_13;lag_9;lag_7;lag_6;lag_5;lag_3;lag_2;lag_1
chamados_pct10_fs_mlp_rfembedded,samurec,1mlppct10rfembedded,6,rf_embedded,34,107,1;2;6;9;13;19;22;25;26;27;31;33;37;39;40;41;43;44;45;47;48;58;61;71;79;86;92;93;94;96;100;101;102;104,lag_106;lag_105;lag_101;lag_98;lag_94;lag_88;lag_85;lag_82;lag_81;lag_80;lag_76;lag_74;lag_70;lag_68;lag_67;lag_66;lag_64;lag_63;lag_62;lag_60;lag_59;lag_49;lag_46;lag_36;lag_28;lag_21;lag_15;lag_14;lag_13;lag_11;lag_7;lag_6;lag_5;lag_3
chamados_pct10_fs_mlp_rfembedded,samurec,1mlppct10rfembedded,7,rf_embedded,42,107,1;2;6;9;13;19;21;23;25;26;27;30;33;39;40;41;43;44;45;47;48;52;54;58;59;61;65;69;70;71;72;79;86;90;92;93;96;100;101;102;104;106,lag_106;lag_105;lag_101;lag_98;lag_94;lag_88;lag_86;lag_84;lag_82;lag_81;lag_80;lag_77;lag_74;lag_68;lag_67;lag_66;lag_64;lag_63;lag_62;lag_60;lag_59;lag_55;lag_53;lag_49;lag_48;lag_46;lag_42;lag_38;lag_37;lag_36;lag_35;lag_28;lag_21;lag_17;lag_15;lag_14;lag_11;lag_7;lag_6;lag_5;lag_3;lag_1
chamados_pct10_fs_mlp_rfembedded,samurec,1mlppct10rfembedded,8,rf_embedded,43,107,1;2;6;8;9;13;19;20;23;25;26;29;30;31;33;39;40;41;43;44;45;47;48;54;58;61;69;70;71;79;86;88;90;92;93;94;96;100;101;102;104;105;106,lag_106;lag_105;lag_101;lag_99;lag_98;lag_94;lag_88;lag_87;lag_84;lag_82;lag_81;lag_78;lag_77;lag_76;lag_74;lag_68;lag_67;lag_66;lag_64;lag_63;lag_62;lag_60;lag_59;lag_53;lag_49;lag_46;lag_38;lag_37;lag_36;lag_28;lag_21;lag_19;lag_17;lag_15;lag_14;lag_13;lag_11;lag_7;lag_6;lag_5;lag_3;lag_2;lag_1
