ExperimentID,Serie,Modelo,N_Repeticoes,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,theil_mean,theil_std,ARV_mean,ARV_std,IA_mean,IA_std,POCID_mean,POCID_std
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,10,351.039491,1.501282,18.736009,0.040087,15.022076,0.063147,3.318605,0.014300,0.137935,0.000637,0.061109,0.000293,0.984650,0.000070,78.571429,0.000000
chamados_pct10_fs_mutualinfo,airlines,1arima,1,389.194049,,19.728002,,15.102607,,3.315326,,0.134713,,0.066301,,0.983139,,78.571429,
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,10,431.655978,5.501480,20.775953,0.132340,14.797446,0.123646,0.084622,0.000706,0.157572,0.001504,0.043833,0.000575,0.988900,0.000145,75.000000,0.000000
chamados_pct10_fs_mutualinfo,austres,1arima,1,358.130880,,18.924346,,13.710292,,0.078380,,0.129713,,0.034904,,0.990999,,75.000000,
chamados_pct10_fs_mutualinfo,coloradoRiver,1amv1pct10mutualinfo,10,0.113583,0.007563,0.336851,0.011274,0.270922,0.007496,29.558944,0.813768,0.723884,0.025483,0.715173,0.013470,0.654493,0.012211,52.972973,3.235727
chamados_pct10_fs_mutualinfo,coloradoRiver,1arima,1,0.104961,,0.323976,,0.262984,,28.817193,,0.755655,,0.698832,,0.667249,,52.702703,
chamados_pct10_fs_mutualinfo,samurec,1amv1pct10mutualinfo,10,47.534679,0.282727,6.894512,0.020502,5.788883,0.023531,20.187863,0.091013,21.513991,1.699528,20.861846,1.629704,0.268153,0.008612,62.627119,1.668820
chamados_pct10_fs_mutualinfo,samurec,1arima,1,48.481589,,6.962872,,5.858474,,20.580083,,28.356862,,34.562540,,0.193628,,64.406780,
chamados_pct10_fs_mutualinfo,sunspot,1amv1pct10mutualinfo,10,359.952980,1.931438,18.972365,0.050890,15.363876,0.090863,39.883397,0.402997,0.302453,0.006954,0.179720,0.002689,0.953329,0.000385,63.928571,2.635231
chamados_pct10_fs_mutualinfo,sunspot,1arima,1,365.478709,,19.117497,,15.719171,,36.503112,,0.346894,,0.193887,,0.951367,,67.857143,
chamados_pct10_fs_mutualinfo,windspeedfortaleza,1amv1pct10mutualinfo,10,0.157648,0.001635,0.397045,0.002057,0.335071,0.001535,11.913716,0.071044,0.754369,0.004729,0.293671,0.003750,0.923817,0.000934,57.857143,2.258770
chamados_pct10_fs_mutualinfo,windspeedfortaleza,1arima,1,0.159223,,0.399027,,0.336684,,11.585693,,0.710406,,0.282118,,0.924855,,57.142857,
