ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,0,14.202227,350.394493,18.718827,14.995065,3.310119,0.137725,0.060972,0.984682,78.571429
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,1,14.202227,353.393963,18.798776,15.098401,3.337487,0.138737,0.061439,0.984556,78.571429
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,2,14.202227,350.540952,18.722739,15.007595,3.315559,0.137791,0.061044,0.984670,78.571429
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,3,14.202227,351.314932,18.743397,15.055446,3.326500,0.138148,0.061191,0.984634,78.571429
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,4,14.202227,351.834829,18.757261,15.074988,3.331639,0.138567,0.061307,0.984607,78.571429
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,5,14.202227,352.281472,18.769163,15.060675,3.327908,0.138215,0.061297,0.984599,78.571429
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,6,14.202227,347.984019,18.654330,14.926624,3.302435,0.136575,0.060456,0.984801,78.571429
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,7,14.202227,351.393073,18.745481,15.071616,3.331934,0.138415,0.061218,0.984628,78.571429
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,8,14.202227,351.635314,18.751942,15.018469,3.305777,0.137808,0.061328,0.984609,78.571429
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,9,14.202227,349.621868,18.698178,14.911886,3.296694,0.137365,0.060840,0.984716,78.571429
chamados_pct10_fs_mutualinfo,airlines,1arima,0,,389.194049,19.728002,15.102607,3.315326,0.134713,0.066301,0.983139,78.571429
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,0,15.678246,434.271722,20.839187,14.815425,0.084722,0.158335,0.044146,0.988826,75.000000
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,1,15.678246,430.943859,20.759187,14.725694,0.084216,0.157361,0.043685,0.988928,75.000000
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,2,15.678246,425.636249,20.630954,14.624732,0.083636,0.156165,0.043228,0.989056,75.000000
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,3,15.678246,426.253594,20.645910,14.886687,0.085122,0.155944,0.043349,0.989032,75.000000
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,4,15.678246,437.196928,20.909255,14.882735,0.085112,0.158526,0.044351,0.988762,75.000000
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,5,15.678246,423.978876,20.590747,14.567588,0.083308,0.155578,0.042985,0.989109,75.000000
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,6,15.678246,433.448647,20.819430,14.937740,0.085423,0.158220,0.044060,0.988848,75.000000
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,7,15.678246,434.785005,20.851499,14.787253,0.084566,0.158867,0.044195,0.988813,75.000000
