ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,0,mutual_info,5,13,1;8;9;11;12,lag_12;lag_5;lag_4;lag_2;lag_1
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,1,mutual_info,5,13,1;8;9;11;12,lag_12;lag_5;lag_4;lag_2;lag_1
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,2,mutual_info,5,13,1;8;9;11;12,lag_12;lag_5;lag_4;lag_2;lag_1
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,3,mutual_info,5,13,1;8;9;11;12,lag_12;lag_5;lag_4;lag_2;lag_1
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,4,mutual_info,5,13,1;8;9;11;12,lag_12;lag_5;lag_4;lag_2;lag_1
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,5,mutual_info,5,13,1;8;9;11;12,lag_12;lag_5;lag_4;lag_2;lag_1
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,6,mutual_info,5,13,1;8;9;11;12,lag_12;lag_5;lag_4;lag_2;lag_1
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,7,mutual_info,5,13,1;8;9;11;12,lag_12;lag_5;lag_4;lag_2;lag_1
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,8,mutual_info,5,13,1;8;9;11;12,lag_12;lag_5;lag_4;lag_2;lag_1
chamados_pct10_fs_mutualinfo,airlines,1amv1pct10mutualinfo,9,mutual_info,5,13,1;8;9;11;12,lag_12;lag_5;lag_4;lag_2;lag_1
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,0,mutual_info,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,1,mutual_info,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,2,mutual_info,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,3,mutual_info,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,4,mutual_info,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,5,mutual_info,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,6,mutual_info,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,7,mutual_info,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,8,mutual_info,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_mutualinfo,austres,1amv1pct10mutualinfo,9,mutual_info,8,8,0;1;2;3;4;5;6;7,lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_mutualinfo,coloradoRiver,1amv1pct10mutualinfo,0,mutual_info,15,67,0;2;6;7;15;24;25;26;36;37;48;50;55;61;66,lag_67;lag_65;lag_61;lag_60;lag_52;lag_43;lag_42;lag_41;lag_31;lag_30;lag_19;lag_17;lag_12;lag_6;lag_1
chamados_pct10_fs_mutualinfo,coloradoRiver,1amv1pct10mutualinfo,1,mutual_info,15,67,0;2;6;7;15;24;25;26;36;37;48;50;55;61;66,lag_67;lag_65;lag_61;lag_60;lag_52;lag_43;lag_42;lag_41;lag_31;lag_30;lag_19;lag_17;lag_12;lag_6;lag_1
chamados_pct10_fs_mutualinfo,coloradoRiver,1amv1pct10mutualinfo,2,mutual_info,15,67,0;2;6;7;15;24;25;26;36;37;48;50;55;61;66,lag_67;lag_65;lag_61;lag_60;lag_52;lag_43;lag_42;lag_41;lag_31;lag_30;lag_19;lag_17;lag_12;lag_6;lag_1
chamados_pct10_fs_mutualinfo,coloradoRiver,1amv1pct10mutualinfo,3,mutual_info,15,67,0;2;6;7;15;24;25;26;36;37;48;50;55;61;66,lag_67;lag_65;lag_61;lag_60;lag_52;lag_43;lag_42;lag_41;lag_31;lag_30;lag_19;lag_17;lag_12;lag_6;lag_1
chamados_pct10_fs_mutualinfo,coloradoRiver,1amv1pct10mutualinfo,4,mutual_info,15,67,0;2;6;7;15;24;25;26;36;37;48;50;55;61;66,lag_67;lag_65;lag_61;lag_60;lag_52;lag_43;lag_42;lag_41;lag_31;lag_30;lag_19;lag_17;lag_12;lag_6;lag_1
chamados_pct10_fs_mutualinfo,coloradoRiver,1amv1pct10mutualinfo,5,mutual_info,15,67,0;2;6;7;15;24;25;26;36;37;48;50;55;61;66,lag_67;lag_65;lag_61;lag_60;lag_52;lag_43;lag_42;lag_41;lag_31;lag_30;lag_19;lag_17;lag_12;lag_6;lag_1
chamados_pct10_fs_mutualinfo,coloradoRiver,1amv1pct10mutualinfo,6,mutual_info,15,67,0;2;6;7;15;24;25;26;36;37;48;50;55;61;66,lag_67;lag_65;lag_61;lag_60;lag_52;lag_43;lag_42;lag_41;lag_31;lag_30;lag_19;lag_17;lag_12;lag_6;lag_1
chamados_pct10_fs_mutualinfo,coloradoRiver,1amv1pct10mutualinfo,7,mutual_info,15,67,0;2;6;7;15;24;25;26;36;37;48;50;55;61;66,lag_67;lag_65;lag_61;lag_60;lag_52;lag_43;lag_42;lag_41;lag_31;lag_30;lag_19;lag_17;lag_12;lag_6;lag_1
