ExperimentID,Serie,Modelo,N_Repeticoes,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,theil_mean,theil_std,ARV_mean,ARV_std,IA_mean,IA_std,POCID_mean,POCID_std
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,10,590.865084,786.904200,21.964239,10.976606,17.472746,8.064125,3.798977,1.623592,0.169141,0.108171,0.091378,0.101409,0.974701,0.032818,76.428571,6.776309
chamados_pct10_fs_rfecv,airlines,1arima,1,389.194049,,19.728002,,15.102607,,3.315326,,0.134713,,0.066301,,0.983139,,78.571429,
chamados_pct10_fs_rfecv,austres,1amv1pct10rfecv,10,421.955978,30.064386,20.529176,0.751964,14.763394,0.503782,0.084420,0.002881,0.152062,0.009549,0.042405,0.003249,0.989211,0.000803,75.000000,0.000000
chamados_pct10_fs_rfecv,austres,1arima,1,358.130880,,18.924346,,13.710292,,0.078380,,0.129713,,0.034904,,0.990999,,75.000000,
chamados_pct10_fs_rfecv,coloradoRiver,1amv1pct10rfecv,10,0.161699,0.010977,0.401909,0.013673,0.323655,0.011614,35.296088,1.307895,0.772116,0.027119,0.754394,0.011614,0.599854,0.010428,51.891892,5.880061
chamados_pct10_fs_rfecv,coloradoRiver,1arima,1,0.104961,,0.323976,,0.262984,,28.817193,,0.755655,,0.698832,,0.667249,,52.702703,
chamados_pct10_fs_rfecv,samurec,1amv1pct10rfecv,10,53.695806,0.642528,7.327624,0.043830,6.037626,0.061210,20.663907,0.233104,4.278955,0.790020,5.867576,0.329322,0.370218,0.007213,57.288136,2.231460
chamados_pct10_fs_rfecv,samurec,1arima,1,48.481589,,6.962872,,5.858474,,20.580083,,28.356862,,34.562540,,0.193628,,64.406780,
chamados_pct10_fs_rfecv,sunspot,1amv1pct10rfecv,10,390.717047,20.894354,19.760200,0.528684,15.617041,0.353384,37.995494,2.731201,0.311757,0.016243,0.199496,0.011108,0.948445,0.002819,69.642857,4.208969
chamados_pct10_fs_rfecv,sunspot,1arima,1,365.478709,,19.117497,,15.719171,,36.503112,,0.346894,,0.193887,,0.951367,,67.857143,
chamados_pct10_fs_rfecv,windspeedfortaleza,1amv1pct10rfecv,10,0.163627,0.011678,0.404283,0.014249,0.337116,0.009459,11.824584,0.265147,0.773937,0.022956,0.300184,0.017720,0.921286,0.005358,61.428571,4.994328
chamados_pct10_fs_rfecv,windspeedfortaleza,1arima,1,0.159223,,0.399027,,0.336684,,11.585693,,0.710406,,0.282118,,0.924855,,57.142857,
