ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,0,14.348206,338.431903,18.396519,14.657086,3.231368,0.131696,0.058584,0.985251,78.571429
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,1,14.348206,2830.378253,53.201299,40.405309,8.415306,0.476603,0.379969,0.881302,57.142857
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,2,14.348206,348.490157,18.667891,15.277137,3.357413,0.140193,0.060765,0.984751,78.571429
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,3,14.348206,338.296171,18.392829,14.276130,3.128193,0.125388,0.057758,0.985360,78.571429
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,4,14.348206,337.542257,18.372323,14.894982,3.285074,0.131619,0.058352,0.985301,78.571429
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,5,14.348206,332.996492,18.248191,14.774753,3.268924,0.131240,0.057685,0.985486,78.571429
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,6,14.348206,346.884302,18.624830,15.196028,3.340350,0.140576,0.060466,0.984824,78.571429
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,7,14.348206,339.425978,18.423517,14.776587,3.259521,0.131907,0.058608,0.985226,78.571429
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,8,14.348206,348.963862,18.680574,15.295199,3.368349,0.142052,0.060990,0.984712,78.571429
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,9,14.348206,347.241468,18.634416,15.174248,3.335273,0.140133,0.060600,0.984800,78.571429
chamados_pct10_fs_rfecv,airlines,1arima,0,,389.194049,19.728002,15.102607,3.315326,0.134713,0.066301,0.983139,78.571429
chamados_pct10_fs_rfecv,austres,1amv1pct10rfecv,0,16.087148,424.192029,20.595923,14.800234,0.084639,0.154087,0.042752,0.989143,75.000000
chamados_pct10_fs_rfecv,austres,1amv1pct10rfecv,1,16.087148,430.943859,20.759187,14.725694,0.084216,0.157361,0.043685,0.988928,75.000000
chamados_pct10_fs_rfecv,austres,1amv1pct10rfecv,2,16.087148,425.636249,20.630954,14.624732,0.083636,0.156165,0.043228,0.989056,75.000000
chamados_pct10_fs_rfecv,austres,1amv1pct10rfecv,3,16.087148,453.662452,21.299353,15.576100,0.089033,0.152867,0.044726,0.988502,75.000000
chamados_pct10_fs_rfecv,austres,1amv1pct10rfecv,4,16.087148,348.654709,18.672298,13.636351,0.077958,0.129463,0.034404,0.991183,75.000000
chamados_pct10_fs_rfecv,austres,1amv1pct10rfecv,5,16.087148,409.170737,20.227969,14.572789,0.083350,0.150135,0.041183,0.989537,75.000000
chamados_pct10_fs_rfecv,austres,1amv1pct10rfecv,6,16.087148,433.448647,20.819430,14.937740,0.085423,0.158220,0.044060,0.988848,75.000000
chamados_pct10_fs_rfecv,austres,1amv1pct10rfecv,7,16.087148,434.785005,20.851499,14.787253,0.084566,0.158867,0.044195,0.988813,75.000000
chamados_pct10_fs_rfecv,austres,1amv1pct10rfecv,8,16.087148,406.272016,20.156191,14.699657,0.084020,0.142449,0.040152,0.989703,75.000000
chamados_pct10_fs_rfecv,austres,1amv1pct10rfecv,9,16.087148,452.794080,21.278959,15.273385,0.087358,0.161005,0.045666,0.988398,75.000000
chamados_pct10_fs_rfecv,austres,1arima,0,,358.130880,18.924346,13.710292,0.078380,0.129713,0.034904,0.990999,75.000000
chamados_pct10_fs_rfecv,coloradoRiver,1amv1pct10rfecv,0,0.700387,0.143161,0.378366,0.302616,33.033506,0.748580,0.751317,0.612318,48.648649
chamados_pct10_fs_rfecv,coloradoRiver,1amv1pct10rfecv,1,0.700387,0.181584,0.426127,0.341219,36.905073,0.778723,0.764182,0.583334,55.405405
chamados_pct10_fs_rfecv,coloradoRiver,1amv1pct10rfecv,2,0.700387,0.159603,0.399504,0.320412,34.800019,0.762649,0.736262,0.608404,51.351351
chamados_pct10_fs_rfecv,coloradoRiver,1amv1pct10rfecv,3,0.700387,0.166395,0.407915,0.330529,36.433190,0.791050,0.775224,0.587751,50.000000
chamados_pct10_fs_rfecv,coloradoRiver,1amv1pct10rfecv,4,0.700387,0.158857,0.398569,0.322514,35.101856,0.758090,0.745998,0.607199,54.054054
chamados_pct10_fs_rfecv,coloradoRiver,1amv1pct10rfecv,5,0.700387,0.168491,0.410477,0.331788,36.251322,0.796530,0.749093,0.598234,50.000000
chamados_pct10_fs_rfecv,coloradoRiver,1amv1pct10rfecv,6,0.700387,0.166560,0.408118,0.327390,35.715469,0.753881,0.767174,0.589561,54.054054
chamados_pct10_fs_rfecv,coloradoRiver,1amv1pct10rfecv,7,0.700387,0.155705,0.394595,0.328035,36.303197,0.829802,0.752797,0.603097,39.189189
chamados_pct10_fs_rfecv,coloradoRiver,1amv1pct10rfecv,8,0.700387,0.148772,0.385710,0.306328,33.302366,0.740385,0.745569,0.611996,62.162162
chamados_pct10_fs_rfecv,coloradoRiver,1amv1pct10rfecv,9,0.700387,0.167866,0.409715,0.325717,35.114882,0.761469,0.756326,0.596644,54.054054
chamados_pct10_fs_rfecv,coloradoRiver,1arima,0,,0.104961,0.323976,0.262984,28.817193,0.755655,0.698832,0.667249,52.702703
chamados_pct10_fs_rfecv,samurec,1amv1pct10rfecv,0,7.437645,53.121057,7.288419,6.055535,20.785918,3.856875,5.802460,0.372935,58.474576
chamados_pct10_fs_rfecv,samurec,1amv1pct10rfecv,1,7.437645,53.926625,7.343475,6.072261,20.730793,3.673086,5.676559,0.371202,55.932203
chamados_pct10_fs_rfecv,samurec,1amv1pct10rfecv,2,7.437645,53.835522,7.337269,6.054264,20.690371,3.662432,5.500458,0.378805,58.474576
chamados_pct10_fs_rfecv,samurec,1amv1pct10rfecv,3,7.437645,53.699019,7.327961,5.970560,20.404333,5.545106,6.487867,0.359620,61.016949
chamados_pct10_fs_rfecv,samurec,1amv1pct10rfecv,4,7.437645,53.163291,7.291316,6.005140,20.581771,3.934604,5.839127,0.378234,57.627119
chamados_pct10_fs_rfecv,samurec,1amv1pct10rfecv,5,7.437645,54.706384,7.396376,6.035292,20.516776,4.706750,6.064605,0.360717,58.474576
chamados_pct10_fs_rfecv,samurec,1amv1pct10rfecv,6,7.437645,53.242926,7.296775,5.935768,20.391038,5.787904,6.322350,0.363328,52.542373
chamados_pct10_fs_rfecv,samurec,1amv1pct10rfecv,7,7.437645,54.030737,7.350560,6.088395,20.839473,3.889499,5.537200,0.374138,56.779661
chamados_pct10_fs_rfecv,samurec,1amv1pct10rfecv,8,7.437645,54.532127,7.384587,6.149883,21.164881,3.770394,5.627276,0.366470,55.932203
chamados_pct10_fs_rfecv,samurec,1amv1pct10rfecv,9,7.437645,52.700375,7.259502,6.009166,20.533712,3.962905,5.817855,0.376727,57.627119
chamados_pct10_fs_rfecv,samurec,1arima,0,,48.481589,6.962872,5.858474,20.580083,28.356862,34.562540,0.193628,64.406780
chamados_pct10_fs_rfecv,sunspot,1amv1pct10rfecv,0,21.724132,373.980583,19.338578,15.263522,37.024492,0.301666,0.189363,0.950947,75.000000
chamados_pct10_fs_rfecv,sunspot,1amv1pct10rfecv,1,21.724132,362.538375,19.040441,15.366469,38.071660,0.298491,0.185582,0.952234,75.000000
chamados_pct10_fs_rfecv,sunspot,1amv1pct10rfecv,2,21.724132,396.062973,19.901331,15.580778,35.279401,0.312590,0.200222,0.947980,64.285714
chamados_pct10_fs_rfecv,sunspot,1amv1pct10rfecv,3,21.724132,422.818670,20.562555,16.087930,39.635482,0.318299,0.211269,0.944553,67.857143
chamados_pct10_fs_rfecv,sunspot,1amv1pct10rfecv,4,21.724132,368.405314,19.193887,15.354607,37.646101,0.304769,0.190391,0.951201,75.000000
chamados_pct10_fs_rfecv,sunspot,1amv1pct10rfecv,5,21.724132,405.475827,20.136430,16.203466,43.165666,0.315427,0.207938,0.946239,67.857143
chamados_pct10_fs_rfecv,sunspot,1amv1pct10rfecv,6,21.724132,389.994961,19.748290,15.621228,36.415265,0.303909,0.194746,0.949101,67.857143
chamados_pct10_fs_rfecv,sunspot,1amv1pct10rfecv,7,21.724132,370.192864,19.240397,15.702167,41.705393,0.300074,0.191523,0.950867,67.857143
chamados_pct10_fs_rfecv,sunspot,1amv1pct10rfecv,8,21.724132,409.516514,20.236514,15.857994,36.057460,0.308378,0.204088,0.946465,64.285714
chamados_pct10_fs_rfecv,sunspot,1amv1pct10rfecv,9,21.724132,408.184384,20.203574,15.132251,34.954022,0.353964,0.219834,0.944860,71.428571
chamados_pct10_fs_rfecv,sunspot,1arima,0,,365.478709,19.117497,15.719171,36.503112,0.346894,0.193887,0.951367,67.857143
chamados_pct10_fs_rfecv,windspeedfortaleza,1amv1pct10rfecv,0,0.400971,0.166996,0.408651,0.339138,11.809760,0.795767,0.312091,0.918643,57.142857
chamados_pct10_fs_rfecv,windspeedfortaleza,1amv1pct10rfecv,1,0.400971,0.156948,0.396167,0.334916,11.924884,0.756309,0.293618,0.924012,57.142857
chamados_pct10_fs_rfecv,windspeedfortaleza,1amv1pct10rfecv,2,0.400971,0.173847,0.416950,0.336447,11.650280,0.777209,0.289544,0.920295,71.428571
chamados_pct10_fs_rfecv,windspeedfortaleza,1amv1pct10rfecv,3,0.400971,0.167238,0.408948,0.339616,11.854709,0.804278,0.316433,0.917989,57.142857
chamados_pct10_fs_rfecv,windspeedfortaleza,1amv1pct10rfecv,4,0.400971,0.166323,0.407827,0.339351,11.828645,0.796025,0.312865,0.918721,57.142857
chamados_pct10_fs_rfecv,windspeedfortaleza,1amv1pct10rfecv,5,0.400971,0.155555,0.394405,0.329434,11.617779,0.766084,0.285373,0.925517,64.285714
chamados_pct10_fs_rfecv,windspeedfortaleza,1amv1pct10rfecv,6,0.400971,0.188784,0.434493,0.360888,12.481725,0.793462,0.334456,0.909759,64.285714
chamados_pct10_fs_rfecv,windspeedfortaleza,1amv1pct10rfecv,7,0.400971,0.157925,0.397398,0.334708,11.898276,0.754088,0.293289,0.923794,57.142857
