ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,0,rfecv,10,13,0;1;2;4;6;7;8;9;11;12,lag_13;lag_12;lag_11;lag_9;lag_7;lag_6;lag_5;lag_4;lag_2;lag_1
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,1,rfecv,13,13,0;1;2;3;4;5;6;7;8;9;10;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,2,rfecv,13,13,0;1;2;3;4;5;6;7;8;9;10;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,3,rfecv,9,13,0;1;3;4;6;7;9;11;12,lag_13;lag_12;lag_10;lag_9;lag_7;lag_6;lag_4;lag_2;lag_1
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,4,rfecv,11,13,0;1;2;3;4;6;7;8;9;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_7;lag_6;lag_5;lag_4;lag_2;lag_1
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,5,rfecv,11,13,0;1;2;3;4;6;7;8;9;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_7;lag_6;lag_5;lag_4;lag_2;lag_1
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,6,rfecv,13,13,0;1;2;3;4;5;6;7;8;9;10;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,7,rfecv,10,13,0;1;2;4;6;7;8;9;11;12,lag_13;lag_12;lag_11;lag_9;lag_7;lag_6;lag_5;lag_4;lag_2;lag_1
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,8,rfecv,13,13,0;1;2;3;4;5;6;7;8;9;10;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_rfecv,airlines,1amv1pct10rfecv,9,rfecv,13,13,0;1;2;3;4;5;6;7;8;9;10;11;12,lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_pct10_fs_rfecv,austres,1amv1pct10rfecv,0,rfecv,6,8,1;2;3;5;6;7,lag_7;lag_6;lag_5;lag_3;lag_2;lag_1
