ExperimentID,Serie,Modelo,N_Repeticoes,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,theil_mean,theil_std,ARV_mean,ARV_std,IA_mean,IA_std,POCID_mean,POCID_std
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,10,381.058335,9.438627,19.519340,0.244246,14.502197,0.124539,3.171375,0.029684,0.134897,0.001931,0.064605,0.001233,0.983537,0.000364,78.571429,0.000000
chamados_pct10_fs_rfembedded,airlines,1arima,1,389.194049,,19.728002,,15.102607,,3.315326,,0.134713,,0.066301,,0.983139,,78.571429,
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,10,349.304118,3.725326,18.689441,0.099570,13.667633,0.066108,0.078136,0.000377,0.129151,0.001003,0.034419,0.000326,0.991173,0.000089,75.000000,0.000000
chamados_pct10_fs_rfembedded,austres,1arima,1,358.130880,,18.924346,,13.710292,,0.078380,,0.129713,,0.034904,,0.990999,,75.000000,
chamados_pct10_fs_rfembedded,coloradoRiver,1amv1pct10rfembedded,10,0.153695,0.006571,0.391958,0.008426,0.312660,0.008410,33.894654,0.823526,0.729058,0.015188,0.756402,0.008002,0.603792,0.005895,49.324324,3.887990
chamados_pct10_fs_rfembedded,coloradoRiver,1arima,1,0.104961,,0.323976,,0.262984,,28.817193,,0.755655,,0.698832,,0.667249,,52.702703,
chamados_pct10_fs_rfembedded,samurec,1amv1pct10rfembedded,10,53.593594,2.055103,7.319547,0.140743,5.970576,0.137373,20.420067,0.459410,6.961030,0.554020,7.220683,0.529136,0.341986,0.021767,54.661017,2.803592
chamados_pct10_fs_rfembedded,samurec,1arima,1,48.481589,,6.962872,,5.858474,,20.580083,,28.356862,,34.562540,,0.193628,,64.406780,
chamados_pct10_fs_rfembedded,sunspot,1amv1pct10rfembedded,10,352.672121,19.807952,18.772949,0.525469,15.265320,0.319864,39.695156,1.359185,0.297380,0.010252,0.180698,0.011510,0.953665,0.002829,62.857143,3.011693
chamados_pct10_fs_rfembedded,sunspot,1arima,1,365.478709,,19.117497,,15.719171,,36.503112,,0.346894,,0.193887,,0.951367,,67.857143,
chamados_pct10_fs_rfembedded,windspeedfortaleza,1amv1pct10rfembedded,10,0.210861,0.109859,0.449977,0.096502,0.367127,0.067696,12.639275,2.058850,0.756821,0.059812,0.329185,0.073467,0.905545,0.036731,64.285714,6.734350
chamados_pct10_fs_rfembedded,windspeedfortaleza,1arima,1,0.159223,,0.399027,,0.336684,,11.585693,,0.710406,,0.282118,,0.924855,,57.142857,
