ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,0,14.720474,384.815670,19.616719,14.501999,3.178303,0.137506,0.065371,0.983355,78.571429
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,1,14.720474,384.380292,19.605619,14.503223,3.168087,0.135268,0.065009,0.983412,78.571429
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,2,14.720474,381.161020,19.523346,14.461619,3.145176,0.134141,0.064555,0.983541,78.571429
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,3,14.720474,357.890886,18.918004,14.597209,3.199805,0.133431,0.062065,0.984376,78.571429
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,4,14.720474,381.841120,19.540755,14.366465,3.163122,0.134229,0.064298,0.983560,78.571429
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,5,14.720474,387.942797,19.696264,14.610860,3.206320,0.138144,0.065792,0.983232,78.571429
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,6,14.720474,385.566111,19.635837,14.508852,3.170193,0.134874,0.065193,0.983362,78.571429
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,7,14.720474,388.325908,19.705987,14.733119,3.211742,0.135539,0.065423,0.983272,78.571429
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,8,14.720474,371.820684,19.282652,14.298614,3.114495,0.131393,0.062832,0.983970,78.571429
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,9,14.720474,386.838867,19.668220,14.440005,3.156504,0.134446,0.065515,0.983293,78.571429
chamados_pct10_fs_rfembedded,airlines,1arima,0,,389.194049,19.728002,15.102607,3.315326,0.134713,0.066301,0.983139,78.571429
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,0,16.842912,355.010450,18.841721,13.655231,0.078069,0.131273,0.035022,0.991022,75.000000
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,1,16.842912,345.610685,18.590607,13.638902,0.077971,0.128555,0.034125,0.991258,75.000000
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,2,16.842912,353.942080,18.813348,13.794088,0.078856,0.128980,0.034690,0.991079,75.000000
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,3,16.842912,344.670287,18.565298,13.677172,0.078187,0.127648,0.033941,0.991294,75.000000
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,4,16.842912,349.507356,18.695116,13.634589,0.077948,0.129432,0.034477,0.991163,75.000000
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,5,16.842912,345.727553,18.593750,13.628231,0.077910,0.128479,0.034114,0.991258,75.000000
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,6,16.842912,347.879852,18.651538,13.690575,0.078265,0.128444,0.034261,0.991212,75.000000
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,7,16.842912,353.648393,18.805542,13.761470,0.078671,0.129086,0.034700,0.991082,75.000000
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,8,16.842912,347.906331,18.652247,13.580606,0.077640,0.129782,0.034374,0.991197,75.000000
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,9,16.842912,349.138188,18.685240,13.615465,0.077840,0.129836,0.034484,0.991167,75.000000
chamados_pct10_fs_rfembedded,austres,1arima,0,,358.130880,18.924346,13.710292,0.078380,0.129713,0.034904,0.990999,75.000000
chamados_pct10_fs_rfembedded,coloradoRiver,1amv1pct10rfembedded,0,0.703676,0.159796,0.399746,0.321812,34.734817,0.737581,0.749337,0.603879,50.000000
chamados_pct10_fs_rfembedded,coloradoRiver,1amv1pct10rfembedded,1,0.703676,0.155933,0.394883,0.314958,34.225567,0.735068,0.765951,0.597028,48.648649
chamados_pct10_fs_rfembedded,coloradoRiver,1amv1pct10rfembedded,2,0.703676,0.157805,0.397246,0.316461,34.382379,0.710768,0.771684,0.593881,51.351351
chamados_pct10_fs_rfembedded,coloradoRiver,1amv1pct10rfembedded,3,0.703676,0.144681,0.380370,0.301608,32.812489,0.723248,0.761288,0.607898,50.000000
chamados_pct10_fs_rfembedded,coloradoRiver,1amv1pct10rfembedded,4,0.703676,0.154597,0.393188,0.314675,34.093415,0.741690,0.751796,0.605436,45.945946
chamados_pct10_fs_rfembedded,coloradoRiver,1amv1pct10rfembedded,5,0.703676,0.142799,0.377887,0.297139,32.339084,0.700118,0.753979,0.610710,48.648649
chamados_pct10_fs_rfembedded,coloradoRiver,1amv1pct10rfembedded,6,0.703676,0.161265,0.401578,0.321983,34.700203,0.742680,0.752478,0.600091,41.891892
