ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,0,rf_embedded,3,13,1;7;11,lag_12;lag_6;lag_2
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,1,rf_embedded,4,13,1;6;7;11,lag_12;lag_7;lag_6;lag_2
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,2,rf_embedded,5,13,0;1;6;7;11,lag_13;lag_12;lag_7;lag_6;lag_2
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,3,rf_embedded,4,13,1;7;11;12,lag_12;lag_6;lag_2;lag_1
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,4,rf_embedded,5,13,1;6;7;9;11,lag_12;lag_7;lag_6;lag_4;lag_2
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,5,rf_embedded,3,13,1;7;11,lag_12;lag_6;lag_2
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,6,rf_embedded,4,13,1;6;7;11,lag_12;lag_7;lag_6;lag_2
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,7,rf_embedded,5,13,0;1;6;7;11,lag_13;lag_12;lag_7;lag_6;lag_2
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,8,rf_embedded,5,13,1;4;6;7;11,lag_12;lag_9;lag_7;lag_6;lag_2
chamados_pct10_fs_rfembedded,airlines,1amv1pct10rfembedded,9,rf_embedded,4,13,1;6;7;11,lag_12;lag_7;lag_6;lag_2
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,0,rf_embedded,3,8,3;5;7,lag_5;lag_3;lag_1
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,1,rf_embedded,3,8,3;5;7,lag_5;lag_3;lag_1
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,2,rf_embedded,3,8,3;5;7,lag_5;lag_3;lag_1
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,3,rf_embedded,2,8,3;5,lag_5;lag_3
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,4,rf_embedded,3,8,3;5;7,lag_5;lag_3;lag_1
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,5,rf_embedded,2,8,3;5,lag_5;lag_3
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,6,rf_embedded,3,8,3;5;7,lag_5;lag_3;lag_1
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,7,rf_embedded,3,8,3;5;7,lag_5;lag_3;lag_1
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,8,rf_embedded,3,8,3;5;7,lag_5;lag_3;lag_1
chamados_pct10_fs_rfembedded,austres,1amv1pct10rfembedded,9,rf_embedded,2,8,3;5,lag_5;lag_3
chamados_pct10_fs_rfembedded,coloradoRiver,1amv1pct10rfembedded,0,rf_embedded,18,67,6;7;8;17;18;19;20;30;31;32;42;43;44;48;54;55;56;66,lag_61;lag_60;lag_59;lag_50;lag_49;lag_48;lag_47;lag_37;lag_36;lag_35;lag_25;lag_24;lag_23;lag_19;lag_13;lag_12;lag_11;lag_1
chamados_pct10_fs_rfembedded,coloradoRiver,1amv1pct10rfembedded,1,rf_embedded,19,67,6;7;8;18;19;21;25;27;30;31;32;42;43;44;48;54;55;56;66,lag_61;lag_60;lag_59;lag_49;lag_48;lag_46;lag_42;lag_40;lag_37;lag_36;lag_35;lag_25;lag_24;lag_23;lag_19;lag_13;lag_12;lag_11;lag_1
