ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_v4_fs_arimasvr_lasso,airlines,1arima,0,,389.194049,19.728002,15.102607,3.315326,0.134713,0.066301,0.983139,78.571429
chamados_v4_fs_arimasvr_lasso,airlines,1aslasso,0,15.053499,371.954602,19.286125,14.325620,3.109897,0.122320,0.062649,0.983991,78.571429
chamados_v4_fs_arimasvr_lasso,austres,1arima,0,,358.130880,18.924346,13.710292,0.078380,0.129713,0.034904,0.990999,75.000000
chamados_v4_fs_arimasvr_lasso,austres,1aslasso,0,16.876589,357.661339,18.911936,14.242368,0.081454,0.129543,0.034860,0.991012,75.000000
chamados_v4_fs_arimasvr_lasso,coloradoRiver,1arima,0,,0.104961,0.323976,0.262984,28.817193,0.755655,0.698832,0.667249,52.702703
chamados_v4_fs_arimasvr_lasso,coloradoRiver,1aslasso,0,0.679628,0.107931,0.328528,0.264321,29.010960,0.776427,0.688526,0.665838,54.054054
chamados_v4_fs_arimasvr_lasso,samurec,1arima,0,,48.481589,6.962872,5.858474,20.580083,28.356862,34.562540,0.193628,64.406780
chamados_v4_fs_arimasvr_lasso,samurec,1aslasso,0,7.533813,48.229033,6.944713,5.759277,19.908689,31.518821,25.895833,0.237320,61.016949
chamados_v4_fs_arimasvr_lasso,sunspot,1arima,0,,365.478709,19.117497,15.719171,36.503112,0.346894,0.193887,0.951367,67.857143
chamados_v4_fs_arimasvr_lasso,sunspot,1aslasso,0,21.712832,443.548858,21.060600,17.673521,50.567722,0.348336,0.233761,0.940487,60.714286
chamados_v4_fs_arimasvr_lasso,windspeedfortaleza,1arima,0,,0.159223,0.399027,0.336684,11.585693,0.710406,0.282118,0.924855,57.142857
chamados_v4_fs_arimasvr_lasso,windspeedfortaleza,1aslasso,0,0.422882,0.172100,0.414850,0.353456,12.300036,0.754352,0.327727,0.915077,50.000000
