ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_v4_fs_arimasvr_rfecv,airlines,1arima,0,,389.194049,19.728002,15.102607,3.315326,0.134713,0.066301,0.983139,78.571429
chamados_v4_fs_arimasvr_rfecv,airlines,1asrfecv,0,12.764419,207.005712,14.387693,11.713533,2.582560,0.107190,0.036471,0.990951,92.857143
chamados_v4_fs_arimasvr_rfecv,austres,1arima,0,,358.130880,18.924346,13.710292,0.078380,0.129713,0.034904,0.990999,75.000000
chamados_v4_fs_arimasvr_rfecv,austres,1asrfecv,0,16.876589,357.661339,18.911936,14.242368,0.081454,0.129543,0.034860,0.991012,75.000000
chamados_v4_fs_arimasvr_rfecv,coloradoRiver,1arima,0,,0.104961,0.323976,0.262984,28.817193,0.755655,0.698832,0.667249,52.702703
chamados_v4_fs_arimasvr_rfecv,coloradoRiver,1asrfecv,0,0.684285,0.098005,0.313057,0.253538,27.878987,0.784040,0.707311,0.672760,50.000000
chamados_v4_fs_arimasvr_rfecv,samurec,1arima,0,,48.481589,6.962872,5.858474,20.580083,28.356862,34.562540,0.193628,64.406780
chamados_v4_fs_arimasvr_rfecv,samurec,1asrfecv,0,7.165704,59.027669,7.682947,6.225674,21.384592,5.338918,8.335850,0.270451,44.915254
chamados_v4_fs_arimasvr_rfecv,sunspot,1arima,0,,365.478709,19.117497,15.719171,36.503112,0.346894,0.193887,0.951367,67.857143
chamados_v4_fs_arimasvr_rfecv,sunspot,1asrfecv,0,22.133990,377.649785,19.433213,15.827603,42.439370,0.360219,0.219314,0.947307,60.714286
chamados_v4_fs_arimasvr_rfecv,windspeedfortaleza,1arima,0,,0.159223,0.399027,0.336684,11.585693,0.710406,0.282118,0.924855,57.142857
chamados_v4_fs_arimasvr_rfecv,windspeedfortaleza,1asrfecv,0,0.323124,0.205737,0.453583,0.377857,13.727469,0.680228,0.320461,0.907555,50.000000
