Serie,Baseline_RMSE,ftest_RMSE,ftest_PctGain,ftest_NFeatures,mutualinfo_RMSE,mutualinfo_PctGain,mutualinfo_NFeatures,rfembedded_RMSE,rfembedded_PctGain,rfembedded_NFeatures,lasso_RMSE,lasso_PctGain,lasso_NFeatures,rfecv_RMSE,rfecv_PctGain,rfecv_NFeatures
Unemployment,36.829564,,,,,,,,,,,,,,,
airlines,17.436180,22.781014,-30.653700,5.000000,19.655233,-12.726717,9.000000,19.409056,-11.314841,7.700000,19.736261,-13.191428,1.000000,18.193204,-4.341688,15.100000
ausbee,15.776063,,,,,,,,,,,,,,,
austres,19.085848,19.202413,-0.610737,1.000000,19.189379,-0.542445,1.000000,19.171959,-0.451173,1.000000,19.276967,-1.001365,1.000000,18.966348,0.626121,1.000000
coloradoRiver,0.328696,0.326097,0.790683,9.000000,0.329470,-0.235422,15.000000,0.319745,2.723114,4.000000,0.322716,1.819443,1.000000,0.330096,-0.425788,13.000000
gasoline,202.818488,,,,,,,,,,,,,,,
heartrate,0.557998,,,,,,,,,,,,,,,
lakeerie,0.385127,,,,,,,,,,,,,,,
lynx,384.822245,,,,,,,,,,,,,,,
milk,5.203431,,,,,,,,,,,,,,,
ozon,1.049465,,,,,,,,,,,,,,,
pollution,1069.570690,,,,,,,,,,,,,,,
redwine,300.442448,,,,,,,,,,,,,,,
samurec,6.957531,6.950392,0.102607,5.000000,6.942275,0.219266,9.000000,6.935367,0.318556,7.500000,6.965624,-0.116326,1.000000,6.938519,0.273248,12.900000
sunspot,19.072983,19.123798,-0.266420,5.000000,19.061434,0.060553,9.000000,18.946771,0.661734,3.900000,18.958174,0.601949,2.000000,19.003210,0.365824,5.600000
temperature,2.772422,,,,,,,,,,,,,,,
windspeedfortaleza,0.455899,0.436700,4.211218,5.000000,0.409719,10.129469,1.000000,0.455901,-0.000561,7.800000,0.399673,12.333059,1.000000,0.441205,3.223096,16.800000
woolyrnq,432.021395,,,,,,,,,,,,,,,
