ExperimentID,Serie,Modelo,N_Repeticoes,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,theil_mean,theil_std,ARV_mean,ARV_std,IA_mean,IA_std,POCID_mean,POCID_std
chamados_v4_fs_ftest,airlines,1amv1ftest,10,577.546133,479.046736,22.781014,8.067186,17.131795,5.176781,3.726964,1.116842,0.163404,0.094367,0.089230,0.059504,0.975815,0.018737,77.142857,4.517540
chamados_v4_fs_ftest,airlines,1arima,1,389.194049,,19.728002,,15.102607,,3.315326,,0.134713,,0.066301,,0.983139,,78.571429,
chamados_v4_fs_ftest,austres,1amv1ftest,10,368.859555,14.523881,19.202413,0.375496,14.115944,0.438206,0.080696,0.002497,0.132895,0.004253,0.035863,0.001292,0.990738,0.000352,75.000000,0.000000
chamados_v4_fs_ftest,austres,1arima,1,358.130880,,18.924346,,13.710292,,0.078380,,0.129713,,0.034904,,0.990999,,75.000000,
chamados_v4_fs_ftest,coloradoRiver,1amv1ftest,10,0.106348,0.002008,0.326097,0.003068,0.263887,0.003383,28.956171,0.377729,0.754759,0.016067,0.699392,0.009021,0.665949,0.004730,53.243243,1.709339
chamados_v4_fs_ftest,coloradoRiver,1arima,1,0.104961,,0.323976,,0.262984,,28.817193,,0.755655,,0.698832,,0.667249,,52.702703,
chamados_v4_fs_ftest,samurec,1amv1ftest,10,48.308039,0.141604,6.950392,0.010176,5.767540,0.013017,19.972690,0.066974,38.620145,6.133189,27.563682,4.997061,0.227324,0.017262,63.305085,1.649582
chamados_v4_fs_ftest,samurec,1arima,1,48.481589,,6.962872,,5.858474,,20.580083,,28.356862,,34.562540,,0.193628,,64.406780,
chamados_v4_fs_ftest,sunspot,1amv1ftest,10,365.721820,1.883632,19.123798,0.049270,15.619819,0.037463,39.932833,0.325270,0.332465,0.001319,0.202299,0.001874,0.950214,0.000377,60.714286,0.000000
chamados_v4_fs_ftest,sunspot,1arima,1,365.478709,,19.117497,,15.719171,,36.503112,,0.346894,,0.193887,,0.951367,,67.857143,
chamados_v4_fs_ftest,windspeedfortaleza,1amv1ftest,10,0.190709,0.001408,0.436700,0.001611,0.366051,0.000854,12.515528,0.032878,0.767342,0.004400,0.337223,0.001596,0.908977,0.000563,64.285714,0.000000
chamados_v4_fs_ftest,windspeedfortaleza,1arima,1,0.159223,,0.399027,,0.336684,,11.585693,,0.710406,,0.282118,,0.924855,,57.142857,
