ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_v4_fs_ftest,airlines,1amv1ftest,0,14.328835,363.426476,19.063748,14.753753,3.209608,0.123336,0.062035,0.984257,78.571429
chamados_v4_fs_ftest,airlines,1amv1ftest,1,14.328835,365.766580,19.125025,14.800547,3.221779,0.123795,0.062407,0.984157,78.571429
chamados_v4_fs_ftest,airlines,1amv1ftest,2,14.328835,366.901996,19.154686,14.827946,3.227128,0.123872,0.062560,0.984113,78.571429
chamados_v4_fs_ftest,airlines,1amv1ftest,3,14.328835,363.351966,19.061793,14.738014,3.205066,0.123149,0.061965,0.984267,78.571429
chamados_v4_fs_ftest,airlines,1amv1ftest,4,14.328835,1065.445675,32.641165,23.167243,5.086631,0.230632,0.158883,0.955749,78.571429
chamados_v4_fs_ftest,airlines,1amv1ftest,5,14.328835,1788.544265,42.291184,29.817832,6.431058,0.414347,0.234896,0.928945,64.285714
chamados_v4_fs_ftest,airlines,1amv1ftest,6,14.328835,366.126923,19.134443,14.822279,3.227141,0.123713,0.062518,0.984135,78.571429
chamados_v4_fs_ftest,airlines,1amv1ftest,7,14.328835,368.624479,19.199596,14.879095,3.237942,0.124272,0.062796,0.984044,78.571429
chamados_v4_fs_ftest,airlines,1amv1ftest,8,14.328835,364.196392,19.083930,14.774934,3.215944,0.123639,0.062203,0.984218,78.571429
chamados_v4_fs_ftest,airlines,1amv1ftest,9,14.328835,363.076580,19.054568,14.736311,3.207343,0.123291,0.062037,0.984264,78.571429
chamados_v4_fs_ftest,airlines,1arima,0,,389.194049,19.728002,15.102607,3.315326,0.134713,0.066301,0.983139,78.571429
chamados_v4_fs_ftest,austres,1amv1ftest,0,17.103810,358.863627,18.943696,13.764607,0.078689,0.130020,0.034976,0.990980,75.000000
chamados_v4_fs_ftest,austres,1amv1ftest,1,17.103810,351.778406,18.755757,13.793278,0.078882,0.128705,0.034397,0.991145,75.000000
chamados_v4_fs_ftest,austres,1amv1ftest,2,17.103810,396.208476,19.904986,14.883187,0.085069,0.141099,0.038309,0.990073,75.000000
chamados_v4_fs_ftest,austres,1amv1ftest,3,17.103810,375.000604,19.364932,14.359338,0.082081,0.134525,0.036399,0.990591,75.000000
chamados_v4_fs_ftest,austres,1amv1ftest,4,17.103810,368.839340,19.205190,14.167524,0.080987,0.132764,0.035853,0.990740,75.000000
chamados_v4_fs_ftest,austres,1amv1ftest,5,17.103810,367.855181,19.179551,14.117382,0.080701,0.132188,0.035746,0.990766,75.000000
chamados_v4_fs_ftest,austres,1amv1ftest,6,17.103810,356.789633,18.888876,13.612182,0.077821,0.129206,0.034776,0.991033,75.000000
chamados_v4_fs_ftest,austres,1amv1ftest,7,17.103810,365.900641,19.128530,14.049254,0.080313,0.131698,0.035577,0.990813,75.000000
chamados_v4_fs_ftest,austres,1amv1ftest,8,17.103810,389.792093,19.743153,14.742789,0.084268,0.139221,0.037740,0.990229,75.000000
chamados_v4_fs_ftest,austres,1amv1ftest,9,17.103810,357.567550,18.909457,13.669905,0.078149,0.129519,0.034852,0.991013,75.000000
chamados_v4_fs_ftest,austres,1arima,0,,358.130880,18.924346,13.710292,0.078380,0.129713,0.034904,0.990999,75.000000
chamados_v4_fs_ftest,coloradoRiver,1amv1ftest,0,0.681911,0.110430,0.332311,0.271727,29.745842,0.760791,0.689266,0.665645,54.054054
chamados_v4_fs_ftest,coloradoRiver,1amv1ftest,1,0.681911,0.105695,0.325108,0.262795,28.850755,0.775911,0.697840,0.667431,55.405405
chamados_v4_fs_ftest,coloradoRiver,1amv1ftest,2,0.681911,0.103918,0.322363,0.259986,28.499185,0.761558,0.692829,0.671565,52.702703
chamados_v4_fs_ftest,coloradoRiver,1amv1ftest,3,0.681911,0.107324,0.327603,0.265231,29.192822,0.723388,0.713136,0.658438,50.000000
