ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_v4_fs_ftest,airlines,1amv1ftest,0,f_test,5,20,0;4;7;18;19,lag_20;lag_16;lag_13;lag_2;lag_1
chamados_v4_fs_ftest,airlines,1amv1ftest,1,f_test,5,20,0;4;7;18;19,lag_20;lag_16;lag_13;lag_2;lag_1
chamados_v4_fs_ftest,airlines,1amv1ftest,2,f_test,5,20,0;4;7;18;19,lag_20;lag_16;lag_13;lag_2;lag_1
chamados_v4_fs_ftest,airlines,1amv1ftest,3,f_test,5,20,0;4;7;18;19,lag_20;lag_16;lag_13;lag_2;lag_1
chamados_v4_fs_ftest,airlines,1amv1ftest,4,f_test,5,20,0;4;7;18;19,lag_20;lag_16;lag_13;lag_2;lag_1
chamados_v4_fs_ftest,airlines,1amv1ftest,5,f_test,5,20,0;4;7;18;19,lag_20;lag_16;lag_13;lag_2;lag_1
chamados_v4_fs_ftest,airlines,1amv1ftest,6,f_test,5,20,0;4;7;18;19,lag_20;lag_16;lag_13;lag_2;lag_1
chamados_v4_fs_ftest,airlines,1amv1ftest,7,f_test,5,20,0;4;7;18;19,lag_20;lag_16;lag_13;lag_2;lag_1
chamados_v4_fs_ftest,airlines,1amv1ftest,8,f_test,5,20,0;4;7;18;19,lag_20;lag_16;lag_13;lag_2;lag_1
chamados_v4_fs_ftest,airlines,1amv1ftest,9,f_test,5,20,0;4;7;18;19,lag_20;lag_16;lag_13;lag_2;lag_1
chamados_v4_fs_ftest,austres,1amv1ftest,0,f_test,1,1,0,lag_1
chamados_v4_fs_ftest,austres,1amv1ftest,1,f_test,1,1,0,lag_1
chamados_v4_fs_ftest,austres,1amv1ftest,2,f_test,1,1,0,lag_1
chamados_v4_fs_ftest,austres,1amv1ftest,3,f_test,1,1,0,lag_1
chamados_v4_fs_ftest,austres,1amv1ftest,4,f_test,1,1,0,lag_1
chamados_v4_fs_ftest,austres,1amv1ftest,5,f_test,1,1,0,lag_1
chamados_v4_fs_ftest,austres,1amv1ftest,6,f_test,1,1,0,lag_1
chamados_v4_fs_ftest,austres,1amv1ftest,7,f_test,1,1,0,lag_1
chamados_v4_fs_ftest,austres,1amv1ftest,8,f_test,1,1,0,lag_1
chamados_v4_fs_ftest,austres,1amv1ftest,9,f_test,1,1,0,lag_1
chamados_v4_fs_ftest,coloradoRiver,1amv1ftest,0,f_test,9,16,0;3;5;6;7;8;10;13;14,lag_16;lag_13;lag_11;lag_10;lag_9;lag_8;lag_6;lag_3;lag_2
chamados_v4_fs_ftest,coloradoRiver,1amv1ftest,1,f_test,9,16,0;3;5;6;7;8;10;13;14,lag_16;lag_13;lag_11;lag_10;lag_9;lag_8;lag_6;lag_3;lag_2
chamados_v4_fs_ftest,coloradoRiver,1amv1ftest,2,f_test,9,16,0;3;5;6;7;8;10;13;14,lag_16;lag_13;lag_11;lag_10;lag_9;lag_8;lag_6;lag_3;lag_2
chamados_v4_fs_ftest,coloradoRiver,1amv1ftest,3,f_test,9,16,0;3;5;6;7;8;10;13;14,lag_16;lag_13;lag_11;lag_10;lag_9;lag_8;lag_6;lag_3;lag_2
chamados_v4_fs_ftest,coloradoRiver,1amv1ftest,4,f_test,9,16,0;3;5;6;7;8;10;13;14,lag_16;lag_13;lag_11;lag_10;lag_9;lag_8;lag_6;lag_3;lag_2
chamados_v4_fs_ftest,coloradoRiver,1amv1ftest,5,f_test,9,16,0;3;5;6;7;8;10;13;14,lag_16;lag_13;lag_11;lag_10;lag_9;lag_8;lag_6;lag_3;lag_2
chamados_v4_fs_ftest,coloradoRiver,1amv1ftest,6,f_test,9,16,0;3;5;6;7;8;10;13;14,lag_16;lag_13;lag_11;lag_10;lag_9;lag_8;lag_6;lag_3;lag_2
chamados_v4_fs_ftest,coloradoRiver,1amv1ftest,7,f_test,9,16,0;3;5;6;7;8;10;13;14,lag_16;lag_13;lag_11;lag_10;lag_9;lag_8;lag_6;lag_3;lag_2
chamados_v4_fs_ftest,coloradoRiver,1amv1ftest,8,f_test,9,16,0;3;5;6;7;8;10;13;14,lag_16;lag_13;lag_11;lag_10;lag_9;lag_8;lag_6;lag_3;lag_2
