ExperimentID,Serie,Modelo,N_Repeticoes,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,theil_mean,theil_std,ARV_mean,ARV_std,IA_mean,IA_std,POCID_mean,POCID_std
chamados_v4_fs_lasso,airlines,1amv1lasso,10,389.520032,0.261203,19.736261,0.006618,15.134816,0.004504,3.282236,0.000758,0.127381,0.000054,0.065507,0.000033,0.983235,0.000010,78.571429,0.000000
chamados_v4_fs_lasso,airlines,1arima,1,389.194049,,19.728002,,15.102607,,3.315326,,0.134713,,0.066301,,0.983139,,78.571429,
chamados_v4_fs_lasso,austres,1amv1lasso,10,371.888635,21.924753,19.276967,0.564862,14.198053,0.604176,0.081169,0.003440,0.134026,0.006321,0.036148,0.001944,0.990663,0.000531,75.000000,0.000000
chamados_v4_fs_lasso,austres,1arima,1,358.130880,,18.924346,,13.710292,,0.078380,,0.129713,,0.034904,,0.990999,,75.000000,
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,10,0.104152,0.001801,0.322716,0.002786,0.262301,0.001882,28.756940,0.164193,0.750406,0.010608,0.699846,0.001772,0.667521,0.000863,52.027027,1.459626
chamados_v4_fs_lasso,coloradoRiver,1arima,1,0.104961,,0.323976,,0.262984,,28.817193,,0.755655,,0.698832,,0.667249,,52.702703,
chamados_v4_fs_lasso,samurec,1amv1lasso,10,48.520310,0.290323,6.965624,0.020845,5.790416,0.020511,20.093371,0.089626,28.505933,2.329052,30.978604,2.365806,0.211541,0.011749,61.440678,1.454185
chamados_v4_fs_lasso,samurec,1arima,1,48.481589,,6.962872,,5.858474,,20.580083,,28.356862,,34.562540,,0.193628,,64.406780,
chamados_v4_fs_lasso,sunspot,1amv1lasso,10,359.412548,0.562801,18.958174,0.014834,15.517516,0.013709,39.633214,0.095374,0.326107,0.000366,0.193949,0.000255,0.951726,0.000060,60.714286,0.000000
chamados_v4_fs_lasso,sunspot,1arima,1,365.478709,,19.117497,,15.719171,,36.503112,,0.346894,,0.193887,,0.951367,,67.857143,
chamados_v4_fs_lasso,windspeedfortaleza,1amv1lasso,10,0.159738,0.000052,0.399673,0.000065,0.331613,0.000060,11.293709,0.003007,0.712810,0.000079,0.284287,0.000116,0.924378,0.000030,57.142857,0.000000
chamados_v4_fs_lasso,windspeedfortaleza,1arima,1,0.159223,,0.399027,,0.336684,,11.585693,,0.710406,,0.282118,,0.924855,,57.142857,
