ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_v4_fs_lasso,airlines,1amv1lasso,0,14.991991,389.340356,19.731709,15.130159,3.281186,0.127317,0.065476,0.983243,78.571429
chamados_v4_fs_lasso,airlines,1amv1lasso,1,14.991991,389.578380,19.737740,15.135497,3.282132,0.127356,0.065511,0.983233,78.571429
chamados_v4_fs_lasso,airlines,1amv1lasso,2,14.991991,389.616202,19.738698,15.136684,3.282469,0.127378,0.065519,0.983231,78.571429
chamados_v4_fs_lasso,airlines,1amv1lasso,3,14.991991,389.013950,19.723437,15.128470,3.282155,0.127454,0.065451,0.983253,78.571429
chamados_v4_fs_lasso,airlines,1amv1lasso,4,14.991991,389.414086,19.733578,15.132110,3.281580,0.127333,0.065487,0.983240,78.571429
chamados_v4_fs_lasso,airlines,1amv1lasso,5,14.991991,389.303524,19.730776,15.128526,3.280696,0.127288,0.065468,0.983245,78.571429
chamados_v4_fs_lasso,airlines,1amv1lasso,6,14.991991,389.494914,19.735625,15.133879,3.281916,0.127351,0.065500,0.983237,78.571429
chamados_v4_fs_lasso,airlines,1amv1lasso,7,14.991991,389.443377,19.734320,15.132568,3.281644,0.127336,0.065492,0.983239,78.571429
chamados_v4_fs_lasso,airlines,1amv1lasso,8,14.991991,389.225546,19.728800,15.130801,3.282007,0.127396,0.065471,0.983246,78.571429
chamados_v4_fs_lasso,airlines,1amv1lasso,9,14.991991,389.416218,19.733632,15.131038,3.281137,0.127304,0.065484,0.983240,78.571429
chamados_v4_fs_lasso,airlines,1arima,0,,389.194049,19.728002,15.102607,3.315326,0.134713,0.066301,0.983139,78.571429
chamados_v4_fs_lasso,austres,1amv1lasso,0,17.158355,383.207624,19.575690,14.582462,0.083354,0.137015,0.037136,0.990391,75.000000
chamados_v4_fs_lasso,austres,1amv1lasso,1,17.158355,371.374717,19.271085,14.248777,0.081451,0.133458,0.036076,0.990679,75.000000
chamados_v4_fs_lasso,austres,1amv1lasso,2,17.158355,351.845275,18.757539,13.695840,0.078318,0.128518,0.034389,0.991145,75.000000
chamados_v4_fs_lasso,austres,1amv1lasso,3,17.158355,356.721892,18.887083,13.628791,0.077915,0.129369,0.034783,0.991032,75.000000
chamados_v4_fs_lasso,austres,1amv1lasso,4,17.158355,360.468157,18.985999,13.830715,0.079066,0.130332,0.035108,0.990943,75.000000
chamados_v4_fs_lasso,austres,1amv1lasso,5,17.158355,352.941258,18.786731,13.641642,0.078001,0.128579,0.034468,0.991121,75.000000
chamados_v4_fs_lasso,austres,1amv1lasso,6,17.158355,357.377553,18.904432,13.668718,0.078142,0.129532,0.034840,0.991017,75.000000
chamados_v4_fs_lasso,austres,1amv1lasso,7,17.158355,386.756239,19.666119,14.669170,0.083848,0.138062,0.037452,0.990305,75.000000
chamados_v4_fs_lasso,austres,1amv1lasso,8,17.158355,354.936417,18.839756,13.628048,0.077915,0.128951,0.034631,0.991075,75.000000
chamados_v4_fs_lasso,austres,1amv1lasso,9,17.158355,364.424371,19.089902,13.988134,0.079964,0.131242,0.035444,0.990849,75.000000
chamados_v4_fs_lasso,austres,1arima,0,,358.130880,18.924346,13.710292,0.078380,0.129713,0.034904,0.990999,75.000000
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,0,0.684657,0.108635,0.329598,0.267407,29.217032,0.774310,0.696678,0.664897,52.702703
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,1,0.684657,0.108492,0.329382,0.267206,29.196820,0.773557,0.696676,0.664992,52.702703
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,2,0.684657,0.108513,0.329413,0.267245,29.200967,0.773643,0.696761,0.664969,52.702703
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,3,0.684657,0.105339,0.324560,0.263318,28.846468,0.757767,0.698531,0.667044,51.351351
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,4,0.684657,0.108391,0.329228,0.267082,29.184704,0.773132,0.696751,0.665069,52.702703
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,5,0.684657,0.113313,0.336620,0.273217,29.809057,0.793542,0.695811,0.661117,54.054054
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,6,0.684657,0.101379,0.318401,0.259444,28.507178,0.732671,0.703269,0.668492,48.648649
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,7,0.684657,0.105797,0.325265,0.263819,28.889471,0.760199,0.698125,0.666780,51.351351
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,8,0.684657,0.108073,0.328744,0.266636,29.140060,0.771545,0.696767,0.665291,52.702703
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,9,0.684657,0.107507,0.327883,0.265929,29.072853,0.768959,0.697167,0.665692,52.702703
chamados_v4_fs_lasso,coloradoRiver,1arima,0,,0.104961,0.323976,0.262984,28.817193,0.755655,0.698832,0.667249,52.702703
chamados_v4_fs_lasso,sunspot,1amv1lasso,0,22.595573,359.328869,18.955972,15.511985,39.545167,0.325885,0.193712,0.951761,60.714286
chamados_v4_fs_lasso,sunspot,1amv1lasso,1,22.595573,358.307583,18.929014,15.467888,39.163822,0.325589,0.192826,0.951948,60.714286
chamados_v4_fs_lasso,sunspot,1amv1lasso,2,22.595573,359.403364,18.957937,15.511128,39.516079,0.325734,0.193627,0.951766,60.714286
chamados_v4_fs_lasso,sunspot,1amv1lasso,3,22.595573,359.290885,18.954970,15.513750,39.616011,0.326111,0.193898,0.951741,60.714286
chamados_v4_fs_lasso,sunspot,1amv1lasso,4,22.595573,358.374826,18.930790,15.485199,39.440270,0.326164,0.193472,0.951864,60.714286
chamados_v4_fs_lasso,sunspot,1amv1lasso,5,22.595573,359.192037,18.952362,15.513314,39.638805,0.326252,0.193966,0.951741,60.714286
