ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_v4_fs_lasso,airlines,1amv1lasso,0,lasso,1,20,0,lag_20
chamados_v4_fs_lasso,airlines,1amv1lasso,1,lasso,1,20,0,lag_20
chamados_v4_fs_lasso,airlines,1amv1lasso,2,lasso,1,20,0,lag_20
chamados_v4_fs_lasso,airlines,1amv1lasso,3,lasso,1,20,0,lag_20
chamados_v4_fs_lasso,airlines,1amv1lasso,4,lasso,1,20,0,lag_20
chamados_v4_fs_lasso,airlines,1amv1lasso,5,lasso,1,20,0,lag_20
chamados_v4_fs_lasso,airlines,1amv1lasso,6,lasso,1,20,0,lag_20
chamados_v4_fs_lasso,airlines,1amv1lasso,7,lasso,1,20,0,lag_20
chamados_v4_fs_lasso,airlines,1amv1lasso,8,lasso,1,20,0,lag_20
chamados_v4_fs_lasso,airlines,1amv1lasso,9,lasso,1,20,0,lag_20
chamados_v4_fs_lasso,austres,1amv1lasso,0,lasso,1,1,0,lag_1
chamados_v4_fs_lasso,austres,1amv1lasso,1,lasso,1,1,0,lag_1
chamados_v4_fs_lasso,austres,1amv1lasso,2,lasso,1,1,0,lag_1
chamados_v4_fs_lasso,austres,1amv1lasso,3,lasso,1,1,0,lag_1
chamados_v4_fs_lasso,austres,1amv1lasso,4,lasso,1,1,0,lag_1
chamados_v4_fs_lasso,austres,1amv1lasso,5,lasso,1,1,0,lag_1
chamados_v4_fs_lasso,austres,1amv1lasso,6,lasso,1,1,0,lag_1
chamados_v4_fs_lasso,austres,1amv1lasso,7,lasso,1,1,0,lag_1
chamados_v4_fs_lasso,austres,1amv1lasso,8,lasso,1,1,0,lag_1
chamados_v4_fs_lasso,austres,1amv1lasso,9,lasso,1,1,0,lag_1
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,0,lasso,1,16,5,lag_11
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,1,lasso,1,16,5,lag_11
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,2,lasso,1,16,5,lag_11
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,3,lasso,1,16,5,lag_11
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,4,lasso,1,16,5,lag_11
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,5,lasso,1,16,5,lag_11
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,6,lasso,1,16,5,lag_11
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,7,lasso,1,16,5,lag_11
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,8,lasso,1,16,5,lag_11
chamados_v4_fs_lasso,coloradoRiver,1amv1lasso,9,lasso,1,16,5,lag_11
chamados_v4_fs_lasso,sunspot,1amv1lasso,0,lasso,2,9,0;5,lag_9;lag_4
chamados_v4_fs_lasso,sunspot,1amv1lasso,1,lasso,2,9,0;5,lag_9;lag_4
chamados_v4_fs_lasso,sunspot,1amv1lasso,2,lasso,2,9,0;5,lag_9;lag_4
chamados_v4_fs_lasso,sunspot,1amv1lasso,3,lasso,2,9,0;5,lag_9;lag_4
chamados_v4_fs_lasso,sunspot,1amv1lasso,4,lasso,2,9,0;5,lag_9;lag_4
chamados_v4_fs_lasso,sunspot,1amv1lasso,5,lasso,2,9,0;5,lag_9;lag_4
chamados_v4_fs_lasso,sunspot,1amv1lasso,6,lasso,2,9,0;5,lag_9;lag_4
chamados_v4_fs_lasso,sunspot,1amv1lasso,7,lasso,2,9,0;5,lag_9;lag_4
chamados_v4_fs_lasso,sunspot,1amv1lasso,8,lasso,2,9,0;5,lag_9;lag_4
chamados_v4_fs_lasso,sunspot,1amv1lasso,9,lasso,2,9,0;5,lag_9;lag_4
