Serie,Baseline_RMSE,ftest_RMSE,ftest_PctGain,ftest_NFeatures,mutualinfo_RMSE,mutualinfo_PctGain,mutualinfo_NFeatures,rfembedded_RMSE,rfembedded_PctGain,rfembedded_NFeatures,lasso_RMSE,lasso_PctGain,lasso_NFeatures,rfecv_RMSE,rfecv_PctGain,rfecv_NFeatures
Unemployment,45.831813,,,,,,,,,,,,,,,
airlines,27.697682,22.834106,17.559504,5.000000,23.762792,14.206567,5.000000,20.299955,26.708831,1.200000,25.374612,8.387234,14.000000,23.038989,16.819792,2.300000
ausbee,14.351584,,,,,,,,,,,,,,,
austres,34.345553,56.466572,-64.407229,1.000000,56.466572,-64.407229,1.000000,56.466572,-64.407229,1.000000,56.466572,-64.407229,1.000000,56.466572,-64.407229,1.000000
coloradoRiver,0.224816,0.148933,33.753066,9.000000,0.249057,-10.782843,1.000000,0.134155,40.326459,2.000000,0.177031,21.254825,7.000000,0.163758,27.158900,8.700000
gasoline,219.209239,,,,,,,,,,,,,,,
heartrate,0.765071,,,,,,,,,,,,,,,
lakeerie,0.411323,,,,,,,,,,,,,,,
lynx,645.934735,,,,,,,,,,,,,,,
milk,9.921889,,,,,,,,,,,,,,,
ozon,0.952945,,,,,,,,,,,,,,,
pollution,748.585585,,,,,,,,,,,,,,,
redwine,371.666071,,,,,,,,,,,,,,,
samurec,6.968888,6.972986,-0.058800,9.000000,7.131151,-2.328398,1.000000,6.932775,0.518207,6.100000,6.984176,-0.219373,7.000000,6.965501,0.048595,14.100000
sunspot,17.082453,17.320032,-1.390775,9.000000,17.320032,-1.390775,9.000000,27.474605,-60.835246,1.000000,16.895249,1.095883,6.000000,17.175247,-0.543210,7.100000
temperature,2.525689,,,,,,,,,,,,,,,
windspeedfortaleza,0.384273,0.429627,-11.802637,5.000000,0.429627,-11.802637,5.000000,0.427487,-11.245674,3.600000,0.374784,2.469401,8.000000,0.381280,0.778836,14.900000
woolyrnq,402.055510,,,,,,,,,,,,,,,
