ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,0,18.220277,511.818378,22.623403,17.809269,3.913906,0.241810,0.089680,0.977387,85.714286
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,1,18.220277,610.232663,24.702888,19.898910,4.224809,0.343655,0.119718,0.971384,85.714286
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,2,18.220277,556.626097,23.592925,18.553627,4.008872,0.269209,0.102386,0.974756,85.714286
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,3,18.220277,382.545632,19.558774,15.519305,3.403963,0.141380,0.068785,0.982977,78.571429
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,4,18.220277,412.620404,20.313060,15.688669,3.393411,0.168822,0.079859,0.980943,78.571429
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,5,18.220277,627.870174,25.057338,20.785002,4.297281,0.339179,0.137056,0.969025,78.571429
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,6,18.220277,525.610298,22.926192,18.391383,3.990044,0.263369,0.096411,0.976227,85.714286
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,7,18.220277,538.153149,23.198128,18.402072,4.008584,0.257900,0.095433,0.976055,85.714286
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,8,18.220277,551.756893,23.489506,18.824026,3.944058,0.253137,0.113723,0.973579,78.571429
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,9,18.220277,537.218591,23.177976,18.548098,4.030579,0.269557,0.097190,0.975857,85.714286
chamados_v4_fs_mlp_ftest,austres,1mlpftest,0,25.003585,170.873552,13.071861,10.394973,0.059454,0.085302,0.016665,0.995724,87.500000
chamados_v4_fs_mlp_ftest,austres,1mlpftest,1,25.003585,537.562921,23.185403,20.784059,0.118703,0.275511,0.051893,0.986503,87.500000
chamados_v4_fs_mlp_ftest,austres,1mlpftest,2,25.003585,2972.369576,54.519442,53.489014,0.305371,1.638197,0.245850,0.927711,87.500000
chamados_v4_fs_mlp_ftest,austres,1mlpftest,3,25.003585,2316.460573,48.129623,46.994054,0.268301,1.257175,0.200017,0.943090,87.500000
chamados_v4_fs_mlp_ftest,austres,1mlpftest,4,25.003585,3062.181504,55.336981,54.319582,0.310113,1.689177,0.251586,0.925670,87.500000
chamados_v4_fs_mlp_ftest,austres,1mlpftest,5,25.003585,2035.798130,45.119820,43.923143,0.250777,1.095113,0.178800,0.949819,87.500000
chamados_v4_fs_mlp_ftest,austres,1mlpftest,6,25.003585,242.637537,15.576827,12.373949,0.070717,0.122083,0.023680,0.993915,87.500000
chamados_v4_fs_mlp_ftest,austres,1mlpftest,7,25.003585,674.847857,25.977834,23.870340,0.136319,0.348141,0.064691,0.983070,87.500000
chamados_v4_fs_mlp_ftest,austres,1mlpftest,8,25.003585,479.931131,21.907331,19.340246,0.110461,0.245409,0.046488,0.987942,87.500000
chamados_v4_fs_mlp_ftest,austres,1mlpftest,9,25.003585,1056.549734,32.504611,30.852461,0.176168,0.554204,0.099201,0.973568,87.500000
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,0,0.682998,0.022400,0.149668,0.120121,16.139604,1.570217,0.775872,0.827526,64.864865
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,1,0.682998,0.021960,0.148190,0.118838,15.888017,1.540771,0.775638,0.829969,62.162162
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,2,0.682998,0.024037,0.155038,0.124516,16.767440,1.682673,0.787376,0.818326,66.216216
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,3,0.682998,0.022050,0.148492,0.119294,15.968982,1.524004,0.764594,0.830749,64.864865
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,4,0.682998,0.020899,0.144563,0.114138,15.158223,1.504848,0.771776,0.836300,63.513514
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,5,0.682998,0.021226,0.145691,0.115454,15.377732,1.505938,0.768911,0.834714,63.513514
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,6,0.682998,0.022340,0.149465,0.119791,16.005853,1.557597,0.782923,0.827391,63.513514
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,7,0.682998,0.021276,0.145864,0.115810,15.451139,1.590379,0.789281,0.832384,68.918919
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,8,0.682998,0.025357,0.159239,0.129023,17.431544,1.762433,0.792714,0.810953,62.162162
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,9,0.682998,0.024078,0.155171,0.124629,16.811899,1.684765,0.785378,0.818251,64.864865
chamados_v4_fs_mlp_ftest,samurec,1mlpftest,0,7.233914,48.484059,6.963050,5.679326,19.303450,17.371628,16.418780,0.287581,62.711864
chamados_v4_fs_mlp_ftest,samurec,1mlpftest,1,7.233914,48.475722,6.962451,5.669135,19.269069,19.507310,17.160994,0.285076,60.169492
chamados_v4_fs_mlp_ftest,samurec,1mlpftest,2,7.233914,48.501662,6.964313,5.662451,19.248909,19.638852,17.546010,0.283946,59.322034
chamados_v4_fs_mlp_ftest,samurec,1mlpftest,3,7.233914,48.905033,6.993213,5.712227,19.464117,20.617314,17.563852,0.275404,58.474576
chamados_v4_fs_mlp_ftest,samurec,1mlpftest,4,7.233914,49.072481,7.005175,5.709777,19.443012,20.834552,17.480178,0.273869,58.474576
chamados_v4_fs_mlp_ftest,samurec,1mlpftest,5,7.233914,48.472878,6.962247,5.674395,19.283823,17.396314,16.476833,0.287448,61.016949
chamados_v4_fs_mlp_ftest,samurec,1mlpftest,6,7.233914,48.369000,6.954783,5.665644,19.249437,18.196600,16.628098,0.289903,63.559322
chamados_v4_fs_mlp_ftest,samurec,1mlpftest,7,7.233914,48.591085,6.970731,5.675373,19.274309,18.625912,16.624254,0.287413,61.016949
chamados_v4_fs_mlp_ftest,samurec,1mlpftest,8,7.233914,48.542368,6.967235,5.682435,19.306092,18.801084,16.782572,0.286361,63.559322
chamados_v4_fs_mlp_ftest,samurec,1mlpftest,9,7.233914,48.626222,6.973250,5.682327,19.305360,18.779425,16.643437,0.286482,63.559322
chamados_v4_fs_mlp_ftest,sunspot,1mlpftest,0,20.108301,275.847104,16.608645,13.463790,34.285760,0.346393,0.161209,0.961805,78.571429
chamados_v4_fs_mlp_ftest,sunspot,1mlpftest,1,20.108301,310.584187,17.623399,14.018581,35.856999,0.338689,0.178959,0.957086,71.428571
chamados_v4_fs_mlp_ftest,sunspot,1mlpftest,2,20.108301,271.687234,16.482938,13.605106,33.953649,0.335049,0.156999,0.962547,78.571429
chamados_v4_fs_mlp_ftest,sunspot,1mlpftest,3,20.108301,309.377617,17.589134,14.045159,35.519913,0.328997,0.174450,0.957716,71.428571
chamados_v4_fs_mlp_ftest,sunspot,1mlpftest,4,20.108301,281.645677,16.782303,13.699213,33.727312,0.344134,0.161531,0.961325,78.571429
chamados_v4_fs_mlp_ftest,sunspot,1mlpftest,5,20.108301,278.423985,16.686042,13.615074,33.634231,0.348698,0.162291,0.961514,78.571429
chamados_v4_fs_mlp_ftest,sunspot,1mlpftest,6,20.108301,275.730980,16.605149,13.629041,34.061972,0.340690,0.159324,0.962037,78.571429
chamados_v4_fs_mlp_ftest,sunspot,1mlpftest,7,20.108301,305.151925,17.468598,13.945755,35.816015,0.331198,0.174033,0.958052,71.428571
chamados_v4_fs_mlp_ftest,sunspot,1mlpftest,8,20.108301,282.106406,16.796024,13.615753,34.730354,0.356713,0.163265,0.961058,78.571429
chamados_v4_fs_mlp_ftest,sunspot,1mlpftest,9,20.108301,306.139343,17.496838,14.068221,36.105318,0.323790,0.173984,0.957986,71.428571
chamados_v4_fs_mlp_ftest,windspeedfortaleza,1mlpftest,0,0.357311,0.186391,0.431730,0.379542,13.553842,1.123369,0.448761,0.896460,57.142857
chamados_v4_fs_mlp_ftest,windspeedfortaleza,1mlpftest,1,0.357311,0.186148,0.431449,0.376728,13.343727,1.013856,0.423811,0.899254,57.142857
chamados_v4_fs_mlp_ftest,windspeedfortaleza,1mlpftest,2,0.357311,0.188282,0.433915,0.379333,13.418037,0.997587,0.425698,0.898328,57.142857
chamados_v4_fs_mlp_ftest,windspeedfortaleza,1mlpftest,3,0.357311,0.187202,0.432668,0.380728,13.535442,1.047528,0.436101,0.897551,57.142857
chamados_v4_fs_mlp_ftest,windspeedfortaleza,1mlpftest,4,0.357311,0.187403,0.432901,0.378248,13.387724,1.002533,0.423254,0.898902,57.142857
chamados_v4_fs_mlp_ftest,windspeedfortaleza,1mlpftest,5,0.357311,0.185581,0.430791,0.376928,13.350631,1.005278,0.420968,0.899779,57.142857
chamados_v4_fs_mlp_ftest,windspeedfortaleza,1mlpftest,6,0.357311,0.186944,0.432370,0.379054,13.441047,1.016814,0.427672,0.898565,57.142857
chamados_v4_fs_mlp_ftest,windspeedfortaleza,1mlpftest,7,0.357311,0.186201,0.431510,0.376601,13.327299,1.006452,0.420566,0.899610,57.142857
chamados_v4_fs_mlp_ftest,windspeedfortaleza,1mlpftest,8,0.357311,0.186280,0.431601,0.377524,13.378780,1.015323,0.424745,0.899111,57.142857
chamados_v4_fs_mlp_ftest,windspeedfortaleza,1mlpftest,9,0.357311,0.186719,0.432110,0.379733,13.506608,1.062223,0.436330,0.897690,57.142857
