ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,0,f_test,5,20,6;7;8;9;19,lag_14;lag_13;lag_12;lag_11;lag_1
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,1,f_test,5,20,6;7;8;9;19,lag_14;lag_13;lag_12;lag_11;lag_1
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,2,f_test,5,20,6;7;8;9;19,lag_14;lag_13;lag_12;lag_11;lag_1
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,3,f_test,5,20,6;7;8;9;19,lag_14;lag_13;lag_12;lag_11;lag_1
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,4,f_test,5,20,6;7;8;9;19,lag_14;lag_13;lag_12;lag_11;lag_1
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,5,f_test,5,20,6;7;8;9;19,lag_14;lag_13;lag_12;lag_11;lag_1
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,6,f_test,5,20,6;7;8;9;19,lag_14;lag_13;lag_12;lag_11;lag_1
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,7,f_test,5,20,6;7;8;9;19,lag_14;lag_13;lag_12;lag_11;lag_1
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,8,f_test,5,20,6;7;8;9;19,lag_14;lag_13;lag_12;lag_11;lag_1
chamados_v4_fs_mlp_ftest,airlines,1mlpftest,9,f_test,5,20,6;7;8;9;19,lag_14;lag_13;lag_12;lag_11;lag_1
chamados_v4_fs_mlp_ftest,austres,1mlpftest,0,f_test,1,1,0,lag_1
chamados_v4_fs_mlp_ftest,austres,1mlpftest,1,f_test,1,1,0,lag_1
chamados_v4_fs_mlp_ftest,austres,1mlpftest,2,f_test,1,1,0,lag_1
chamados_v4_fs_mlp_ftest,austres,1mlpftest,3,f_test,1,1,0,lag_1
chamados_v4_fs_mlp_ftest,austres,1mlpftest,4,f_test,1,1,0,lag_1
chamados_v4_fs_mlp_ftest,austres,1mlpftest,5,f_test,1,1,0,lag_1
chamados_v4_fs_mlp_ftest,austres,1mlpftest,6,f_test,1,1,0,lag_1
chamados_v4_fs_mlp_ftest,austres,1mlpftest,7,f_test,1,1,0,lag_1
chamados_v4_fs_mlp_ftest,austres,1mlpftest,8,f_test,1,1,0,lag_1
chamados_v4_fs_mlp_ftest,austres,1mlpftest,9,f_test,1,1,0,lag_1
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,0,f_test,9,16,0;3;4;5;8;9;10;11;15,lag_16;lag_13;lag_12;lag_11;lag_8;lag_7;lag_6;lag_5;lag_1
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,1,f_test,9,16,0;3;4;5;8;9;10;11;15,lag_16;lag_13;lag_12;lag_11;lag_8;lag_7;lag_6;lag_5;lag_1
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,2,f_test,9,16,0;3;4;5;8;9;10;11;15,lag_16;lag_13;lag_12;lag_11;lag_8;lag_7;lag_6;lag_5;lag_1
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,3,f_test,9,16,0;3;4;5;8;9;10;11;15,lag_16;lag_13;lag_12;lag_11;lag_8;lag_7;lag_6;lag_5;lag_1
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,4,f_test,9,16,0;3;4;5;8;9;10;11;15,lag_16;lag_13;lag_12;lag_11;lag_8;lag_7;lag_6;lag_5;lag_1
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,5,f_test,9,16,0;3;4;5;8;9;10;11;15,lag_16;lag_13;lag_12;lag_11;lag_8;lag_7;lag_6;lag_5;lag_1
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,6,f_test,9,16,0;3;4;5;8;9;10;11;15,lag_16;lag_13;lag_12;lag_11;lag_8;lag_7;lag_6;lag_5;lag_1
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,7,f_test,9,16,0;3;4;5;8;9;10;11;15,lag_16;lag_13;lag_12;lag_11;lag_8;lag_7;lag_6;lag_5;lag_1
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,8,f_test,9,16,0;3;4;5;8;9;10;11;15,lag_16;lag_13;lag_12;lag_11;lag_8;lag_7;lag_6;lag_5;lag_1
chamados_v4_fs_mlp_ftest,coloradoRiver,1mlpftest,9,f_test,9,16,0;3;4;5;8;9;10;11;15,lag_16;lag_13;lag_12;lag_11;lag_8;lag_7;lag_6;lag_5;lag_1
chamados_v4_fs_mlp_ftest,sunspot,1mlpftest,0,f_test,9,9,0;1;2;3;4;5;6;7;8,lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_v4_fs_mlp_ftest,sunspot,1mlpftest,1,f_test,9,9,0;1;2;3;4;5;6;7;8,lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_v4_fs_mlp_ftest,sunspot,1mlpftest,2,f_test,9,9,0;1;2;3;4;5;6;7;8,lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_v4_fs_mlp_ftest,sunspot,1mlpftest,3,f_test,9,9,0;1;2;3;4;5;6;7;8,lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_v4_fs_mlp_ftest,sunspot,1mlpftest,4,f_test,9,9,0;1;2;3;4;5;6;7;8,lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
