ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,0,22.630366,648.819422,25.471934,21.663124,4.730905,0.297388,0.106463,0.972178,78.571429
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,1,22.630366,450.435254,21.223460,17.729446,3.897726,0.215294,0.077729,0.980336,78.571429
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,2,22.630366,1383.553542,37.196150,32.896993,6.997978,0.853348,0.232055,0.938064,78.571429
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,3,22.630366,505.432768,22.481832,18.971627,4.240660,0.218192,0.077827,0.979157,78.571429
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,4,22.630366,776.938051,27.873609,24.295940,5.174543,0.398629,0.139750,0.964889,78.571429
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,5,22.630366,585.477354,24.196639,20.801048,4.547873,0.281979,0.103104,0.974027,78.571429
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,6,22.630366,699.295307,26.444192,22.571669,4.913605,0.340215,0.117742,0.969541,78.571429
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,7,22.630366,453.084618,21.285784,17.687433,3.960840,0.187636,0.072792,0.980921,78.571429
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,8,22.630366,876.342723,29.603086,25.043859,5.310525,0.556430,0.160591,0.959806,85.714286
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,9,22.630366,596.979156,24.433157,21.062643,4.570391,0.289593,0.103676,0.973700,78.571429
chamados_v4_fs_mlp_lasso,austres,1mlplasso,0,37.423531,3064.617043,55.358983,54.352969,0.310311,1.682938,0.250848,0.925771,87.500000
chamados_v4_fs_mlp_lasso,austres,1mlplasso,1,37.423531,931.982018,30.528381,28.764257,0.164253,0.485341,0.087949,0.976685,87.500000
chamados_v4_fs_mlp_lasso,austres,1mlplasso,2,37.423531,2259.286370,47.531951,46.394079,0.264885,1.218429,0.195017,0.944576,87.500000
chamados_v4_fs_mlp_lasso,austres,1mlplasso,3,37.423531,1830.488314,42.784206,41.526190,0.237094,0.980689,0.163151,0.954716,87.500000
chamados_v4_fs_mlp_lasso,austres,1mlplasso,4,37.423531,304.559986,17.451647,14.231221,0.081306,0.153828,0.029653,0.992360,87.500000
chamados_v4_fs_mlp_lasso,austres,1mlplasso,5,37.423531,465.186460,21.568182,18.948537,0.108228,0.237213,0.045004,0.988324,87.500000
chamados_v4_fs_mlp_lasso,austres,1mlplasso,6,37.423531,3478.900807,58.982208,58.017975,0.331227,1.928761,0.277412,0.916307,87.500000
chamados_v4_fs_mlp_lasso,austres,1mlplasso,7,37.423531,7899.863217,88.881175,88.084217,0.502838,4.683649,0.483582,0.827937,87.500000
chamados_v4_fs_mlp_lasso,austres,1mlplasso,8,37.423531,360.590552,18.989222,15.929945,0.090996,0.182977,0.035075,0.990946,87.500000
chamados_v4_fs_mlp_lasso,austres,1mlplasso,9,37.423531,1897.229570,43.557199,42.322515,0.241642,1.016231,0.168069,0.953154,87.500000
chamados_v4_fs_mlp_lasso,coloradoRiver,1mlplasso,0,0.699225,0.030561,0.174816,0.145143,19.725739,1.873798,0.762603,0.791724,67.567568
chamados_v4_fs_mlp_lasso,coloradoRiver,1mlplasso,1,0.699225,0.030517,0.174690,0.145475,19.680803,1.693897,0.727686,0.797257,68.918919
chamados_v4_fs_mlp_lasso,coloradoRiver,1mlplasso,2,0.699225,0.030834,0.175595,0.145549,19.859606,1.938654,0.785984,0.787794,68.918919
chamados_v4_fs_mlp_lasso,coloradoRiver,1mlplasso,3,0.699225,0.034397,0.185464,0.153935,20.939421,1.973874,0.767105,0.777662,68.918919
chamados_v4_fs_mlp_lasso,coloradoRiver,1mlplasso,4,0.699225,0.031950,0.178745,0.148399,20.179306,1.870329,0.763077,0.786971,68.918919
chamados_v4_fs_mlp_lasso,coloradoRiver,1mlplasso,5,0.699225,0.033934,0.184211,0.153251,20.900197,1.974949,0.779767,0.777548,68.918919
