ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,0,lasso,14,20,2;4;6;7;8;9;10;12;13;14;15;17;18;19,lag_18;lag_16;lag_14;lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_6;lag_5;lag_3;lag_2;lag_1
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,1,lasso,14,20,2;4;6;7;8;9;10;12;13;14;15;17;18;19,lag_18;lag_16;lag_14;lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_6;lag_5;lag_3;lag_2;lag_1
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,2,lasso,14,20,2;4;6;7;8;9;10;12;13;14;15;17;18;19,lag_18;lag_16;lag_14;lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_6;lag_5;lag_3;lag_2;lag_1
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,3,lasso,14,20,2;4;6;7;8;9;10;12;13;14;15;17;18;19,lag_18;lag_16;lag_14;lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_6;lag_5;lag_3;lag_2;lag_1
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,4,lasso,14,20,2;4;6;7;8;9;10;12;13;14;15;17;18;19,lag_18;lag_16;lag_14;lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_6;lag_5;lag_3;lag_2;lag_1
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,5,lasso,14,20,2;4;6;7;8;9;10;12;13;14;15;17;18;19,lag_18;lag_16;lag_14;lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_6;lag_5;lag_3;lag_2;lag_1
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,6,lasso,14,20,2;4;6;7;8;9;10;12;13;14;15;17;18;19,lag_18;lag_16;lag_14;lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_6;lag_5;lag_3;lag_2;lag_1
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,7,lasso,14,20,2;4;6;7;8;9;10;12;13;14;15;17;18;19,lag_18;lag_16;lag_14;lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_6;lag_5;lag_3;lag_2;lag_1
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,8,lasso,14,20,2;4;6;7;8;9;10;12;13;14;15;17;18;19,lag_18;lag_16;lag_14;lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_6;lag_5;lag_3;lag_2;lag_1
chamados_v4_fs_mlp_lasso,airlines,1mlplasso,9,lasso,14,20,2;4;6;7;8;9;10;12;13;14;15;17;18;19,lag_18;lag_16;lag_14;lag_13;lag_12;lag_11;lag_10;lag_8;lag_7;lag_6;lag_5;lag_3;lag_2;lag_1
