ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_v4_fs_mlp_mutualinfo,airlines,1mlpmutualinfo,0,20.416440,544.483423,23.334169,20.590652,4.433194,0.292001,0.101909,0.975161,71.428571
chamados_v4_fs_mlp_mutualinfo,airlines,1mlpmutualinfo,1,20.416440,990.437045,31.471210,25.732217,5.287404,0.496507,0.215879,0.950441,78.571429
chamados_v4_fs_mlp_mutualinfo,airlines,1mlpmutualinfo,2,20.416440,422.316966,20.550352,16.064108,3.519943,0.163513,0.077772,0.980950,78.571429
chamados_v4_fs_mlp_mutualinfo,airlines,1mlpmutualinfo,3,20.416440,627.959510,25.059120,21.550051,4.564162,0.371705,0.130799,0.969734,71.428571
chamados_v4_fs_mlp_mutualinfo,airlines,1mlpmutualinfo,4,20.416440,731.299343,27.042547,22.767318,4.776661,0.461725,0.159516,0.963827,78.571429
chamados_v4_fs_mlp_mutualinfo,airlines,1mlpmutualinfo,5,20.416440,729.328068,27.006075,22.933253,4.783236,0.389348,0.156751,0.964157,78.571429
chamados_v4_fs_mlp_mutualinfo,airlines,1mlpmutualinfo,6,20.416440,400.630990,20.015769,15.017656,3.309230,0.160382,0.075580,0.981733,78.571429
chamados_v4_fs_mlp_mutualinfo,airlines,1mlpmutualinfo,7,20.416440,471.856013,21.722247,17.555668,3.799034,0.204913,0.093984,0.977848,78.571429
chamados_v4_fs_mlp_mutualinfo,airlines,1mlpmutualinfo,8,20.416440,410.327166,20.256534,17.406343,3.839543,0.191348,0.076154,0.981444,71.428571
chamados_v4_fs_mlp_mutualinfo,airlines,1mlpmutualinfo,9,20.416440,448.164681,21.169900,18.683275,4.091417,0.217287,0.080223,0.980074,71.428571
chamados_v4_fs_mlp_mutualinfo,austres,1mlpmutualinfo,0,43.185773,903.006612,30.050068,28.255553,0.161346,0.470844,0.085549,0.977377,87.500000
chamados_v4_fs_mlp_mutualinfo,austres,1mlpmutualinfo,1,43.185773,299.070647,17.293659,14.075486,0.080419,0.150945,0.029114,0.992499,87.500000
chamados_v4_fs_mlp_mutualinfo,austres,1mlpmutualinfo,2,43.185773,615.247506,24.804183,22.582610,0.128969,0.316368,0.059135,0.984563,87.500000
chamados_v4_fs_mlp_mutualinfo,austres,1mlpmutualinfo,3,43.185773,863.685636,29.388529,27.549853,0.157321,0.448842,0.081876,0.978373,87.500000
chamados_v4_fs_mlp_mutualinfo,austres,1mlpmutualinfo,4,43.185773,375.908712,19.388365,16.409752,0.093734,0.191021,0.036561,0.990558,87.500000
chamados_v4_fs_mlp_mutualinfo,austres,1mlpmutualinfo,5,43.185773,336.482894,18.343470,15.148685,0.086536,0.170566,0.032774,0.991550,87.500000
chamados_v4_fs_mlp_mutualinfo,austres,1mlpmutualinfo,6,43.185773,2106.090003,45.892156,44.720718,0.255336,1.129691,0.183396,0.948254,87.500000
chamados_v4_fs_mlp_mutualinfo,austres,1mlpmutualinfo,7,43.185773,329.018656,18.138871,14.896116,0.085095,0.166644,0.032045,0.991740,87.500000
chamados_v4_fs_mlp_mutualinfo,austres,1mlpmutualinfo,8,43.185773,554.958638,23.557560,21.203973,0.121097,0.285231,0.053627,0.986054,87.500000
chamados_v4_fs_mlp_mutualinfo,austres,1mlpmutualinfo,9,43.185773,114114.824646,337.808858,336.289319,1.919590,124.045142,0.969066,0.384025,87.500000
chamados_v4_fs_mlp_mutualinfo,coloradoRiver,1mlpmutualinfo,0,0.661209,0.057866,0.240554,0.201499,27.570990,3.903379,1.300949,0.625734,48.648649
chamados_v4_fs_mlp_mutualinfo,coloradoRiver,1mlpmutualinfo,1,0.661209,0.057741,0.240294,0.201272,27.524865,3.850876,1.296457,0.626827,48.648649
chamados_v4_fs_mlp_mutualinfo,coloradoRiver,1mlpmutualinfo,2,0.661209,0.086069,0.293376,0.256838,32.775312,2.085514,0.917812,0.631797,48.648649
chamados_v4_fs_mlp_mutualinfo,coloradoRiver,1mlpmutualinfo,3,0.661209,0.057852,0.240524,0.201539,27.540714,3.799508,1.288626,0.627629,48.648649
chamados_v4_fs_mlp_mutualinfo,coloradoRiver,1mlpmutualinfo,4,0.661209,0.057356,0.239491,0.200562,27.372807,3.670969,1.279656,0.630618,48.648649
chamados_v4_fs_mlp_mutualinfo,coloradoRiver,1mlpmutualinfo,5,0.661209,0.077685,0.278720,0.242444,31.170689,2.087440,0.937228,0.641995,48.648649
chamados_v4_fs_mlp_mutualinfo,coloradoRiver,1mlpmutualinfo,6,0.661209,0.057732,0.240275,0.201290,27.507139,3.792507,1.289455,0.627902,48.648649
chamados_v4_fs_mlp_mutualinfo,coloradoRiver,1mlpmutualinfo,7,0.661209,0.057274,0.239320,0.200351,27.370925,3.739112,1.289453,0.629437,48.648649
chamados_v4_fs_mlp_mutualinfo,coloradoRiver,1mlpmutualinfo,8,0.661209,0.057765,0.240344,0.201326,27.530071,3.846319,1.295524,0.626882,48.648649
chamados_v4_fs_mlp_mutualinfo,coloradoRiver,1mlpmutualinfo,9,0.661209,0.056488,0.237672,0.198768,27.097206,3.533555,1.274125,0.634316,48.648649
chamados_v4_fs_mlp_mutualinfo,samurec,1mlpmutualinfo,0,7.186522,50.846176,7.130650,5.664787,18.995280,7365.867737,21.638088,0.260128,47.457627
chamados_v4_fs_mlp_mutualinfo,samurec,1mlpmutualinfo,1,7.186522,50.980151,7.140039,5.679618,19.028900,1183.966277,20.895734,0.262022,47.457627
chamados_v4_fs_mlp_mutualinfo,samurec,1mlpmutualinfo,2,7.186522,51.019322,7.142781,5.675658,19.058966,3643.263188,22.575331,0.252581,46.610169
chamados_v4_fs_mlp_mutualinfo,samurec,1mlpmutualinfo,3,7.186522,51.410091,7.170083,5.707219,19.188952,624.519590,23.032351,0.243452,46.610169
chamados_v4_fs_mlp_mutualinfo,samurec,1mlpmutualinfo,4,7.186522,50.830304,7.129537,5.663509,18.993230,10524.944899,21.729606,0.259853,47.457627
chamados_v4_fs_mlp_mutualinfo,samurec,1mlpmutualinfo,5,7.186522,50.130642,7.080300,5.638861,18.963396,313.880867,22.614102,0.257745,33.050847
chamados_v4_fs_mlp_mutualinfo,samurec,1mlpmutualinfo,6,7.186522,51.234025,7.157795,5.777041,19.467811,43.484155,20.330273,0.244385,55.932203
chamados_v4_fs_mlp_mutualinfo,samurec,1mlpmutualinfo,7,7.186522,50.592098,7.112812,5.640007,18.957300,616.124076,22.718082,0.255170,48.305085
chamados_v4_fs_mlp_mutualinfo,samurec,1mlpmutualinfo,8,7.186522,50.676293,7.118728,5.645191,18.955076,3302.984534,22.486654,0.257189,48.305085
chamados_v4_fs_mlp_mutualinfo,samurec,1mlpmutualinfo,9,7.186522,50.819633,7.128789,5.661658,18.988140,19335.239607,21.771596,0.259778,47.457627
chamados_v4_fs_mlp_mutualinfo,sunspot,1mlpmutualinfo,0,20.107428,311.400538,17.646545,14.103571,35.738154,0.337860,0.179091,0.957019,71.428571
chamados_v4_fs_mlp_mutualinfo,sunspot,1mlpmutualinfo,1,20.107428,299.975400,17.319798,14.078818,35.636899,0.309146,0.168382,0.959116,67.857143
chamados_v4_fs_mlp_mutualinfo,sunspot,1mlpmutualinfo,2,20.107428,280.728733,16.754961,13.763581,34.713344,0.346416,0.163538,0.961146,78.571429
chamados_v4_fs_mlp_mutualinfo,sunspot,1mlpmutualinfo,3,20.107428,310.460523,17.619890,14.121147,35.951486,0.329810,0.175556,0.957491,71.428571
chamados_v4_fs_mlp_mutualinfo,sunspot,1mlpmutualinfo,4,20.107428,308.842696,17.573921,13.921188,35.833575,0.335420,0.178422,0.957278,71.428571
chamados_v4_fs_mlp_mutualinfo,sunspot,1mlpmutualinfo,5,20.107428,311.140125,17.639165,14.008816,35.707526,0.331654,0.176812,0.957303,71.428571
chamados_v4_fs_mlp_mutualinfo,sunspot,1mlpmutualinfo,6,20.107428,313.200918,17.697483,14.089554,35.930438,0.331342,0.177885,0.957016,71.428571
chamados_v4_fs_mlp_mutualinfo,sunspot,1mlpmutualinfo,7,20.107428,275.658183,16.602957,13.511880,33.224733,0.337602,0.156988,0.962288,78.571429
chamados_v4_fs_mlp_mutualinfo,sunspot,1mlpmutualinfo,8,20.107428,310.463761,17.619982,14.079762,36.130932,0.333770,0.177995,0.957194,71.428571
chamados_v4_fs_mlp_mutualinfo,sunspot,1mlpmutualinfo,9,20.107428,279.746193,16.725615,13.655824,34.380033,0.339977,0.160602,0.961548,78.571429
