ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,0,18.488897,480.497590,21.920255,18.047723,3.806403,0.275121,0.102638,0.976696,78.571429
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,1,18.488897,503.551100,22.439944,17.509946,3.645130,0.324388,0.109369,0.975365,78.571429
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,2,18.488897,551.170462,23.477020,18.227123,3.762498,0.369874,0.124838,0.972466,78.571429
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,3,18.488897,746.655051,27.324989,22.382136,4.691307,0.557738,0.158316,0.963430,78.571429
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,4,18.488897,596.870510,24.430933,19.561701,4.045508,0.387274,0.137185,0.969926,78.571429
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,5,18.488897,675.577535,25.991874,21.756049,4.526017,0.304050,0.148361,0.966504,78.571429
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,6,18.488897,465.963685,21.586192,17.050423,3.581926,0.282685,0.097060,0.977675,78.571429
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,7,18.488897,394.066752,19.851115,15.512099,3.323296,0.229312,0.076889,0.981746,78.571429
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,8,18.488897,455.561405,21.343884,16.761144,3.533863,0.270290,0.093192,0.978364,78.571429
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,9,18.488897,451.591446,21.250681,17.447164,3.702799,0.250201,0.093859,0.978401,78.571429
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,0,26.154559,848.747230,29.133267,27.276771,0.155765,0.440072,0.080402,0.978762,87.500000
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,1,26.154559,443.771089,21.065875,18.376458,0.104960,0.226462,0.043052,0.988850,87.500000
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,2,26.154559,559.472085,23.653162,21.312697,0.121715,0.288012,0.054123,0.985931,87.500000
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,3,26.154559,1519.906789,38.985982,37.612736,0.214758,0.807005,0.138225,0.962242,87.500000
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,4,26.154559,1766.630187,42.031300,40.755311,0.232696,0.943250,0.157892,0.956291,87.500000
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,5,26.154559,826.686877,28.752163,26.869601,0.153433,0.430319,0.078766,0.979260,87.500000
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,6,26.154559,309.448771,17.591156,14.376684,0.082134,0.156525,0.030158,0.992232,87.500000
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,7,26.154559,968.043468,31.113397,29.383462,0.167783,0.506336,0.091413,0.975755,87.500000
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,8,26.154559,2442.393105,49.420574,48.311525,0.275822,1.328246,0.208973,0.940139,87.500000
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,9,26.154559,2088.689291,45.702180,44.526278,0.254226,1.119847,0.182087,0.948669,87.500000
chamados_v4_fs_mlp_rfecv,coloradoRiver,1mlprfecv,0,0.716674,0.020217,0.142187,0.117312,15.522230,1.535929,0.792966,0.838312,66.216216
chamados_v4_fs_mlp_rfecv,coloradoRiver,1mlprfecv,1,0.716674,0.020588,0.143484,0.116261,15.678278,1.264292,0.719405,0.842795,70.270270
chamados_v4_fs_mlp_rfecv,coloradoRiver,1mlprfecv,2,0.716674,0.021280,0.145876,0.121077,16.125757,1.637159,0.812097,0.830456,66.216216
chamados_v4_fs_mlp_rfecv,coloradoRiver,1mlprfecv,3,0.716674,0.021273,0.145852,0.121135,16.137536,1.644289,0.816625,0.830102,66.216216
chamados_v4_fs_mlp_rfecv,coloradoRiver,1mlprfecv,4,0.716674,0.018896,0.137462,0.110455,14.561576,1.152587,0.700543,0.853614,72.972973
chamados_v4_fs_mlp_rfecv,coloradoRiver,1mlprfecv,5,0.716674,0.021227,0.145696,0.120724,16.076280,1.628409,0.808294,0.831127,66.216216
chamados_v4_fs_mlp_rfecv,coloradoRiver,1mlprfecv,6,0.716674,0.038924,0.197293,0.165520,22.548755,2.181501,0.799869,0.757611,74.324324
chamados_v4_fs_mlp_rfecv,coloradoRiver,1mlprfecv,7,0.716674,0.019867,0.140950,0.114165,15.323201,1.221803,0.715987,0.846841,68.918919
chamados_v4_fs_mlp_rfecv,coloradoRiver,1mlprfecv,8,0.716674,0.019216,0.138622,0.111291,14.796241,1.140063,0.700461,0.851844,66.216216
chamados_v4_fs_mlp_rfecv,coloradoRiver,1mlprfecv,9,0.716674,0.067067,0.258974,0.229976,30.623868,3.826333,0.877092,0.679848,70.270270
chamados_v4_fs_mlp_rfecv,sunspot,1mlprfecv,0,20.907860,290.912600,17.056160,12.971416,32.865139,0.385439,0.165343,0.960207,78.571429
chamados_v4_fs_mlp_rfecv,sunspot,1mlprfecv,1,20.907860,310.682138,17.626178,13.269474,35.354700,0.401491,0.181078,0.956872,78.571429
chamados_v4_fs_mlp_rfecv,sunspot,1mlprfecv,2,20.907860,311.193197,17.640669,14.082989,35.834299,0.334270,0.177755,0.957187,71.428571
chamados_v4_fs_mlp_rfecv,sunspot,1mlprfecv,3,20.907860,289.933731,17.027441,12.897233,33.016127,0.381091,0.165182,0.960306,78.571429
chamados_v4_fs_mlp_rfecv,sunspot,1mlprfecv,4,20.907860,280.464802,16.747083,13.744742,33.932624,0.350155,0.162402,0.961320,78.571429
