ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,0,rfecv,3,20,7;8;19,lag_13;lag_12;lag_1
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,1,rfecv,3,20,8;9;19,lag_12;lag_11;lag_1
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,2,rfecv,2,20,8;19,lag_12;lag_1
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,3,rfecv,4,20,8;9;17;19,lag_12;lag_11;lag_3;lag_1
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,4,rfecv,3,20,7;8;19,lag_13;lag_12;lag_1
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,5,rfecv,4,20,7;8;9;19,lag_13;lag_12;lag_11;lag_1
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,6,rfecv,3,20,8;9;19,lag_12;lag_11;lag_1
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,7,rfecv,3,20,8;9;19,lag_12;lag_11;lag_1
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,8,rfecv,3,20,8;9;19,lag_12;lag_11;lag_1
chamados_v4_fs_mlp_rfecv,airlines,1mlprfecv,9,rfecv,3,20,7;8;19,lag_13;lag_12;lag_1
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,0,rfecv,1,1,0,lag_1
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,1,rfecv,1,1,0,lag_1
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,2,rfecv,1,1,0,lag_1
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,3,rfecv,1,1,0,lag_1
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,4,rfecv,1,1,0,lag_1
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,5,rfecv,1,1,0,lag_1
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,6,rfecv,1,1,0,lag_1
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,7,rfecv,1,1,0,lag_1
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,8,rfecv,1,1,0,lag_1
chamados_v4_fs_mlp_rfecv,austres,1mlprfecv,9,rfecv,1,1,0,lag_1
chamados_v4_fs_mlp_rfecv,coloradoRiver,1mlprfecv,0,rfecv,3,16,0;4;15,lag_16;lag_12;lag_1
chamados_v4_fs_mlp_rfecv,coloradoRiver,1mlprfecv,1,rfecv,10,16,0;1;2;4;5;7;12;13;14;15,lag_16;lag_15;lag_14;lag_12;lag_11;lag_9;lag_4;lag_3;lag_2;lag_1
