ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,0,22.371319,553.791454,23.532774,21.146585,4.505003,0.277747,0.111003,0.973845,78.571429
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,1,22.371319,455.781506,21.349040,19.320562,4.191385,0.210791,0.086183,0.979156,78.571429
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,2,22.371319,444.074695,21.073080,19.066940,4.149417,0.202548,0.083090,0.979805,78.571429
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,3,22.371319,462.878581,21.514613,19.469468,4.216533,0.215633,0.087998,0.978769,78.571429
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,4,22.371319,473.111657,21.751130,19.667252,4.247848,0.223730,0.090944,0.978174,78.571429
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,5,22.371319,663.761802,25.763575,22.721891,4.760924,0.364610,0.142301,0.967492,78.571429
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,6,22.371319,553.152566,23.519196,21.134708,4.499707,0.277431,0.111070,0.973855,78.571429
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,7,22.371319,1018.988342,31.921597,26.721453,5.445703,0.678227,0.245485,0.946504,78.571429
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,8,22.371319,540.152620,23.241184,20.924190,4.466537,0.267552,0.107393,0.974603,78.571429
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,9,22.371319,451.127277,21.239757,19.223075,4.174489,0.207526,0.084995,0.979409,78.571429
chamados_v4_fs_mlp_rfembedded,austres,1mlprfembedded,0,24.311940,947.291828,30.778106,29.026847,0.165743,0.496311,0.089770,0.976241,87.500000
chamados_v4_fs_mlp_rfembedded,austres,1mlprfembedded,1,24.311940,262.522808,16.202556,13.017444,0.074385,0.132333,0.025616,0.993414,87.500000
chamados_v4_fs_mlp_rfembedded,austres,1mlprfembedded,2,24.311940,467.034409,21.610979,18.999173,0.108517,0.238279,0.045197,0.988275,87.500000
chamados_v4_fs_mlp_rfembedded,austres,1mlprfembedded,3,24.311940,417.451769,20.431636,17.628839,0.100698,0.211952,0.040404,0.989530,87.500000
