ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,0,rf_embedded,1,20,8,lag_12
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,1,rf_embedded,1,20,8,lag_12
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,2,rf_embedded,1,20,8,lag_12
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,3,rf_embedded,1,20,8,lag_12
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,4,rf_embedded,1,20,8,lag_12
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,5,rf_embedded,1,20,8,lag_12
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,6,rf_embedded,1,20,8,lag_12
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,7,rf_embedded,1,20,8,lag_12
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,8,rf_embedded,1,20,8,lag_12
chamados_v4_fs_mlp_rfembedded,airlines,1mlprfembedded,9,rf_embedded,1,20,8,lag_12
chamados_v4_fs_mlp_rfembedded,austres,1mlprfembedded,0,rf_embedded,1,1,0,lag_1
chamados_v4_fs_mlp_rfembedded,austres,1mlprfembedded,1,rf_embedded,1,1,0,lag_1
chamados_v4_fs_mlp_rfembedded,austres,1mlprfembedded,2,rf_embedded,1,1,0,lag_1
chamados_v4_fs_mlp_rfembedded,austres,1mlprfembedded,3,rf_embedded,1,1,0,lag_1
chamados_v4_fs_mlp_rfembedded,austres,1mlprfembedded,4,rf_embedded,1,1,0,lag_1
chamados_v4_fs_mlp_rfembedded,austres,1mlprfembedded,5,rf_embedded,1,1,0,lag_1
chamados_v4_fs_mlp_rfembedded,austres,1mlprfembedded,6,rf_embedded,1,1,0,lag_1
chamados_v4_fs_mlp_rfembedded,austres,1mlprfembedded,7,rf_embedded,1,1,0,lag_1
