ExperimentID,Serie,Modelo,N_Repeticoes,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,theil_mean,theil_std,ARV_mean,ARV_std,IA_mean,IA_std,POCID_mean,POCID_std
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,10,387.144948,2.675523,19.675894,0.067949,15.550120,0.067059,3.462016,0.015387,0.146196,0.000784,0.066785,0.000397,0.983122,0.000109,78.571429,0.000000
chamados_v4_fs_mutualinfo,airlines,1arima,1,389.194049,,19.728002,,15.102607,,3.315326,,0.134713,,0.066301,,0.983139,,78.571429,
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,10,363.082958,14.264577,19.051486,0.370944,14.009845,0.408971,0.080102,0.002327,0.131625,0.003864,0.035378,0.001246,0.990875,0.000343,75.000000,0.000000
chamados_v4_fs_mutualinfo,austres,1arima,1,358.130880,,18.924346,,13.710292,,0.078380,,0.129713,,0.034904,,0.990999,,75.000000,
chamados_v4_fs_mutualinfo,coloradoRiver,1amv1mutualinfo,10,0.109300,0.004075,0.330554,0.006158,0.267056,0.004994,29.248919,0.532820,0.762581,0.023046,0.703440,0.007261,0.661433,0.006010,53.513514,2.564009
chamados_v4_fs_mutualinfo,coloradoRiver,1arima,1,0.104961,,0.323976,,0.262984,,28.817193,,0.755655,,0.698832,,0.667249,,52.702703,
chamados_v4_fs_mutualinfo,samurec,1amv1mutualinfo,10,48.336338,0.141287,6.952427,0.010159,5.777225,0.010580,19.979978,0.037337,29.550835,2.144090,25.298452,1.490599,0.232694,0.005548,64.745763,2.083513
chamados_v4_fs_mutualinfo,samurec,1arima,1,48.481589,,6.962872,,5.858474,,20.580083,,28.356862,,34.562540,,0.193628,,64.406780,
chamados_v4_fs_mutualinfo,sunspot,1amv1mutualinfo,10,365.449089,3.659423,19.116507,0.095668,15.863027,0.100714,40.575818,0.296836,0.335078,0.002801,0.203422,0.001881,0.950053,0.000428,60.714286,0.000000
chamados_v4_fs_mutualinfo,sunspot,1arima,1,365.478709,,19.117497,,15.719171,,36.503112,,0.346894,,0.193887,,0.951367,,67.857143,
chamados_v4_fs_mutualinfo,windspeedfortaleza,1amv1mutualinfo,10,0.204734,0.028781,0.451612,0.029451,0.382874,0.009496,13.734547,0.426301,0.819455,0.076539,0.411376,0.053003,0.895669,0.013102,48.571429,4.517540
chamados_v4_fs_mutualinfo,windspeedfortaleza,1arima,1,0.159223,,0.399027,,0.336684,,11.585693,,0.710406,,0.282118,,0.924855,,57.142857,
