ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,0,14.047473,385.802607,19.641859,15.519933,3.458277,0.145666,0.066383,0.983203,78.571429
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,1,14.047473,379.966357,19.492726,15.297746,3.408392,0.143891,0.065344,0.983466,78.571429
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,2,14.047473,382.307532,19.552686,15.438367,3.438854,0.145419,0.066127,0.983314,78.571429
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,3,14.047473,384.709778,19.614020,15.512443,3.452099,0.146004,0.066481,0.983215,78.571429
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,4,14.047473,383.698477,19.588223,15.474943,3.448884,0.146292,0.066354,0.983254,78.571429
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,5,14.047473,389.502016,19.735805,15.564086,3.467274,0.146951,0.067141,0.983024,78.571429
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,6,14.047473,385.189897,19.626255,15.524357,3.458272,0.146130,0.066401,0.983215,78.571429
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,7,14.047473,385.794312,19.641647,15.508673,3.455864,0.145800,0.066436,0.983197,78.571429
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,8,14.047473,385.490930,19.633923,15.514609,3.453974,0.145653,0.066579,0.983185,78.571429
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,9,14.047473,384.709112,19.614003,15.541819,3.461080,0.145955,0.066381,0.983228,78.571429
chamados_v4_fs_mutualinfo,airlines,1arima,0,,389.194049,19.728002,15.102607,3.315326,0.134713,0.066301,0.983139,78.571429
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,0,17.001839,353.020241,18.788833,13.640964,0.077997,0.128590,0.034474,0.991119,75.000000
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,1,17.001839,369.315592,19.217585,14.180894,0.081064,0.132845,0.035892,0.990729,75.000000
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,2,17.001839,389.239086,19.729143,14.727910,0.084183,0.138840,0.037676,0.990244,75.000000
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,3,17.001839,351.603753,18.751100,13.757550,0.078676,0.128630,0.034380,0.991150,75.000000
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,4,17.001839,375.793195,19.385386,14.382227,0.082212,0.134757,0.036470,0.990572,75.000000
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,5,17.001839,364.496457,19.091790,14.005343,0.080062,0.131454,0.035463,0.990846,75.000000
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,6,17.001839,361.328294,19.008637,13.871355,0.079298,0.130571,0.035184,0.990922,75.000000
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,7,17.001839,354.827043,18.836853,13.628916,0.077921,0.128934,0.034622,0.991077,75.000000
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,8,17.001839,351.839617,18.757388,13.709970,0.078400,0.128529,0.034389,0.991145,75.000000
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,9,17.001839,352.115302,18.764736,13.662470,0.078125,0.128506,0.034406,0.991140,75.000000
chamados_v4_fs_mutualinfo,austres,1arima,0,,358.130880,18.924346,13.710292,0.078380,0.129713,0.034904,0.990999,75.000000
chamados_v4_fs_mutualinfo,coloradoRiver,1amv1mutualinfo,0,0.683075,0.110150,0.331889,0.265372,28.903307,0.727390,0.698165,0.663481,55.405405
chamados_v4_fs_mutualinfo,coloradoRiver,1amv1mutualinfo,1,0.683075,0.106266,0.325984,0.263558,28.792823,0.774200,0.703806,0.664538,51.351351
chamados_v4_fs_mutualinfo,coloradoRiver,1amv1mutualinfo,2,0.683075,0.107895,0.328473,0.263530,28.838558,0.759149,0.700645,0.664177,56.756757
chamados_v4_fs_mutualinfo,coloradoRiver,1amv1mutualinfo,3,0.683075,0.113440,0.336808,0.274244,30.267224,0.732842,0.716328,0.651048,50.000000
chamados_v4_fs_mutualinfo,coloradoRiver,1amv1mutualinfo,4,0.683075,0.106807,0.326813,0.267401,29.550470,0.779790,0.707932,0.662494,52.702703
chamados_v4_fs_mutualinfo,coloradoRiver,1amv1mutualinfo,5,0.683075,0.110288,0.332096,0.266735,29.184772,0.761743,0.702054,0.661382,56.756757
chamados_v4_fs_mutualinfo,coloradoRiver,1amv1mutualinfo,6,0.683075,0.108861,0.329941,0.266157,29.073101,0.760002,0.696884,0.664199,56.756757
chamados_v4_fs_mutualinfo,coloradoRiver,1amv1mutualinfo,7,0.683075,0.104790,0.323713,0.261044,28.713750,0.769694,0.707678,0.663959,54.054054
chamados_v4_fs_mutualinfo,coloradoRiver,1amv1mutualinfo,8,0.683075,0.103214,0.321269,0.263303,28.982884,0.794737,0.691243,0.670673,52.702703
chamados_v4_fs_mutualinfo,coloradoRiver,1amv1mutualinfo,9,0.683075,0.110914,0.333037,0.267848,29.346671,0.756825,0.704382,0.660060,55.405405
chamados_v4_fs_mutualinfo,coloradoRiver,1arima,0,,0.104961,0.323976,0.262984,28.817193,0.755655,0.698832,0.667249,52.702703
chamados_v4_fs_mutualinfo,sunspot,1amv1mutualinfo,0,22.742843,363.740781,19.071989,15.905017,40.792861,0.337749,0.204135,0.950084,60.714286
chamados_v4_fs_mutualinfo,sunspot,1amv1mutualinfo,1,22.742843,366.534681,19.145095,16.079515,40.499165,0.333334,0.200606,0.950297,60.714286
chamados_v4_fs_mutualinfo,sunspot,1amv1mutualinfo,2,22.742843,362.577650,19.041472,15.840405,40.780702,0.336161,0.203939,0.950197,60.714286
chamados_v4_fs_mutualinfo,sunspot,1amv1mutualinfo,3,22.742843,362.226519,19.032249,15.686794,39.862770,0.335886,0.202027,0.950498,60.714286
chamados_v4_fs_mutualinfo,sunspot,1amv1mutualinfo,4,22.742843,365.015607,19.105382,15.556007,39.425525,0.342705,0.204224,0.950036,60.714286
chamados_v4_fs_mutualinfo,sunspot,1amv1mutualinfo,5,22.742843,366.945879,19.155831,15.854227,40.674365,0.334918,0.204586,0.949807,60.714286
