ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,0,mutual_info,9,20,1;2;3;6;8;15;16;18;19,lag_19;lag_18;lag_17;lag_14;lag_12;lag_5;lag_4;lag_2;lag_1
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,1,mutual_info,9,20,1;2;3;6;8;15;16;18;19,lag_19;lag_18;lag_17;lag_14;lag_12;lag_5;lag_4;lag_2;lag_1
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,2,mutual_info,9,20,1;2;3;6;8;15;16;18;19,lag_19;lag_18;lag_17;lag_14;lag_12;lag_5;lag_4;lag_2;lag_1
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,3,mutual_info,9,20,1;2;3;6;8;15;16;18;19,lag_19;lag_18;lag_17;lag_14;lag_12;lag_5;lag_4;lag_2;lag_1
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,4,mutual_info,9,20,1;2;3;6;8;15;16;18;19,lag_19;lag_18;lag_17;lag_14;lag_12;lag_5;lag_4;lag_2;lag_1
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,5,mutual_info,9,20,1;2;3;6;8;15;16;18;19,lag_19;lag_18;lag_17;lag_14;lag_12;lag_5;lag_4;lag_2;lag_1
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,6,mutual_info,9,20,1;2;3;6;8;15;16;18;19,lag_19;lag_18;lag_17;lag_14;lag_12;lag_5;lag_4;lag_2;lag_1
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,7,mutual_info,9,20,1;2;3;6;8;15;16;18;19,lag_19;lag_18;lag_17;lag_14;lag_12;lag_5;lag_4;lag_2;lag_1
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,8,mutual_info,9,20,1;2;3;6;8;15;16;18;19,lag_19;lag_18;lag_17;lag_14;lag_12;lag_5;lag_4;lag_2;lag_1
chamados_v4_fs_mutualinfo,airlines,1amv1mutualinfo,9,mutual_info,9,20,1;2;3;6;8;15;16;18;19,lag_19;lag_18;lag_17;lag_14;lag_12;lag_5;lag_4;lag_2;lag_1
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,0,mutual_info,1,1,0,lag_1
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,1,mutual_info,1,1,0,lag_1
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,2,mutual_info,1,1,0,lag_1
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,3,mutual_info,1,1,0,lag_1
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,4,mutual_info,1,1,0,lag_1
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,5,mutual_info,1,1,0,lag_1
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,6,mutual_info,1,1,0,lag_1
chamados_v4_fs_mutualinfo,austres,1amv1mutualinfo,7,mutual_info,1,1,0,lag_1
