ExperimentID,Serie,Modelo,N_Repeticoes,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,theil_mean,theil_std,ARV_mean,ARV_std,IA_mean,IA_std,POCID_mean,POCID_std
chamados_v4_fs_rfecv,airlines,1amv1rfecv,10,331.303223,21.143281,18.193204,0.587406,14.829462,0.386919,3.311457,0.080880,0.124305,0.005657,0.057093,0.003326,0.985599,0.000889,78.571429,0.000000
chamados_v4_fs_rfecv,airlines,1arima,1,389.194049,,19.728002,,15.102607,,3.315326,,0.134713,,0.066301,,0.983139,,78.571429,
chamados_v4_fs_rfecv,austres,1amv1rfecv,10,359.810314,12.024882,18.966348,0.312620,13.871883,0.355016,0.079312,0.002022,0.130531,0.003302,0.035076,0.001054,0.990955,0.000290,75.000000,0.000000
chamados_v4_fs_rfecv,austres,1arima,1,358.130880,,18.924346,,13.710292,,0.078380,,0.129713,,0.034904,,0.990999,,75.000000,
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,10,0.108990,0.003655,0.330096,0.005491,0.266100,0.004127,29.108643,0.478317,0.763083,0.019389,0.703985,0.012211,0.661377,0.008008,53.243243,2.933121
chamados_v4_fs_rfecv,coloradoRiver,1arima,1,0.104961,,0.323976,,0.262984,,28.817193,,0.755655,,0.698832,,0.667249,,52.702703,
chamados_v4_fs_rfecv,samurec,1amv1rfecv,10,48.143580,0.336468,6.938519,0.024253,5.753705,0.018480,19.923559,0.070589,29.208806,5.894265,26.896495,1.308270,0.231811,0.005401,62.033898,3.613170
chamados_v4_fs_rfecv,samurec,1arima,1,48.481589,,6.962872,,5.858474,,20.580083,,28.356862,,34.562540,,0.193628,,64.406780,
chamados_v4_fs_rfecv,sunspot,1amv1rfecv,10,361.131117,3.829169,19.003210,0.100729,15.571389,0.138748,40.220237,0.837396,0.334346,0.004361,0.200814,0.003212,0.950729,0.000617,61.428571,1.505847
chamados_v4_fs_rfecv,sunspot,1arima,1,365.478709,,19.117497,,15.719171,,36.503112,,0.346894,,0.193887,,0.951367,,67.857143,
chamados_v4_fs_rfecv,windspeedfortaleza,1amv1rfecv,10,0.194848,0.012674,0.441205,0.014378,0.377699,0.007900,13.405238,0.390052,0.829880,0.046414,0.379101,0.020340,0.902112,0.005457,52.142857,5.880519
chamados_v4_fs_rfecv,windspeedfortaleza,1arima,1,0.159223,,0.399027,,0.336684,,11.585693,,0.710406,,0.282118,,0.924855,,57.142857,
