ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_v4_fs_rfecv,airlines,1amv1rfecv,0,14.508940,313.913775,17.717612,14.757667,3.311866,0.122515,0.053774,0.986406,78.571429
chamados_v4_fs_rfecv,airlines,1amv1rfecv,1,14.508940,344.932334,18.572354,15.006169,3.348248,0.123539,0.059382,0.985005,78.571429
chamados_v4_fs_rfecv,airlines,1amv1rfecv,2,14.508940,346.458251,18.613389,14.946029,3.358062,0.130171,0.058774,0.985050,78.571429
chamados_v4_fs_rfecv,airlines,1amv1rfecv,3,14.508940,304.608708,17.453043,14.446607,3.236422,0.119232,0.053475,0.986651,78.571429
chamados_v4_fs_rfecv,airlines,1amv1rfecv,4,14.508940,348.994313,18.681389,14.966970,3.334913,0.128871,0.060023,0.984834,78.571429
chamados_v4_fs_rfecv,airlines,1amv1rfecv,5,14.508940,321.893859,17.941401,14.879632,3.321038,0.124973,0.056237,0.985917,78.571429
chamados_v4_fs_rfecv,airlines,1amv1rfecv,6,14.508940,293.265977,17.125010,13.921686,3.110410,0.112807,0.050781,0.987243,78.571429
chamados_v4_fs_rfecv,airlines,1amv1rfecv,7,14.508940,345.464126,18.586665,15.154968,3.363911,0.124302,0.059145,0.985024,78.571429
chamados_v4_fs_rfecv,airlines,1amv1rfecv,8,14.508940,340.970302,18.465381,14.957732,3.354756,0.132699,0.059059,0.985135,78.571429
chamados_v4_fs_rfecv,airlines,1amv1rfecv,9,14.508940,352.530582,18.775798,15.257155,3.374942,0.123935,0.060281,0.984722,78.571429
chamados_v4_fs_rfecv,airlines,1arima,0,,389.194049,19.728002,15.102607,3.315326,0.134713,0.066301,0.983139,78.571429
chamados_v4_fs_rfecv,austres,1amv1rfecv,0,17.229573,370.412884,19.246113,14.221808,0.081297,0.133271,0.035997,0.990701,75.000000
chamados_v4_fs_rfecv,austres,1amv1rfecv,1,17.229573,390.072633,19.750257,14.746835,0.084291,0.139071,0.037749,0.990224,75.000000
chamados_v4_fs_rfecv,austres,1amv1rfecv,2,17.229573,358.705306,18.939517,13.728123,0.078481,0.129764,0.034947,0.990986,75.000000
chamados_v4_fs_rfecv,austres,1amv1rfecv,3,17.229573,352.087833,18.764004,13.651234,0.078059,0.128515,0.034405,0.991140,75.000000
chamados_v4_fs_rfecv,austres,1amv1rfecv,4,17.229573,356.018638,18.868456,13.615006,0.077839,0.129000,0.034709,0.991051,75.000000
chamados_v4_fs_rfecv,austres,1amv1rfecv,5,17.229573,352.396458,18.772226,13.908767,0.079551,0.129335,0.034485,0.991128,75.000000
chamados_v4_fs_rfecv,austres,1amv1rfecv,6,17.229573,357.101121,18.897119,13.646541,0.078016,0.129431,0.034813,0.991024,75.000000
chamados_v4_fs_rfecv,austres,1amv1rfecv,7,17.229573,351.368018,18.744813,13.756487,0.078671,0.128670,0.034367,0.991154,75.000000
chamados_v4_fs_rfecv,austres,1amv1rfecv,8,17.229573,357.927389,18.918969,13.704396,0.078346,0.129699,0.034889,0.991003,75.000000
chamados_v4_fs_rfecv,austres,1amv1rfecv,9,17.229573,352.012859,18.762006,13.739634,0.078570,0.128552,0.034403,0.991141,75.000000
chamados_v4_fs_rfecv,austres,1arima,0,,358.130880,18.924346,13.710292,0.078380,0.129713,0.034904,0.990999,75.000000
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,0,0.684943,0.105951,0.325501,0.262609,28.790801,0.777365,0.705139,0.664714,56.756757
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,1,0.684943,0.105221,0.324379,0.260957,28.423161,0.746694,0.687693,0.670768,52.702703
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,2,0.684943,0.112215,0.334985,0.271866,29.889805,0.788151,0.718483,0.651620,48.648649
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,3,0.684943,0.106353,0.326118,0.263646,28.901434,0.769390,0.701153,0.665464,55.405405
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,4,0.684943,0.107341,0.327630,0.264383,28.843376,0.763256,0.688083,0.669423,55.405405
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,5,0.684943,0.111081,0.333289,0.267855,29.317096,0.747986,0.712408,0.656357,52.702703
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,6,0.684943,0.106918,0.326983,0.263536,28.788220,0.756852,0.688827,0.669392,56.756757
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,7,0.684943,0.107571,0.327980,0.266597,29.234862,0.786096,0.705695,0.662181,54.054054
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,8,0.684943,0.117022,0.342084,0.273989,29.879617,0.769449,0.717385,0.647901,50.000000
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,9,0.684943,0.110228,0.332007,0.265566,29.018054,0.725590,0.714981,0.655953,50.000000
chamados_v4_fs_rfecv,coloradoRiver,1arima,0,,0.104961,0.323976,0.262984,28.817193,0.755655,0.698832,0.667249,52.702703
chamados_v4_fs_rfecv,samurec,1amv1rfecv,0,7.325566,47.929075,6.923083,5.738312,19.879124,32.638227,26.379334,0.234923,63.559322
chamados_v4_fs_rfecv,samurec,1amv1rfecv,1,7.325566,48.541379,6.967164,5.773743,19.971675,27.355829,25.733921,0.231163,62.711864
chamados_v4_fs_rfecv,samurec,1amv1rfecv,2,7.325566,48.491542,6.963587,5.741394,19.897685,33.642002,26.506962,0.228002,58.474576
chamados_v4_fs_rfecv,samurec,1amv1rfecv,3,7.325566,47.715470,6.907639,5.763098,19.958397,26.189296,28.613997,0.226206,61.864407
chamados_v4_fs_rfecv,samurec,1amv1rfecv,4,7.325566,48.507774,6.964752,5.784083,20.023481,30.171528,26.938783,0.228327,61.864407
chamados_v4_fs_rfecv,samurec,1amv1rfecv,5,7.325566,47.632107,6.901602,5.721391,19.797766,27.012801,28.837876,0.236849,63.559322
chamados_v4_fs_rfecv,samurec,1amv1rfecv,6,7.325566,47.979197,6.926702,5.748807,19.865493,20.267290,24.505681,0.242363,67.796610
chamados_v4_fs_rfecv,samurec,1amv1rfecv,7,7.325566,48.410384,6.957757,5.765035,20.016552,41.242894,27.696088,0.224514,54.237288
chamados_v4_fs_rfecv,samurec,1amv1rfecv,8,7.325566,48.024609,6.929979,5.745284,19.895262,23.148274,26.348599,0.233915,61.864407
chamados_v4_fs_rfecv,samurec,1amv1rfecv,9,7.325566,48.204263,6.942929,5.755903,19.930160,30.419917,27.403710,0.231846,64.406780
chamados_v4_fs_rfecv,samurec,1arima,0,,48.481589,6.962872,5.858474,20.580083,28.356862,34.562540,0.193628,64.406780
chamados_v4_fs_rfecv,sunspot,1amv1rfecv,0,22.811446,360.363373,18.983239,15.495236,40.831241,0.336091,0.205233,0.950232,60.714286
chamados_v4_fs_rfecv,sunspot,1amv1rfecv,1,22.811446,357.254708,18.901183,15.460156,38.880457,0.336348,0.196254,0.951639,64.285714
chamados_v4_fs_rfecv,sunspot,1amv1rfecv,2,22.811446,357.859656,18.917179,15.416227,38.867872,0.342563,0.198994,0.951264,64.285714
chamados_v4_fs_rfecv,sunspot,1amv1rfecv,3,22.811446,365.192234,19.110003,15.440846,39.725268,0.330021,0.200139,0.950518,60.714286
chamados_v4_fs_rfecv,sunspot,1amv1rfecv,4,22.811446,366.010832,19.131410,15.770009,41.076506,0.333942,0.203511,0.949991,60.714286
chamados_v4_fs_rfecv,sunspot,1amv1rfecv,5,22.811446,359.646414,18.964346,15.503392,41.184985,0.337157,0.203840,0.950448,60.714286
chamados_v4_fs_rfecv,sunspot,1amv1rfecv,6,22.811446,366.492601,19.143996,15.582080,40.149050,0.336784,0.200369,0.950385,60.714286
chamados_v4_fs_rfecv,sunspot,1amv1rfecv,7,22.811446,355.303691,18.849501,15.581859,40.218759,0.328521,0.195521,0.951806,60.714286
chamados_v4_fs_rfecv,sunspot,1amv1rfecv,8,22.811446,361.554021,19.014574,15.637029,40.464901,0.329047,0.201576,0.950575,60.714286
chamados_v4_fs_rfecv,sunspot,1amv1rfecv,9,22.811446,361.633644,19.016668,15.827051,40.803330,0.332983,0.202698,0.950427,60.714286
chamados_v4_fs_rfecv,sunspot,1arima,0,,365.478709,19.117497,15.719171,36.503112,0.346894,0.193887,0.951367,67.857143
chamados_v4_fs_rfecv,windspeedfortaleza,1amv1rfecv,0,0.396653,0.205648,0.453484,0.382493,13.326224,0.794616,0.353546,0.902670,50.000000
chamados_v4_fs_rfecv,windspeedfortaleza,1amv1rfecv,1,0.396653,0.197219,0.444094,0.375586,13.406191,0.871026,0.392799,0.899563,50.000000
chamados_v4_fs_rfecv,windspeedfortaleza,1amv1rfecv,2,0.396653,0.192622,0.438887,0.376845,13.495791,0.834828,0.383824,0.902115,50.000000
chamados_v4_fs_rfecv,windspeedfortaleza,1amv1rfecv,3,0.396653,0.195861,0.442562,0.382412,13.752022,0.853645,0.398171,0.899291,50.000000
chamados_v4_fs_rfecv,windspeedfortaleza,1amv1rfecv,4,0.396653,0.201287,0.448651,0.375966,13.059514,0.826521,0.355352,0.903565,64.285714
chamados_v4_fs_rfecv,windspeedfortaleza,1amv1rfecv,5,0.396653,0.175493,0.418919,0.365985,12.847415,0.751171,0.359967,0.910107,57.142857
chamados_v4_fs_rfecv,windspeedfortaleza,1amv1rfecv,6,0.396653,0.218039,0.466947,0.394103,14.156504,0.909843,0.408614,0.891281,42.857143
chamados_v4_fs_rfecv,windspeedfortaleza,1amv1rfecv,7,0.396653,0.175942,0.419454,0.367683,12.949991,0.775098,0.358059,0.910348,57.142857
chamados_v4_fs_rfecv,windspeedfortaleza,1amv1rfecv,8,0.396653,0.193714,0.440130,0.377082,13.502841,0.838571,0.390068,0.900965,50.000000
chamados_v4_fs_rfecv,windspeedfortaleza,1amv1rfecv,9,0.396653,0.192650,0.438920,0.378835,13.555882,0.843484,0.390615,0.901217,50.000000
chamados_v4_fs_rfecv,windspeedfortaleza,1arima,0,,0.159223,0.399027,0.336684,11.585693,0.710406,0.282118,0.924855,57.142857
