ExperimentID,Serie,Modelo,Repeticao,Strategy,N_Features_Selected,N_Features_Total,Selected_Indices,Selected_Lag_Names
chamados_v4_fs_rfecv,airlines,1amv1rfecv,0,rfecv,19,20,0;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,lag_20;lag_18;lag_17;lag_16;lag_15;lag_14;lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_v4_fs_rfecv,airlines,1amv1rfecv,1,rfecv,13,20,0;2;4;5;7;8;9;11;13;14;15;16;18,lag_20;lag_18;lag_16;lag_15;lag_13;lag_12;lag_11;lag_9;lag_7;lag_6;lag_5;lag_4;lag_2
chamados_v4_fs_rfecv,airlines,1amv1rfecv,2,rfecv,19,20,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19,lag_20;lag_19;lag_18;lag_17;lag_16;lag_15;lag_14;lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_2;lag_1
chamados_v4_fs_rfecv,airlines,1amv1rfecv,3,rfecv,14,20,0;2;4;5;7;8;9;11;13;14;15;16;18;19,lag_20;lag_18;lag_16;lag_15;lag_13;lag_12;lag_11;lag_9;lag_7;lag_6;lag_5;lag_4;lag_2;lag_1
chamados_v4_fs_rfecv,airlines,1amv1rfecv,4,rfecv,18,20,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15;16;18;19,lag_20;lag_19;lag_18;lag_17;lag_16;lag_15;lag_14;lag_13;lag_12;lag_11;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_2;lag_1
chamados_v4_fs_rfecv,airlines,1amv1rfecv,5,rfecv,11,20,0;2;5;7;8;9;11;13;14;16;18,lag_20;lag_18;lag_15;lag_13;lag_12;lag_11;lag_9;lag_7;lag_6;lag_4;lag_2
chamados_v4_fs_rfecv,airlines,1amv1rfecv,6,rfecv,10,20,0;2;5;7;8;13;14;15;16;18,lag_20;lag_18;lag_15;lag_13;lag_12;lag_7;lag_6;lag_5;lag_4;lag_2
chamados_v4_fs_rfecv,airlines,1amv1rfecv,7,rfecv,10,20,0;2;4;5;7;8;13;14;16;18,lag_20;lag_18;lag_16;lag_15;lag_13;lag_12;lag_7;lag_6;lag_4;lag_2
chamados_v4_fs_rfecv,airlines,1amv1rfecv,8,rfecv,19,20,0;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,lag_20;lag_19;lag_18;lag_16;lag_15;lag_14;lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
chamados_v4_fs_rfecv,airlines,1amv1rfecv,9,rfecv,16,20,0;2;4;5;6;7;8;9;11;12;13;14;15;16;18;19,lag_20;lag_18;lag_16;lag_15;lag_14;lag_13;lag_12;lag_11;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_2;lag_1
chamados_v4_fs_rfecv,austres,1amv1rfecv,0,rfecv,1,1,0,lag_1
chamados_v4_fs_rfecv,austres,1amv1rfecv,1,rfecv,1,1,0,lag_1
chamados_v4_fs_rfecv,austres,1amv1rfecv,2,rfecv,1,1,0,lag_1
chamados_v4_fs_rfecv,austres,1amv1rfecv,3,rfecv,1,1,0,lag_1
chamados_v4_fs_rfecv,austres,1amv1rfecv,4,rfecv,1,1,0,lag_1
chamados_v4_fs_rfecv,austres,1amv1rfecv,5,rfecv,1,1,0,lag_1
chamados_v4_fs_rfecv,austres,1amv1rfecv,6,rfecv,1,1,0,lag_1
chamados_v4_fs_rfecv,austres,1amv1rfecv,7,rfecv,1,1,0,lag_1
chamados_v4_fs_rfecv,austres,1amv1rfecv,8,rfecv,1,1,0,lag_1
chamados_v4_fs_rfecv,austres,1amv1rfecv,9,rfecv,1,1,0,lag_1
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,0,rfecv,7,16,2;3;4;5;6;14;15,lag_14;lag_13;lag_12;lag_11;lag_10;lag_2;lag_1
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,1,rfecv,10,16,2;3;4;5;6;7;10;13;14;15,lag_14;lag_13;lag_12;lag_11;lag_10;lag_9;lag_6;lag_3;lag_2;lag_1
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,2,rfecv,13,16,2;3;4;5;6;7;8;9;10;11;13;14;15,lag_14;lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_3;lag_2;lag_1
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,3,rfecv,10,16,2;3;4;5;6;7;10;13;14;15,lag_14;lag_13;lag_12;lag_11;lag_10;lag_9;lag_6;lag_3;lag_2;lag_1
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,4,rfecv,15,16,0;1;2;3;4;5;6;7;8;9;10;11;13;14;15,lag_16;lag_15;lag_14;lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_3;lag_2;lag_1
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,5,rfecv,15,16,0;1;2;3;4;5;6;7;8;9;10;11;13;14;15,lag_16;lag_15;lag_14;lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_3;lag_2;lag_1
chamados_v4_fs_rfecv,coloradoRiver,1amv1rfecv,6,rfecv,16,16,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,lag_16;lag_15;lag_14;lag_13;lag_12;lag_11;lag_10;lag_9;lag_8;lag_7;lag_6;lag_5;lag_4;lag_3;lag_2;lag_1
