ExperimentID,Serie,Modelo,N_Repeticoes,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,theil_mean,theil_std,ARV_mean,ARV_std,IA_mean,IA_std,POCID_mean,POCID_std
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,10,376.550099,10.090997,19.403318,0.261108,15.033956,0.357043,3.303183,0.082999,0.128497,0.003752,0.063306,0.001577,0.983806,0.000406,78.571429,0.000000
chamados_v4_fs_rfembedded,airlines,1arima,1,389.194049,,19.728002,,15.102607,,3.315326,,0.134713,,0.066301,,0.983139,,78.571429,
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,10,363.082958,14.264577,19.051486,0.370944,14.009845,0.408971,0.080102,0.002327,0.131625,0.003864,0.035378,0.001246,0.990875,0.000343,75.000000,0.000000
chamados_v4_fs_rfembedded,austres,1arima,1,358.130880,,18.924346,,13.710292,,0.078380,,0.129713,,0.034904,,0.990999,,75.000000,
chamados_v4_fs_rfembedded,coloradoRiver,1amv1rfembedded,10,0.107934,0.006518,0.328393,0.010108,0.265756,0.008667,29.076059,0.877779,0.748683,0.028955,0.700273,0.006993,0.664035,0.009264,52.432432,2.188281
chamados_v4_fs_rfembedded,coloradoRiver,1arima,1,0.104961,,0.323976,,0.262984,,28.817193,,0.755655,,0.698832,,0.667249,,52.702703,
chamados_v4_fs_rfembedded,samurec,1amv1rfembedded,10,48.167309,0.184527,6.940256,0.013294,5.755431,0.016962,19.967378,0.073331,39.598495,7.550770,29.926593,3.117637,0.220997,0.011001,58.135593,1.839415
chamados_v4_fs_rfembedded,samurec,1arima,1,48.481589,,6.962872,,5.858474,,20.580083,,28.356862,,34.562540,,0.193628,,64.406780,
chamados_v4_fs_rfembedded,sunspot,1amv1rfembedded,10,358.038401,3.991284,18.921636,0.105976,15.462280,0.087866,39.307252,0.507004,0.328812,0.007675,0.195065,0.001655,0.951693,0.000278,61.071429,1.129385
chamados_v4_fs_rfembedded,sunspot,1arima,1,365.478709,,19.117497,,15.719171,,36.503112,,0.346894,,0.193887,,0.951367,,67.857143,
chamados_v4_fs_rfembedded,windspeedfortaleza,1amv1rfembedded,10,0.203151,0.007393,0.450657,0.008140,0.378422,0.009866,13.152595,0.373137,0.816383,0.027904,0.361038,0.018570,0.902182,0.004596,57.142857,5.832118
chamados_v4_fs_rfembedded,windspeedfortaleza,1arima,1,0.159223,,0.399027,,0.336684,,11.585693,,0.710406,,0.282118,,0.924855,,57.142857,
