ExperimentID,Serie,Modelo,Repeticao,ValMetric,MSE,RMSE,MAE,MAPE,theil,ARV,IA,POCID
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,0,14.591060,381.928533,19.542992,14.823898,3.253377,0.128836,0.063695,0.983638,78.571429
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,1,14.591060,384.645475,19.612381,14.651994,3.221801,0.127845,0.064251,0.983506,78.571429
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,2,14.591060,362.409787,19.037064,14.986201,3.334959,0.130570,0.061196,0.984388,78.571429
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,3,14.591060,376.753097,19.410129,14.703490,3.231459,0.125998,0.062263,0.983938,78.571429
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,4,14.591060,380.519682,19.506914,14.765665,3.238208,0.128394,0.063445,0.983701,78.571429
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,5,14.591060,385.913905,19.644692,14.926314,3.274558,0.129079,0.064281,0.983474,78.571429
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,6,14.591060,351.460018,18.747267,14.122023,3.098921,0.119562,0.057898,0.985057,78.571429
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,7,14.591060,380.181243,19.498237,14.479032,3.185326,0.127338,0.063454,0.983707,78.571429
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,8,14.591060,380.982388,19.518770,14.523351,3.196840,0.127716,0.063651,0.983664,78.571429
chamados_v4_fs_rfembedded,airlines,1amv1rfembedded,9,14.591060,383.067590,19.572113,14.867393,3.261237,0.128364,0.063900,0.983586,78.571429
chamados_v4_fs_rfembedded,airlines,1arima,0,,389.194049,19.728002,15.102607,3.315326,0.134713,0.066301,0.983139,78.571429
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,0,17.176033,420.247172,20.499931,15.338799,0.087667,0.148563,0.040468,0.989487,75.000000
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,1,17.176033,353.122285,18.791548,13.963660,0.079870,0.129855,0.034572,0.991108,75.000000
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,2,17.176033,358.122084,18.924114,13.712686,0.078393,0.129731,0.034905,0.990999,75.000000
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,3,17.176033,352.746779,18.781554,13.645022,0.078020,0.128596,0.034456,0.991125,75.000000
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,4,17.176033,357.142151,18.898205,13.643678,0.078000,0.129410,0.034815,0.991023,75.000000
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,5,17.176033,364.887613,19.102032,14.022654,0.080161,0.131594,0.035500,0.990836,75.000000
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,6,17.176033,358.801265,18.942050,13.747374,0.078591,0.129892,0.034963,0.990983,75.000000
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,7,17.176033,368.699666,19.201554,14.161524,0.080953,0.132698,0.035839,0.990744,75.000000
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,8,17.176033,355.714213,18.860387,14.089734,0.080600,0.131144,0.034841,0.991041,75.000000
chamados_v4_fs_rfembedded,austres,1amv1rfembedded,9,17.176033,388.807889,19.718212,14.719609,0.084136,0.138859,0.037647,0.990253,75.000000
chamados_v4_fs_rfembedded,austres,1arima,0,,358.130880,18.924346,13.710292,0.078380,0.129713,0.034904,0.990999,75.000000
chamados_v4_fs_rfembedded,coloradoRiver,1amv1rfembedded,0,0.685138,0.101171,0.318073,0.256418,28.210363,0.684405,0.709986,0.666921,50.000000
chamados_v4_fs_rfembedded,coloradoRiver,1amv1rfembedded,1,0.685138,0.095423,0.308906,0.251632,27.660948,0.753250,0.685873,0.682014,52.702703
chamados_v4_fs_rfembedded,coloradoRiver,1amv1rfembedded,2,0.685138,0.107110,0.327276,0.263773,28.857045,0.737193,0.700051,0.664997,56.756757
chamados_v4_fs_rfembedded,coloradoRiver,1amv1rfembedded,3,0.685138,0.090695,0.301156,0.244874,27.001513,0.721421,0.687614,0.687182,55.405405
chamados_v4_fs_rfembedded,coloradoRiver,1amv1rfembedded,4,0.685138,0.100449,0.316937,0.258648,28.395744,0.766265,0.695781,0.672934,51.351351
chamados_v4_fs_rfembedded,coloradoRiver,1amv1rfembedded,5,0.685138,0.096396,0.310477,0.252973,27.778990,0.767885,0.683885,0.681942,52.702703
