Serie,Baseline_RMSE,ftest_RMSE,ftest_PctGain,ftest_NFeatures,mutualinfo_RMSE,mutualinfo_PctGain,mutualinfo_NFeatures,rfembedded_RMSE,rfembedded_PctGain,rfembedded_NFeatures,lasso_RMSE,lasso_PctGain,lasso_NFeatures,rfecv_RMSE,rfecv_PctGain,rfecv_NFeatures
Unemployment,33.959174,,,,,,,,,,,,,,,
airlines,19.386686,19.386686,0.000000,20.000000,19.386686,0.000000,20.000000,22.075296,-13.868332,1.000000,22.421322,-15.653200,7.000000,26.877479,-38.638857,2.000000
ausbee,18.329944,,,,,,,,,,,,,,,
austres,13.912754,13.912754,0.000000,1.000000,13.912754,0.000000,1.000000,13.912754,0.000000,1.000000,13.912754,0.000000,1.000000,13.912754,0.000000,1.000000
coloradoRiver,0.126589,0.140534,-11.015434,5.000000,0.160513,-26.798240,9.000000,0.145685,-15.084897,4.000000,0.126195,0.311198,15.000000,0.126589,0.000000,16.000000
gasoline,214.403916,,,,,,,,,,,,,,,
heartrate,2.559995,,,,,,,,,,,,,,,
lakeerie,0.418605,,,,,,,,,,,,,,,
lynx,806.220603,,,,,,,,,,,,,,,
milk,4.633117,,,,,,,,,,,,,,,
ozon,1.599179,,,,,,,,,,,,,,,
pollution,1213.848501,,,,,,,,,,,,,,,
redwine,311.062051,,,,,,,,,,,,,,,
samurec,7.119072,7.119072,0.000000,15.000000,7.119072,0.000000,15.000000,7.655109,-7.529593,2.000000,7.119072,0.000000,15.000000,7.652406,-7.491612,11.000000
sunspot,20.349135,25.299833,-24.328790,5.000000,25.299833,-24.328790,5.000000,27.313621,-34.224977,1.000000,30.877152,-51.736930,6.000000,18.503525,9.069721,7.000000
temperature,2.670235,,,,,,,,,,,,,,,
windspeedfortaleza,0.376572,0.391119,-3.863095,5.000000,0.391119,-3.863095,5.000000,0.424444,-12.712496,4.000000,0.368890,2.039937,8.000000,0.366121,2.775358,18.000000
woolyrnq,450.241469,,,,,,,,,,,,,,,
