Familia,Serie,Metodo_FS,RMSE_Baseline_auto,RMSE_Baseline_pct10,RMSE_auto,RMSE_pct10,RMSE_Diff_pct10_menos_auto,Janela_Vencedora,PctGain_auto,PctGain_pct10,NFeatures_auto,NFeatures_pct10,Trivial_auto,Trivial_pct10
MLP,airlines,sem_FS,27.697682,28.856466,27.697682,28.856466,1.158784,auto,0.000000,0.000000,20.000000,13.000000,False,False
MLP,airlines,ftest,27.697682,28.856466,22.834106,21.745773,-1.088333,pct10,17.559504,24.641596,5.000000,5.000000,False,False
MLP,airlines,mutualinfo,27.697682,28.856466,23.762792,21.745773,-2.017019,pct10,14.206567,24.641596,5.000000,5.000000,False,False
MLP,airlines,rfembedded,27.697682,28.856466,20.299955,20.941750,0.641795,auto,26.708831,27.427879,1.200000,1.300000,False,False
MLP,airlines,lasso,27.697682,28.856466,25.374612,27.157659,1.783047,auto,8.387234,5.887094,14.000000,10.000000,False,False
MLP,airlines,rfecv,27.697682,28.856466,23.038989,21.136515,-1.902474,pct10,16.819792,26.752933,2.300000,1.400000,False,False
MLP,austres,sem_FS,34.345553,24.680016,34.345553,24.680016,-9.665537,pct10,0.000000,0.000000,1.000000,8.000000,True,True
MLP,austres,ftest,34.345553,24.680016,56.466572,22.239701,-34.226871,pct10,-64.407229,9.887820,1.000000,1.000000,True,True
MLP,austres,mutualinfo,34.345553,24.680016,56.466572,22.239701,-34.226871,pct10,-64.407229,9.887820,1.000000,1.000000,True,True
MLP,austres,rfembedded,34.345553,24.680016,56.466572,30.163553,-26.303019,pct10,-64.407229,-22.218527,1.000000,4.000000,True,True
MLP,austres,lasso,34.345553,24.680016,56.466572,27.951760,-28.514812,pct10,-64.407229,-13.256651,1.000000,2.000000,True,True
MLP,austres,rfecv,34.345553,24.680016,56.466572,29.503274,-26.963298,pct10,-64.407229,-19.543170,1.000000,4.500000,True,True
MLP,coloradoRiver,sem_FS,0.224816,0.210362,0.224816,0.210362,-0.014454,pct10,0.000000,0.000000,16.000000,67.000000,False,False
MLP,coloradoRiver,ftest,0.224816,0.210362,0.148933,0.206307,0.057374,auto,33.753066,1.927563,9.000000,9.000000,False,False
MLP,coloradoRiver,mutualinfo,0.224816,0.210362,0.249057,0.258384,0.009327,auto,-10.782843,-22.828495,1.000000,9.000000,False,False
MLP,coloradoRiver,rfembedded,0.224816,0.210362,0.134155,0.199807,0.065652,auto,40.326459,5.017336,2.000000,6.200000,False,False
MLP,coloradoRiver,lasso,0.224816,0.210362,0.177031,0.182847,0.005816,auto,21.254825,13.080068,7.000000,20.000000,False,False
MLP,coloradoRiver,rfecv,0.224816,0.210362,0.163758,0.186117,0.022359,auto,27.158900,11.525504,8.700000,20.700000,False,False
MLP,samurec,sem_FS,6.968888,7.187309,6.968888,7.187309,0.218421,auto,0.000000,0.000000,15.000000,107.000000,False,False
MLP,samurec,ftest,6.968888,7.187309,6.972986,6.797277,-0.175709,pct10,-0.058800,5.426676,9.000000,20.000000,False,False
MLP,samurec,mutualinfo,6.968888,7.187309,7.131151,7.039127,-0.092024,pct10,-2.328398,2.061720,1.000000,20.000000,False,False
MLP,samurec,rfembedded,6.968888,7.187309,6.932775,6.987987,0.055212,auto,0.518207,2.773247,6.100000,39.900000,False,False
MLP,samurec,lasso,6.968888,7.187309,6.984176,7.023930,0.039754,auto,-0.219373,2.273157,7.000000,1.000000,False,False
MLP,samurec,rfecv,6.968888,7.187309,6.965501,6.998359,0.032858,auto,0.048595,2.628942,14.100000,82.900000,False,False
MLP,sunspot,sem_FS,17.082453,19.222508,17.082453,19.222508,2.140055,auto,0.000000,0.000000,9.000000,26.000000,False,False
MLP,sunspot,ftest,17.082453,19.222508,17.320032,17.071655,-0.248377,pct10,-1.390775,11.189246,9.000000,9.000000,False,False
MLP,sunspot,mutualinfo,17.082453,19.222508,17.320032,16.288295,-1.031737,pct10,-1.390775,15.264466,9.000000,15.000000,False,False
MLP,sunspot,rfembedded,17.082453,19.222508,27.474605,21.870268,-5.604337,pct10,-60.835246,-13.774266,1.000000,3.000000,False,False
MLP,sunspot,lasso,17.082453,19.222508,16.895249,18.033068,1.137819,auto,1.095883,6.187749,6.000000,9.000000,False,False
MLP,sunspot,rfecv,17.082453,19.222508,17.175247,17.925289,0.750042,auto,-0.543210,6.748441,7.100000,4.900000,False,False
MLP,windspeedfortaleza,sem_FS,0.384273,0.367736,0.384273,0.367736,-0.016537,pct10,0.000000,0.000000,20.000000,13.000000,False,False
MLP,windspeedfortaleza,ftest,0.384273,0.367736,0.429627,0.367736,-0.061891,pct10,-11.802637,0.000000,5.000000,13.000000,False,False
MLP,windspeedfortaleza,mutualinfo,0.384273,0.367736,0.429627,0.367736,-0.061891,pct10,-11.802637,0.000000,5.000000,13.000000,False,False
MLP,windspeedfortaleza,rfembedded,0.384273,0.367736,0.427487,0.435585,0.008098,auto,-11.245674,-18.450279,3.600000,3.000000,False,False
MLP,windspeedfortaleza,lasso,0.384273,0.367736,0.374784,0.358070,-0.016714,pct10,2.469401,2.628666,8.000000,4.000000,False,False
MLP,windspeedfortaleza,rfecv,0.384273,0.367736,0.381280,0.359650,-0.021630,pct10,0.778836,2.198964,14.900000,11.000000,False,False
SVR,airlines,sem_FS,19.386686,19.093386,19.386686,19.093386,-0.293300,pct10,0.000000,0.000000,20.000000,13.000000,False,False
SVR,airlines,ftest,19.386686,19.093386,19.386686,22.114101,2.727415,auto,0.000000,-15.820744,20.000000,1.000000,False,False
SVR,airlines,mutualinfo,19.386686,19.093386,19.386686,22.351401,2.964715,auto,0.000000,-17.063581,20.000000,9.000000,False,False
SVR,airlines,rfembedded,19.386686,19.093386,22.075296,22.114101,0.038805,auto,-13.868332,-15.820744,1.000000,1.000000,False,False
SVR,airlines,lasso,19.386686,19.093386,22.421322,19.093386,-3.327936,pct10,-15.653200,0.000000,7.000000,13.000000,False,False
SVR,airlines,rfecv,19.386686,19.093386,26.877479,22.114101,-4.763378,pct10,-38.638857,-15.820744,2.000000,1.000000,False,False
SVR,austres,sem_FS,13.912754,21.078692,13.912754,21.078692,7.165938,auto,0.000000,0.000000,1.000000,8.000000,True,True
SVR,austres,ftest,13.912754,21.078692,13.912754,21.078692,7.165938,auto,0.000000,0.000000,1.000000,8.000000,True,True
SVR,austres,mutualinfo,13.912754,21.078692,13.912754,17.389361,3.476607,auto,0.000000,17.502653,1.000000,5.000000,True,True
SVR,austres,rfembedded,13.912754,21.078692,13.912754,16.844431,2.931677,auto,0.000000,20.087874,1.000000,3.000000,True,True
SVR,austres,lasso,13.912754,21.078692,13.912754,21.078692,7.165938,auto,0.000000,0.000000,1.000000,8.000000,True,True
SVR,austres,rfecv,13.912754,21.078692,13.912754,18.083948,4.171194,auto,0.000000,14.207448,1.000000,6.000000,True,True
SVR,coloradoRiver,sem_FS,0.126589,0.168109,0.126589,0.168109,0.041520,auto,0.000000,0.000000,16.000000,67.000000,False,False
SVR,coloradoRiver,ftest,0.126589,0.168109,0.140534,0.175672,0.035138,auto,-11.015434,-4.498380,5.000000,20.000000,False,False
SVR,coloradoRiver,mutualinfo,0.126589,0.168109,0.160513,0.173642,0.013129,auto,-26.798240,-3.290915,9.000000,20.000000,False,False
SVR,coloradoRiver,rfembedded,0.126589,0.168109,0.145685,0.176090,0.030405,auto,-15.084897,-4.747028,4.000000,14.000000,False,False
SVR,coloradoRiver,lasso,0.126589,0.168109,0.126195,0.163349,0.037154,auto,0.311198,2.831907,15.000000,55.000000,False,False
SVR,coloradoRiver,rfecv,0.126589,0.168109,0.126589,0.179444,0.052855,auto,0.000000,-6.742180,16.000000,14.000000,False,False
SVR,samurec,sem_FS,7.119072,7.295453,7.119072,7.295453,0.176381,auto,0.000000,0.000000,15.000000,107.000000,False,False
SVR,samurec,ftest,7.119072,7.295453,7.119072,8.371311,1.252239,auto,0.000000,-14.746974,15.000000,9.000000,False,False
SVR,samurec,mutualinfo,7.119072,7.295453,7.119072,8.282873,1.163801,auto,0.000000,-13.534744,15.000000,5.000000,False,False
SVR,samurec,rfembedded,7.119072,7.295453,7.655109,7.693920,0.038811,auto,-7.529593,-5.461866,2.000000,10.000000,False,False
SVR,samurec,lasso,7.119072,7.295453,7.119072,7.726791,0.607719,auto,0.000000,-5.912429,15.000000,52.000000,False,False
SVR,samurec,rfecv,7.119072,7.295453,7.652406,7.930621,0.278215,auto,-7.491612,-8.706364,11.000000,91.000000,False,False
SVR,sunspot,sem_FS,20.349135,21.987478,20.349135,21.987478,1.638343,auto,0.000000,0.000000,9.000000,26.000000,False,False
SVR,sunspot,ftest,20.349135,21.987478,25.299833,19.260633,-6.039200,pct10,-24.328790,12.401809,5.000000,9.000000,False,False
SVR,sunspot,mutualinfo,20.349135,21.987478,25.299833,20.582074,-4.717759,pct10,-24.328790,6.391835,5.000000,5.000000,False,False
SVR,sunspot,rfembedded,20.349135,21.987478,27.313621,22.356262,-4.957359,pct10,-34.224977,-1.677249,1.000000,3.000000,False,False
SVR,sunspot,lasso,20.349135,21.987478,30.877152,25.511610,-5.365542,pct10,-51.736930,-16.027905,6.000000,9.000000,False,False
SVR,sunspot,rfecv,20.349135,21.987478,18.503525,19.620291,1.116766,auto,9.069721,10.766068,7.000000,4.000000,False,False
SVR,windspeedfortaleza,sem_FS,0.376572,0.358687,0.376572,0.358687,-0.017885,pct10,0.000000,0.000000,20.000000,13.000000,False,False
SVR,windspeedfortaleza,ftest,0.376572,0.358687,0.391119,0.417626,0.026507,auto,-3.863095,-16.431889,5.000000,9.000000,False,False
SVR,windspeedfortaleza,mutualinfo,0.376572,0.358687,0.391119,0.374959,-0.016160,pct10,-3.863095,-4.536574,5.000000,5.000000,False,False
SVR,windspeedfortaleza,rfembedded,0.376572,0.358687,0.424444,0.429983,0.005539,auto,-12.712496,-19.877176,4.000000,3.000000,False,False
SVR,windspeedfortaleza,lasso,0.376572,0.358687,0.368890,0.363422,-0.005468,pct10,2.039937,-1.320306,8.000000,4.000000,False,False
SVR,windspeedfortaleza,rfecv,0.376572,0.358687,0.366121,0.355406,-0.010715,pct10,2.775358,0.914711,18.000000,11.000000,False,False
ARIMA-MLP,airlines,sem_FS,17.436180,18.719077,17.436180,18.719077,1.282897,auto,0.000000,0.000000,20.000000,13.000000,False,False
ARIMA-MLP,airlines,ftest,17.436180,18.719077,19.115626,18.719077,-0.396549,pct10,-9.631960,0.000000,5.000000,13.000000,False,False
ARIMA-MLP,airlines,mutualinfo,17.436180,18.719077,19.675894,18.736009,-0.939885,pct10,-12.845210,-0.090457,9.000000,5.000000,False,False
ARIMA-MLP,airlines,rfembedded,17.436180,18.719077,19.403318,19.519340,0.116022,auto,-11.281933,-4.275124,7.600000,4.200000,False,False
ARIMA-MLP,airlines,lasso,17.436180,18.719077,19.736465,19.616915,-0.119550,pct10,-13.192600,-4.796384,1.000000,1.000000,False,False
ARIMA-MLP,airlines,rfecv,17.436180,18.719077,18.306924,21.964239,3.657315,auto,-4.993896,-17.336125,14.900000,11.600000,False,False
ARIMA-MLP,austres,sem_FS,19.085848,20.775953,19.085848,20.775953,1.690105,auto,0.000000,0.000000,1.000000,8.000000,True,True
ARIMA-MLP,austres,ftest,19.085848,20.775953,19.051486,20.775953,1.724467,auto,0.180042,0.000000,1.000000,8.000000,True,True
ARIMA-MLP,austres,mutualinfo,19.085848,20.775953,19.051486,20.775953,1.724467,auto,0.180042,0.000000,1.000000,8.000000,True,True
ARIMA-MLP,austres,rfembedded,19.085848,20.775953,19.051486,18.689441,-0.362045,pct10,0.180042,10.042919,1.000000,2.700000,True,True
ARIMA-MLP,austres,lasso,19.085848,20.775953,19.051486,18.852405,-0.199081, Hey, my Yeah, I don't want to talk I don't have Your pie, Okay. Hey, my name Ah, sorry, what the fuck is this? What the fuck is this? I'm dying. Did you just You I would disagree, but You know, I don't have a good one for I think Just, just Because I I got this, If I was to go to Chicago to play this, I would be able to Motto The I think I As far as I can see, as far as I This is... this is what I feel. Hey, whoa. What You know, I A gente tá indo pra Rodoviária.pct10,0.180042,9.258530,1.000000,1.000000,True,True
ARIMA-MLP,austres,rfecv,19.085848,20.775953,19.051486,20.529176,1.477690,auto,0.180042,1.187799,1.000000,6.200000,True,True
