Familia,Serie,Metodo_FS,N_Features_Selected,N_Features_Total,Selected_Lag_Names,Frequencia_Selecao,Source_File,Trivial
MLP,airlines,sem_FS,20,20,"lag_20,lag_19,lag_18,lag_17,lag_16,lag_15,lag_14,lag_13,lag_12,lag_11,lag_10,lag_9,lag_8,lag_7,lag_6,lag_5,lag_4,lag_3,lag_2,lag_1",N/A (sem selecao aplicada),results/chamados_v4_fs_mlp_ftest/selected_features_detail.csv,False
MLP,airlines,ftest,5,20,"lag_14,lag_13,lag_12,lag_11,lag_1",10/10,results/chamados_v4_fs_mlp_ftest/selected_features_detail.csv,False
MLP,airlines,mutualinfo,9,20,"lag_14,lag_13,lag_12,lag_11,lag_10,lag_9,lag_3,lag_2,lag_1",10/10,results/chamados_v4_fs_mlp_mutualinfo/selected_features_detail.csv,False
MLP,airlines,rfembedded,1,20,lag_12,8/10,results/chamados_v4_fs_mlp_rfembedded/selected_features_detail.csv,False
MLP,airlines,lasso,14,20,"lag_18,lag_16,lag_14,lag_13,lag_12,lag_11,lag_10,lag_8,lag_7,lag_6,lag_5,lag_3,lag_2,lag_1",10/10,results/chamados_v4_fs_mlp_lasso/selected_features_detail.csv,False
MLP,airlines,rfecv,3,20,"lag_12,lag_11,lag_1",4/10,results/chamados_v4_fs_mlp_rfecv/selected_features_detail.csv,False
MLP,austres,sem_FS,1,1,lag_1,N/A (sem selecao aplicada),results/chamados_v4_fs_mlp_ftest/selected_features_detail.csv,True
MLP,austres,ftest,1,1,lag_1,10/10,results/chamados_v4_fs_mlp_ftest/selected_features_detail.csv,True
MLP,austres,mutualinfo,1,1,lag_1,10/10,results/chamados_v4_fs_mlp_mutualinfo/selected_features_detail.csv,True
MLP,austres,rfembedded,1,1,lag_1,10/10,results/chamados_v4_fs_mlp_rfembedded/selected_features_detail.csv,True
MLP,austres,lasso,1,1,lag_1,10/10,results/chamados_v4_fs_mlp_lasso/selected_features_detail.csv,True
