Familia,Serie,Metodo_FS,Metrics_Source_File,Pkl_Source_Dir,Features_Source_File,NFeatures,Trivial,MSE_Baseline,MSE_FS,RMSE_Baseline,RMSE_FS,MAE_Baseline,MAE_FS,MAPE_Baseline,MAPE_FS,theil_Baseline,theil_FS,ARV_Baseline,ARV_FS,IA_Baseline,IA_FS,POCID_Baseline,POCID_FS,PctGain
MLP,airlines,sem_FS,results/baseline_metrics.csv,data/result/chamados_pct10/,,13.000000,False,864.535481,864.535481,28.856466,28.856466,24.851256,24.851256,5.313748,5.313748,0.527235,0.527235,0.156302,0.156302,0.960548,0.960548,78.571429,78.571429,0.000000
MLP,airlines,ftest,results/chamados_pct10_fs_mlp_ftest/metrics.csv,data/result/chamados_pct10_fs_mlp_ftest/,results/chamados_pct10_fs_mlp_ftest/selected_features.csv,5.000000,False,864.535481,481.974625,28.856466,21.745773,24.851256,16.932624,5.313748,3.632590,0.527235,0.278647,0.156302,0.099624,0.960548,0.976974,78.571429,80.000000,24.641596
MLP,airlines,mutualinfo,results/chamados_pct10_fs_mlp_mutualinfo/metrics.csv,data/result/chamados_pct10_fs_mlp_mutualinfo/,results/chamados_pct10_fs_mlp_mutualinfo/selected_features.csv,5.000000,False,864.535481,481.974625,28.856466,21.745773,24.851256,16.932624,5.313748,3.632590,0.527235,0.278647,0.156302,0.099624,0.960548,0.976974,78.571429,80.000000,24.641596
MLP,airlines,rfembedded,results/chamados_pct10_fs_mlp_rfembedded/metrics.csv,data/result/chamados_pct10_fs_mlp_rfembedded/,results/chamados_pct10_fs_mlp_rfembedded/selected_features.csv,1.300000,False,864.535481,446.760223,28.856466,20.941750,24.851256,18.079488,5.313748,3.948848,0.527235,0.221446,0.156302,0.083272,0.960548,0.979687,78.571429,77.857143,27.427879
MLP,airlines,lasso,results/chamados_pct10_fs_mlp_lasso/metrics.csv,data/result/chamados_pct10_fs_mlp_lasso/,results/chamados_pct10_fs_mlp_lasso/selected_features.csv,10.000000,False,864.535481,747.341348,28.856466,27.157659,24.851256,22.560679,5.313748,4.819500,0.527235,0.416464,0.156302,0.136853,0.960548,0.965913,78.571429,79.285714,5.887094
MLP,airlines,rfecv,results/chamados_pct10_fs_mlp_rfecv/metrics.csv,data/result/chamados_pct10_fs_mlp_rfecv/,results/chamados_pct10_fs_mlp_rfecv/selected_features.csv,1.400000,False,864.535481,456.051102,28.856466,21.136515,24.851256,17.972806,5.313748,3.910144,0.527235,0.232255,0.156302,0.085860,0.960548,0.979146,78.571429,77.857143,26.752933
MLP,austres,sem_FS,results/baseline_metrics.csv,data/result/chamados_pct10/,,8.000000,True,673.293637,673.293637,24.680016,24.680016,21.594809,21.594809,0.123502,0.123502,0.333874,0.333874,0.052660,0.052660,0.984781,0.984781,87.500000,87.500000,0.000000
MLP,austres,ftest,results/chamados_pct10_fs_mlp_ftest/metrics.csv,data/result/chamados_pct10_fs_mlp_ftest/,results/chamados_pct10_fs_mlp_ftest/selected_features.csv,1.000000,True,673.293637,657.878853,24.680016,22.239701,21.594809,19.868996,0.123502,0.113490,0.333874,0.349751,0.052660,0.059542,0.984781,0.983689,87.500000,87.500000,9.887820
MLP,austres,mutualinfo,results/chamados_pct10_fs_mlp_mutualinfo/metrics.csv,data/result/chamados_pct10_fs_mlp_mutualinfo/,results/chamados_pct10_fs_mlp_mutualinfo/selected_features.csv,1.000000,True,673.293637,657.878853,24.680016,22.239701,21.594809,19.868996,0.123502,0.113490,0.333874,0.349751,0.052660,0.059542,0.984781,0.983689,87.500000,87.500000,9.887820
MLP,austres,rfembedded,results/chamados_pct10_fs_mlp_rfembedded/metrics.csv,data/result/chamados_pct10_fs_mlp_rfembedded/,results/chamados_pct10_fs_mlp_rfembedded/selected_features.csv,4.000000,True,673.293637,1059.367336,24.680016,30.163553,21.594809,26.946931,0.123502,0.153759,0.333874,0.491027,0.052660,0.075935,0.984781,0.977022,87.500000,87.500000,-22.218527
